ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
Q20173;18,6284;18,8087;18,2884;18,7693;15,7802;15,5605;16,9724;16,486;3,3792;0,000436019;2,42393;7,01794;+
Q20177;18,243;19,0166;18,568;18,6911;16,1556;16,2818;16,2954;16,2626;5,18894;0;2,38084;14,6027;+
Q20199;14,9314;15,5405;14,6351;15,8384;16,7785;16,9983;16,4974;16,1836;2,25211;0,00256591;-1,37809;-4,21434;+
Q20203;19,6704;20,1712;19,6891;20,3039;17,6296;17,6994;17,9885;17,9561;4,57883;0;2,14027;11,4695;+
Q20206;18,1693;18,7604;18,0254;19,024;17,8941;17,8013;17,4501;17,4767;1,72638;0,00730604;0,839203;3,19251;+
Q20220;16,4098;16,2977;15,8661;16,1111;14,3898;15,435;13,6194;14,8471;2,14005;0,00326096;1,59836;3,98479;+
Q20223;13,8214;14,4385;14,1383;15,2964;21,1962;21,128;21,4819;21,5284;6,0922;0;-6,90997;-20,7792;+
Q20224;18,9215;21,1907;20,9898;21,2828;20,9854;20,9032;21,6471;21,4925;0,513928;0,128047;-0,660822;-1,11819;
Q20228;20,06;20,872;20,5105;20,3577;18,504;17,899;18,943;18,7086;3,34248;0,000538462;1,93639;6,90934;+
Q20229;16,6197;16,5568;17,0583;17,5926;15,0812;15,4704;14,8729;14,9964;3,30744;0,000525526;1,85162;6,80694;+
Q20230;17,0021;18,167;17,1733;17,4757;16,2405;16,129;15,7452;16,0594;2,64324;0,00150414;1,41099;5,07628;+
Q20237;15,7327;15,699;15,6568;15,959;13,2884;13,1898;12,9663;13,2122;6,75504;0;2,59771;26,8628;+
Q20246;16,1236;15,4624;15,9786;15,6191;16,6386;16,7609;15,5948;16,0028;0,7005;0,0748934;-0,453365;-1,44236;
Q20263;14,8687;15,4634;14,2858;15,3267;13,3048;12,9215;12,9975;13,1656;3,2915;0,000545589;1,88879;6,76076;+
Q20264;18,068;18,9321;18,7769;18,4683;17,1002;16,8535;16,9792;17,3505;3,31704;0,000527903;1,4905;6,83487;+
Q20276;20,2686;20,6052;20,4658;20,3274;18,3327;13,7329;18,6666;18,4377;1,40438;0,0136438;3,12425;2,6233;+
Q20277;19,7906;19,0011;18,8661;19,4015;19,3398;19,1379;18,7708;19,0208;0,354011;0,215018;0,197495;0,821872;
Q20287;17,8405;18,1877;17,8348;17,6164;17,4203;16,152;16,2456;15,8781;2,15019;0,003187;1,44586;4,00527;+
Q20300;14,8114;15,5054;14,8211;15,3344;14,7409;13,9517;14,3602;15,4801;0,62256;0,0936479;0,484873;1,30886;
Q20303;16,912;17,0893;17,0495;17,5124;13,0337;13,2591;12,8503;12,3097;5,69323;0;4,27761;17,7904;+
Q20306;15,9115;17,0233;16,557;17,7222;16,3448;16,3192;15,9874;16,1756;0,751348;0,0654191;0,596776;1,5284;
Q20310;17,614;18,8297;19,3273;18,725;17,6911;18,0043;17,2483;17,2625;1,41916;0,0131913;1,07246;2,64875;+
Q20311;18,6155;19,2273;18,0832;19,2095;16,9614;17,1632;17,3155;17,2932;2,86452;0,00106267;1,60057;5,6117;+
Q20312;15,007;14,499;14,9661;15,2348;13,3074;12,698;12,9602;13,2133;4,01098;0,000117812;1,88198;9,12312;+
Q20327;14,1087;15,3086;14,1098;15,3283;13,0511;13,31;12,9483;13,0215;2,41342;0,00196497;1,63111;4,55778;+
Q20329;15,4761;14,1854;15,4195;14,7908;16,7398;16,9391;16,4401;16,7558;2,80329;0,00111573;-1,75073;-5,45975;+
Q20330;14,2898;15,5055;14,4392;14,8858;14,8533;14,252;14,6814;15,5904;0,0581044;0,74782;-0,0641868;-0,164455;
Q20334;14,8768;14,9483;14,1598;15,2509;15,5989;15,8833;14,1849;13,7827;0,0325302;0,852407;-0,0534959;-0,094442;
Q20340;15,217;16,4352;15,6692;16,9538;15,8489;16,4801;14,918;15,544;0,309089;0,251687;0,371049;0,733678;
Q20344;14,7453;15,06;14,9509;15,4425;14,6949;14,6241;15,3868;15,4948;0,000588703;0,99713;-0,000478029;-0,00176967;
Q20352;15,2678;16,2074;15,6584;16,919;14,1507;15,2734;14,1545;14,0225;1,88492;0,00525274;1,61287;3,48681;+
Q20358;17,0907;15,9845;16,0385;16,6866;16,7296;16,4622;16,5818;16,6105;0,21387;0,362834;-0,145913;-0,536171;
Q20363;22,6842;23,6245;22,7422;23,496;20,0072;20,1329;20,2617;19,9787;4,68109;0;3,04161;11,9464;+
Q20365;19,3127;20,4906;19,7108;21,5394;13,3173;12,9571;12,8771;13,1391;5,14806;0;7,19074;14,3698;+
Q20374;14,961;14,9932;15,0258;14,6136;14,7625;16,0437;14,4109;15,4707;0,304958;0,255125;-0,27355;-0,725428;
Q20375;14,23;15,3069;14,8346;14,8547;16,3807;17,1986;16,1233;16,9357;2,85634;0,00105623;-1,85303;-5,59122;+
Q20384;17,562;17,4743;17,3785;17,3635;16,8403;16,7549;16,5441;16,7055;4,09989;0;0,733397;9,45927;+
Q20390;14,5703;15,3819;14,3865;13,5309;15,0328;14,9476;14,1166;14,769;0,232289;0,336587;-0,249088;-0,575698;
Q20392;18,3542;16,9642;16,7591;15,8266;16,8311;16,603;15,9952;15,1822;0,610842;0,0967106;0,823205;1,28859;
Q20412;15,7333;16,0617;16,255;16,1793;18,6061;18,5345;17,9513;18,3756;4,77245;0;-2,30958;-12,388;+
Q20420;14,9162;15,2706;14,9397;15,4245;13,3228;13,1746;13,0025;13,3452;4,89452;0;1,92647;13,0019;+
Q20430;14,3623;14,7188;14,7172;14,964;15,1301;14,4718;15,3528;15,5961;0,822244;0,0545788;-0,447109;-1,64739;
Q20432;14,9374;15,0406;14,9385;14,0572;13,208;13,0886;12,9934;12,9924;3,40644;0,000444803;1,67276;7,09941;+
Q20445;14,2993;15,5164;14,2465;14,1605;15,7139;14,904;15,4334;15,4389;1,18293;0,0220767;-0,816888;-2,24795;+
Q20448;16,5445;16,4669;16,7716;16,5294;17,2687;17,0821;16,7498;17,1194;2,00746;0,00435757;-0,476878;-3,72195;+
Q20476;17,9914;18,2584;17,3001;17,8063;16,7423;16,4673;16,8306;17,0897;2,34589;0,00211534;1,05657;4,41207;+
Q20489;14,455;14,5571;14,6166;15,1336;12,5031;13,0798;12,7994;13,0292;4,02128;0,000119829;1,83769;9,1615;+
Q20496;17,9816;18,4781;17,6382;18,843;17,0264;17,1237;16,9973;16,991;2,37928;0,00204752;1,20064;4,48376;+
Q20502;18,4286;19,2111;18,8193;18,8758;18,7035;18,5342;18,3942;18,6074;0,783312;0,0603494;0,273875;1,58217;
Q20507;17,5449;17,6842;17,4708;17,7744;17,471;17,698;17,8867;18,1118;0,524306;0,12414;-0,173322;-1,1367;
Q20520;14,5954;14,9097;14,7927;14,6842;13,2562;13,1689;12,8875;13,2264;5,23391;0;1,61075;14,8631;+
Q20521;14,6916;15,4788;14,9641;15,2882;13,28;13,269;12,8117;13,2277;4,09751;0;1,95856;9,45013;+
Q20546;18,2416;18,2527;17,7353;18,0823;16,479;15,6061;16,1753;15,4243;3,65841;0,000283771;2,15681;7,89075;+
Q20576;13,8527;14,5709;15,7251;15,2763;15,1375;14,9607;14,3221;14,4841;0,105821;0,589657;0,130108;0,287018;
Q20584;14,8531;15,1347;15,0482;13,9743;15,2451;15,207;13,7748;14,3149;0,0959499;0,61908;0,117138;0,262426;
Q20585;18,4121;19,3744;18,4795;18,9603;17,4796;17,5121;16,9518;17,158;2,9545;0,000916175;1,53121;5,84052;+
Q20588;19,1885;19,8125;19,5223;19,7187;17,798;17,9681;17,3519;17,6926;4,18777;0;1,85784;9,80231;+
Q20615;19,6307;19,7719;18,2575;19,5696;19,2554;19,6346;19,7396;19,906;0,375075;0,199855;-0,326458;-0,862341;
Q20616;20,1798;20,9526;20,4258;20,7299;20,1319;19,8764;20,1334;20,3467;1,21883;0,0208553;0,44993;2,30819;+
Q20626;19,3002;19,9794;19,49;19,7828;19,2062;19,3031;18,685;18,8991;1,6012;0,00904695;0,614775;2,96716;+
Q20627;18,8912;19,2576;18,5954;19,4336;17,919;17,9729;17,9113;17,8745;3,00209;0,000850336;1,12502;5,96428;+
Q20628;14,5139;14,9413;14,5302;15,2624;15,3825;15,8239;15,6311;16,0804;2,11893;0,00334268;-0,917514;-3,94229;+
Q20634;19,2041;19,6817;19,2611;20,1078;18,5967;18,8646;18,7882;18,661;2,05742;0,00386651;0,836072;3,81992;+
Q20636;14,2527;14,5765;14,7804;15,4129;15,4035;15,5997;15,6172;16,0613;1,75882;0,00687783;-0,914753;-3,25188;+
Q20637;14,61;14,1096;13,8706;14,2127;15,6263;17,1806;17,4038;17,0709;3,03782;0,000791537;-2,6197;-6,0585;+
Q20641;18,107;18,6468;18,2505;18,4599;17,1635;16,9375;17,1357;17,1806;4,14254;0;1,26172;9,62437;+
Q20643;18,0698;18,4441;18,0108;18,3703;16,7208;15,9668;16,7553;16,9986;3,20324;0,000654088;1,6134;6,50958;+
Q20647;17,6129;17,5541;16,9269;18,5261;18,8057;18,0638;18,0752;17,7352;0,611258;0,0965268;-0,514978;-1,28931;
Q20655;22,6627;22,987;22,5014;23,1901;21,9437;21,7889;22,3951;22,4683;1,62446;0,00880182;0,686357;3,0086;+
Q20660;20,0609;20,0449;19,6325;20,199;18,9387;18,4978;18,1718;18,5072;3,47417;0,000437659;1,45542;7,30534;+
Q20675;17,3093;17,7237;17,1985;17,9408;17,9352;17,3178;17,2592;17,6473;0,00462348;0,978462;0,00324488;0,0138346;
Q20676;20,7489;21,0407;20,6603;21,064;18,1907;18,2898;18,0031;18,1959;6,3386;0;2,70864;22,8638;+
Q20678;14,9505;15,0263;14,7774;13,8712;13,1818;12,8469;12,9265;12,9102;3,05481;0,000759748;1,68997;6,10369;+
Q20679;17,4624;17,5982;17,4048;16,9271;15,2825;15,2094;15,4685;15,2529;4,90153;0;2,04482;13,038;+
Q20683;14,5277;13,8956;14,7737;13,8126;16,1767;15,9223;15,4512;17,1317;2,39105;0,0020564;-1,91805;-4,50919;+
Q20684;22,6704;22,9393;22,6575;23,1482;21,3732;21,3179;21,3173;21,4265;4,77613;0;1,49514;12,4061;+
Q20711;17,2012;17,5605;17,1509;18,3605;16,5443;16,6093;15,7089;16,0394;2,0546;0,00389246;1,3428;3,81436;+
Q20716;17,4039;17,5476;17,231;17,6849;15,1348;16,3811;15,9257;13,1213;1,72968;0,007218;2,32612;3,19853;+
Q20719;20,1376;19,6876;19,2033;20,0315;17,2352;17,0568;17,3039;17,1814;4,66214;0;2,57069;11,8566;+
Q20720;17,6743;18,0112;17,7145;18,2853;15,9396;15,5645;15,6514;15,865;4,87754;0;2,16621;12,9149;+
Q20724;14,8038;15,5565;14,4922;15,4999;17,1358;16,7871;16,6296;16,8695;3,10935;0,000678851;-1,76743;-6,25049;+
Q20728;16,3642;16,5277;16,6254;16,2713;16,9174;16,7733;17,0935;17,1965;2,36617;0,00208606;-0,548002;-4,45553;+
Q20745;15,0017;15,1835;15,043;14,9236;16,1214;16,6375;15,818;16,7852;2,87149;0,00106622;-1,30254;-5,62919;+
Q20748;16,5961;16,4196;16,887;17,3595;16,8729;17,1655;16,8435;16,9129;0,248711;0,315064;-0,13314;-0,610357;
Q20751;19,4667;20,1837;20,1012;20,1887;18,2073;18,174;17,7525;18,0794;4,11938;0;1,93182;9,5344;+
Q20752;14,4707;15,3715;14,7076;15,4293;14,014;13,8759;13,9594;14,1906;2,12917;0,00335611;0,984796;3,96287;+
Q20753;14,3783;15,3647;14,9307;15,362;15,6997;15,6493;15,5409;15,8351;1,49721;0,0111285;-0,672321;-2,78405;+
Q20754;14,9369;16,6664;14,9228;15,9782;13,1317;13,3309;12,9037;13,3051;2,86954;0,00106563;2,45823;5,6243;+
Q20755;15,7004;15,8045;15,6878;15,7306;14,035;14,5821;14,5798;14,3927;4,2749;0;1,33341;10,1534;+
Q20757;14,3733;15,1117;14,8203;15,2289;13,1052;12,6407;12,4321;13,2541;3,52721;0,000296296;2,02554;7,47005;+
Q20758;14,7862;15,5473;14,3115;15,3909;15,7456;15,5217;16,6202;15,7007;1,25051;0,0195032;-0,888077;-2,36151;+
Q20760;15,4961;14,9807;15,2832;15,583;12,9709;13,2633;12,7565;12,8597;5,03002;0;2,37312;13,7168;+
Q20762;15,233;17,1659;15,1771;17,0648;17,2379;17,5803;16,7032;17,3046;0,913172;0,0423808;-1,04631;-1,79894;+
Q20769;17,8006;19,6839;18,9824;19,8705;18,8429;18,942;18,108;18,6734;0,383236;0,193849;0,442767;0,877884;
Q20770;20,7542;21,1545;20,8704;20,7729;18,2113;17,9377;18,6445;18,4099;5,20368;0;2,58718;14,6876;+
Q20772;16,1985;16,9865;16,742;16,542;16,9756;16,7077;17,1665;17,3983;1,03772;0,0317378;-0,44476;-2,00584;+
Q20774;18,8394;19,459;18,7846;19,6499;17,9839;17,8744;17,1518;17,4288;2,77387;0,00116981;1,5735;5,38779;+
Q20779;20,7711;21,188;20,7708;21,556;19,3367;19,4209;18,8171;19,0472;3,74494;0,000175;1,91601;8,17906;+
Q20780;19,3528;19,2577;19,3218;19,9999;20,3827;20,386;20,0565;20,043;1,99478;0,00444755;-0,733993;-3,69729;+
Q20789;13,8011;15,0573;14,6478;14,4091;15,4666;15,418;15,0475;15,1854;1,53715;0,0102173;-0,800523;-2,85397;+
Q20790;19,1004;20,2465;20,0248;20,4309;18,6242;19,0669;18,1955;18,373;2,12388;0,00335312;1,38579;3,95224;+
Q20796;16,4807;16,4868;16,4584;16,8977;15,192;13,9008;16,3421;16,3665;0,975604;0,036507;1,13055;1,90267;+
Q20797;14,7977;15,37;14,0651;15,2569;13,1689;13,1584;12,8389;12,6314;2,99265;0,000842615;1,92301;5,9396;+
Q20798;17,6992;18,2345;18,0058;18,2157;16,5374;16,4214;16,0842;17,2851;2,67947;0,00151615;1,45677;5,1614;+
Q20813;14,5478;15,2013;14,3969;15,3755;13,2975;12,8332;12,9947;13,3334;3,22368;0,000605114;1,76569;6,56709;+
Q20815;18,2833;18,742;18,3713;18,8102;15,7396;16,1488;15,7833;15,639;5,39205;0;2,72404;15,8144;+
Q20819;17,2509;17,5019;17,6636;17,1852;16,4443;16,1008;16,5107;16,0199;3,32093;0,000529902;1,13147;6,8462;+
Q20821;14,0951;14,7444;14,926;15,4241;14,9625;13,822;14,8586;14,9158;0,156004;0,466018;0,157678;0,406861;
Q20822;17,2456;16,6825;16,6301;16,69;16,1609;15,6171;16,4763;16,7427;1,03115;0,0322203;0,562843;1,99493;+
Q20829;17,3629;18,6371;17,4295;17,8006;17,0518;17,4356;17,2581;17,3782;0,870171;0,0474378;0,526577;1,72738;+
Q20848;14,1206;15,0038;15,0526;15,4722;14,8472;14,9014;14,8573;14,9576;0,0256956;0,882243;0,0214262;0,0751347;
Q20849;17,0445;17,3267;16,4764;16,5026;15,5075;15,7876;14,0037;13,9817;2,07042;0,00373191;2,01747;3,84562;+
Q20865;15,3503;15,7253;15,294;16,604;15,8777;15,9837;16,3755;16,2532;0,543689;0,117383;-0,379131;-1,17108;
Q20866;13,9727;15,1171;14,795;14,3146;12,9274;13,2797;12,9257;12,8942;2,91125;0,00101263;1,54309;5,72969;+
Q20870;14,9241;14,6954;14,9371;15,2641;12,0203;0;12,8755;13,293;0,84917;0,0508211;5,40801;1,69236;
Q20875;15,7006;17,2652;15,7513;16,3614;15,6481;15,3737;14,853;15,2277;1,32296;0,0165864;0,994019;2,48415;+
Q20877;17,8875;18,8195;18,3902;18,9755;17,5158;17,0647;16,813;17,4047;2,39361;0,00206087;1,31863;4,51473;+
Q20881;18,0216;17,9811;18,052;18,0294;16,3423;16,4873;16,584;16,7429;5,62788;0;1,48191;17,3425;+
Q20898;15,6878;16,5769;14,8985;17,6181;15,6883;14,5215;16,2653;15,2959;0,498434;0,134304;0,7526;1,09042;
Q20913;17,1006;18,0098;17,288;17,7529;17,0151;17,8561;17,4818;17,0765;0,258401;0,302933;0,180466;0,630568;
Q20921;14,8151;15,198;14,9899;14,7459;15,2829;14,5617;16,2768;17,0646;0,756623;0,0647095;-0,859301;-1,53729;
Q20924;14,3759;15,1954;14,903;14,159;13,2824;13,2388;12,9534;13,2793;2,96616;0,000869254;1,46987;5,87068;+
Q20932;16,4389;16,9349;16,6659;16,9414;14,8818;14,8083;15,1138;14,5891;4,63074;0;1,89701;11,7093;+
Q20938;18,9341;19,379;18,5278;19,4247;16,9513;17,179;17,311;17,2836;3,79062;0,00018543;1,8852;8,33483;+
Q20939;14,7494;15,2522;14,9942;15,4321;14,7679;13,5711;14,3201;15,3881;0,704841;0,0740533;0,595176;1,44973;
Q20943;17,1001;17,1773;17,5074;18,1693;15,9882;15,9788;15,7529;15,9746;3,1119;0,000680628;1,56491;6,25744;+
Q20950;18,6862;19,3366;18,7705;19,3568;17,5809;17,701;17,2139;17,5369;3,49672;0,000445211;1,52936;7,37501;+
Q20964;14,6375;14,5101;15,0567;15,3821;14,6138;14,2453;15,959;15,6412;0,188539;0,403877;-0,218243;-0,480589;
Q20965;15,0702;15,3297;15,0598;15,1764;16,1786;16,7534;15,7364;15,859;2,21021;0,00276275;-0,972794;-4,12769;+
Q20966;14,1628;14,7105;14,8381;15,4006;13,2969;12,9669;12,7665;13,28;3,00562;0,000851897;1,70039;5,97355;+
Q20969;14,3404;15,4616;14,7993;14,4684;13,0896;13,3368;12,9399;13,0128;3,13022;0,000662252;1,67267;6,30739;+
Q20970;18,0688;18,3315;18,02;18,4901;17,6169;17,2981;17,7337;17,789;2,12694;0,00335969;0,618186;3,95839;+
Q20974;17,7502;16,9014;16,5911;17,1882;11,0963;15,3575;14,7243;14,203;1,80466;0,0061772;3,26243;3,33649;+
Q20981;14,9235;14,5223;14,6061;15,511;13,2936;13,3543;12,799;13,1907;3,28773;0,000542373;1,73133;6,74988;+
Q20992;16,2478;17,06;16,3695;17,3497;15,0017;15,0768;14,2294;15,0547;2,90159;0,00100456;1,91611;5,70517;+
Q21000;21,2803;21,7897;21,4877;21,8647;20,4776;20,3243;20,0972;19,986;3,66338;0,000284878;1,38431;7,90707;+
Q21004;16,6535;16,3322;17,1431;16,7524;16,4035;16,275;16,0413;16,3031;1,34882;0,0156181;0,464595;2,52817;+
Q21012;14,3722;15,1697;13,8194;14,4911;15,9316;16,6505;15,1616;15,8737;1,89284;0,00516353;-1,44122;-3,50179;+
Q21018;20,7178;21,5871;21,0854;21,6608;19,2085;19,4064;18,7069;18,7337;3,6808;0,000290258;2,24888;7,96451;+
Q21021;17,7513;17,8949;17,7567;17,7401;18,3307;18,4243;17,9144;18,0372;1,68224;0,00793521;-0,3909;-3,11238;+
Q21024;15,9351;16,5036;16,3743;16,3516;15,1357;15,1999;14,4325;15,1819;2,95913;0,000919431;1,30363;5,85249;+
Q21038;14,583;13,0669;13,4411;14,9156;14,9093;15,5824;14,3726;15,7478;1,10127;0,0269637;-1,15137;-2,11157;+
Q21053;17,5378;17,5962;17,7302;17,5141;16,9008;16,5219;16,5312;17,1741;2,57839;0,00158763;0,812598;4,9263;+
Q21059;14,9606;15,2783;14,9718;14,3035;12,7408;12,7301;12,8611;13,2524;3,77841;0,00018241;1,98246;8,29294;+
Q21065;18,4586;19,11;18,9187;19,2414;18,079;17,4819;17,794;17,0283;2,48979;0,00185088;1,33637;4,72611;+
Q21069;15,5143;16,6812;15,4045;16,4038;12,8144;11,6354;15,2551;14,4566;1,51626;0,0105721;2,4606;2,81733;+
Q21080;17,6477;19,0536;18,0826;18,8969;13,0289;13,2157;12,2509;13,2167;4,99751;0;5,49213;13,542;+
Q21083;14,2719;14,9351;14,5604;13,6631;15,9491;15,2573;15,9926;15,9917;2,36501;0,00208426;-1,44007;-4,45303;+
Q21086;15,2931;15,764;15,4259;15,0259;15,4322;15,1533;15,4866;15,6311;0,0970614;0,61616;-0,0485778;-0,265214;
Q21096;15,4203;14,7305;14,6285;14,4432;13,3908;15,2894;15,7868;13,6265;0,172899;0,432629;0,282238;0,445496;
Q21106;16,6294;16,7356;16,7964;16,5253;17,3084;16,2754;14,9221;15,5787;0,597859;0,100138;0,650526;1,26605;
Q21109;19,2482;19,6074;19,4055;19,389;16,4905;16,6597;16,905;16,7145;6,47275;0;2,7201;24,0835;+
Q21121;14,4624;15,3346;15,0345;15,4373;15,1449;15,5188;14,6082;15,2448;0,0767073;0,680585;-0,0619721;-0,213383;
Q21122;15,5008;16,4917;16,3417;16,4075;16,0579;15,8246;15,1503;15,3588;0,969393;0,037055;0,58753;1,89235;+
Q21151;14,9315;14,3496;14,8914;14,0312;16,1206;16,4436;17,0686;17,1383;3,20191;0,000653175;-2,14185;-6,50586;+
Q21152;17,1145;17,9767;17,6595;17,8576;16,3059;16,8403;15,6154;15,0627;2,10397;0,00349111;1,69599;3,91235;+
Q21153;16,3583;16,0122;16,5214;16,1599;16,6691;16,6212;16,616;16,4301;1,39241;0,0142807;-0,321162;-2,60274;+
Q21154;19,346;18,9846;19,3499;18,4136;20,2491;20,3128;19,4682;20,4729;1,8943;0,00516537;-1,10224;-3,50455;+
Q21155;17,6139;17,8887;17,8943;18,0358;16,6352;15,9539;15,2928;15,8389;3,25635;0,000615162;1,92798;6,65984;+
Q21166;14,6618;13,8436;14,9571;14,8876;16,4287;16,6861;14,6035;16,048;1,36259;0,0152922;-1,35404;-2,55169;+
Q21172;14,4995;14,4294;14,8278;15,5003;13,5001;13,5146;12,8546;12,8762;2,73914;0,00117273;1,62786;5,30374;+
Q21173;16,4734;18,0968;17,2132;16,8141;16,1124;16,5331;15,1055;15,6831;1,49459;0,0111507;1,29085;2,77948;+
Q21174;13,7026;14,9265;13,9471;14,9287;15,5734;15,7794;15,3003;15,4207;1,82566;0,00594737;-1,14225;-3,37555;+
Q21182;14,6714;15,5113;13,9355;13,8889;16,3235;16,4463;15,6281;15,8646;1,97703;0,0045708;-1,56389;-3,66288;+
Q21193;17,2444;17,9005;16,5453;17,1081;17,6566;17,5885;17,6677;18,0462;0,924928;0,0408716;-0,540153;-1,81848;+
Q21196;13,7033;14,4887;14,5466;15,3873;13,5559;14,1713;14,3367;13,3912;0,801555;0,0573156;0,667663;1,61276;
Q21201;14,2098;15,0322;14,6801;14,4665;13,073;13,0322;12,9205;13,0018;3,97425;0,000111406;1,5903;8,98737;+
Q21210;15,0478;15,6735;14,8312;15,2064;15,4171;15,3054;14,7838;14,9119;0,13721;0,508997;0,0851774;0,362923;
Q21215;19,0211;18,9235;19,2031;18,7776;19,6375;19,7022;19,2239;19,4935;2,06891;0,00372907;-0,532975;-3,84264;+
Q21217;21,0244;21,8321;21,4083;21,875;19,0518;19,2412;19,9134;19,8056;3,37132;0,000482759;2,03198;6,99453;+
Q21219;16,9144;17,8206;17,5063;17,4511;14,5965;14,422;13,7944;14,4764;4,67559;0;3,10076;11,9203;+
Q21221;14,8063;15,023;14,4133;14,328;13,2951;13,3577;12,903;12,877;3,50504;0,000446753;1,53443;7,40084;+
Q21222;13,8357;15,4518;14,4803;15,3789;14,1904;12,9151;13,9272;14,748;0,761528;0,063998;0,841506;1,54555;
Q21224;14,6379;14,3745;14,7882;14,7705;16,617;16,8594;15,8835;16,4069;3,6511;0,000282126;-1,7989;-7,8668;+
Q21225;17,2358;17,6127;17,2947;17,8504;16,4008;16,6987;15,6003;15,4967;2,34201;0,00211353;1,44927;4,40378;+
Q21228;14,7137;15,2217;14,5074;15,4646;13,0453;13,2259;12,5137;13,3467;3,29063;0,000544782;1,94394;6,75825;+
Q21230;18,6617;19,0404;18,636;19,0596;18,271;18,1322;17,797;17,9717;2,70226;0,00141922;0,806449;5,21546;+
Q21233;17,513;18,2805;18,2701;18,8964;17,4244;17,672;17,0457;17,0493;1,57857;0,00949746;0,94213;2,92701;+
Q21241;17,2979;17,6686;17,4667;17,7398;15,4931;14,6376;15,3175;15,7819;3,8404;9,77E-05;2,23571;8,50754;+
Q21253;17,3787;17,9759;17,9123;17,6552;17,8594;17,9361;17,7922;17,8024;0,360607;0,209789;-0,116993;-0,834601;
Q21265;15,6375;16,3948;15,9045;17,561;17,7999;18,1691;17,8816;18,0974;2,00275;0,00444115;-1,61253;-3,71278;+
Q21266;14,3757;14,1643;13,6991;15,3162;13,1148;14,7;13,3108;13,4687;0,734407;0,0685373;0,740253;1,49981;
Q21267;20,0471;20,3727;20,2507;20,2377;17,7687;16,381;18,6974;19,3376;1,82803;0,00595149;2,18089;3,37997;+
Q21270;13,6024;15,1524;14,8352;14,9848;16,9077;15,784;14,6321;15,523;0,925785;0,0407828;-1,06801;-1,81991;+
Q21274;17,1622;17,7448;17,0596;16,8529;14,2887;14,3843;16,1213;16,8726;1,42998;0,0128929;1,78815;2,6674;+
Q21275;14,9935;15,3736;14,8318;14,423;12,9785;13,2836;12,4972;13,25;3,40787;0,000445161;1,90314;7,10371;+
Q21276;17,8038;18,6209;17,4958;17,777;18,0172;17,8689;17,9126;18,0214;0,0435352;0,804386;-0,0306697;-0,124986;
Q21278;13,8542;15,3487;14,8173;15,1965;14,9135;14,1522;13,9935;14,1859;0,590179;0,102453;0,492882;1,25268;
Q21281;15,5337;17,1765;15,6933;17,5357;15,3692;14,8641;14,728;14,7989;1,57206;0,0095972;1,54473;2,91549;+
Q21284;19,5982;20,7344;19,5499;20,8239;18,1711;18,2648;18,4937;18,5296;2,62901;0,00149107;1,8118;5,04312;+
Q21285;13,6484;14,6134;14,8589;15,1318;16,6712;16,444;16,7353;16,989;3,12135;0,000684211;-2,14676;-6,28316;+
Q21289;18,7197;16,4916;18,5609;16,2185;18,1805;18,0955;18,119;18,3264;0,463314;0,149327;-0,682703;-1,02684;
Q21293;14,8362;14,3782;14,5893;15,0068;13,1367;12,3678;12,8223;13,2154;3,59215;0,000311978;1,81706;7,67587;+
Q21294;14,735;15,2958;14,4257;15,4544;13,1149;13,1066;12,4879;13,2379;3,29813;0,000547619;1,99092;6,77995;+
Q21295;16,8305;17,8991;17,9063;18,6969;15,7302;15,9798;15,3935;15,6544;2,753;0,00118734;2,14369;5,33716;+
Q21298;15,9794;16,4177;15,8858;16,3964;14,6107;14,4568;13,7719;14,7277;3,36609;0,000546448;1,77808;6,97902;+
Q21301;16,7439;16,5113;16,2467;16,526;14,4856;12,7433;14,3878;14,3135;2,98272;0,00084058;2,5244;5,91367;+
Q21307;16,5189;16,0137;16,2152;15,7415;15,0278;14,5057;14,8289;14,7059;3,33001;0,00053313;1,35524;6,87275;+
Q21312;15,0287;15,2024;14,4759;14,7444;13,1575;13,2983;12,9652;12,9008;4,16085;0;1,78241;9,69607;+
Q21322;18,1064;18,8725;18,2825;18,7103;17,0768;16,177;16,3818;16,0468;3,41377;0,000446241;2,0723;7,12149;+
Q21323;13,716;15,1814;14,0683;14,8483;16,9738;16,6348;14,8605;15,9751;1,5511;0,00998548;-1,65755;-2,8785;+
Q21324;15,4288;15,0051;14,8096;14,4873;14,3609;14,0859;13,6632;13,4924;1,99586;0,00445083;1,0321;3,69938;+
Q21336;15,5117;15,2507;14,9073;15,5656;16,4396;16,3542;15,9036;16,295;2,56794;0,00165562;-0,939286;-4,90241;+
Q21338;16,3969;16,809;16,6614;17,1766;15,6592;15,9512;14,9709;15,545;2,47367;0,00184007;1,22939;4,69026;+
Q21342;17,0493;18,8245;18,1636;18,1852;16,2375;16,5379;15,4367;15,0821;2,36559;0,00208516;2,23209;4,45429;+
Q21351;20,2547;20,7088;20,4702;20,8237;19,6543;19,576;19,1406;19,17;3,16237;0,000677048;1,1791;6,39581;+
