ProteinAccessions;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value eat2_d15_eat2_d10;Student's T-test q-value eat2_d15_eat2_d10; Student's T-test Difference eat2_d15_eat2_d10;Student's T-test Test statistic eat2_d15_eat2_d10;Sign p-val: 0.05 
A0A1I6CM84;15,9712;16,3456;16,4401;16,5278;15,5621;15,8213;15,0436;15,1316;2,25908;0,00249134;0,931547;4,22886;+
A0A1I6CM85;14,8144;15,4542;15,0403;14,6875;15,9258;16,2658;16,0502;15,7623;2,62561;0,00148819;-1,00195;-5,03522;+
A0A1I6CM94;16,6746;17,4854;16,6199;18,2509;12,844;13,2261;12,9642;13,0982;4,40765;0;4,2246;10,7102;+
A0A1I6CM95;14,5589;15,4747;14,7881;14,9943;14,143;13,3995;15,8371;15,2707;0,197459;0,389231;0,291423;0,500332;
A0A1I6CMC9;14,8097;14,4842;14,6116;15,4395;13,1881;13,2986;12,9785;13,1643;3,55548;0,000303249;1,67883;7,55906;+
A0A1N7SYP3;20,7031;21,3275;20,7838;21,3111;19,3241;19,188;18,8759;19,0655;4,23088;0;1,91798;9,97462;+
A0A1N7SYP6;19,6491;18,0783;17,8849;20,1577;18,3123;17,9605;18,9907;18,9457;0,25837;0,302866;0,390207;0,630504;
A0A1N7SYQ5;14,5257;15,4335;14,6882;14,9133;16,4943;15,8518;17,1822;17,0772;2,5354;0,00179336;-1,76118;-4,82849;+
A0A1N7SYT2;14,0825;15,3217;14,0565;14,8301;15,9609;14,8263;14,0249;15,4226;0,416571;0,174023;-0,485985;-0,940632;
A0A1N7SYU2;17,2878;17,3288;17,0572;17,7547;13,5636;13,5028;14,9584;13,9699;4,02264;0,000120516;3,35841;9,16659;+
A0A1N7SYW5;14,0703;15,0618;15,034;15,124;13,1894;13,1562;12,0314;13,3612;2,51481;0,00177211;1,88797;4,78209;+
A0A1T5HUK0;13,7413;14,6593;15,0532;15,3199;14,6706;14,6209;14,3081;14,6214;0,148387;0,482151;0,138175;0,38918;
A0A9S0;14,062;14,6214;13,781;15,1548;15,7842;15,5107;13,9367;16,3988;0,825781;0,053948;-1,00277;-1,6533;
A0A9S2;14,9567;14,8565;15,0333;15,1966;14,3588;13,0704;14,4108;14,9409;1,04613;0,0309929;0,815546;2,01982;+
A2V8C3;19,7982;20,5462;20,1392;20,5977;17,0684;17,1944;19,1209;19,6243;1,5969;0,00915074;2,01831;2,95951;+
A2V8C8;19,5576;19,7935;19,4083;19,8309;19,1467;18,3187;18,7729;19,6119;1,23905;0,0198718;0,685023;2,34221;+
A3FPJ3;14,7525;15,1287;15,0067;15,0204;13,2493;14,0597;16,8222;15,455;0,0351541;0,841235;0,0805197;0,101784;
