Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
A0A131MBQ6;Q94300,24.9599,26.4599,24.8678,25.0134,25.1108,26.1567,25.8829,25.2848,18.383,19.7354,20.2466,18.8817,20.793,20.0731,19.8897,20.7316
A0A131MCJ5,22.3347,23.0865,22.1952,23.197,23.1595,23.2072,24.6513,24.1212,20.0335,20.9121,18.073,16.3575,19.6294,19.1603,19.5919,20.5718
A0A131MD51,23.9651,23.6088,24.0779,23.4445,20.867,21.1862,20.7891,20.8594,24.1954,24.241,24.7764,24.8024,23.4268,22.3253,22.5068,23.375
O16293,21.9341,19.9444,21.4413,20.7045,21.6274,20.1542,21.3373,20.2275,19.1847,19.6218,19.2725,21.1687,19.0945,21.2773,19.7128,19.6396
O02147,22.8932,22.4723,23.4205,23.8374,24.4651,24.1807,23.4572,24.2615,18.1144,20.3707,19.4255,20.6059,21.308,20.1025,21.1362,21.2724
F3Y5Q3,20.6423,21.2153,20.9879,21.7316,21.9272,20.9851,21.1849,20.5479,19.6783,20.0169,21.5682,16.9123,21.9463,17.9953,20.3673,20.0127
Q9N350,23.3747,22.079,22.1664,22.4012,23.4188,22.5584,26.8347,23.4788,22.7144,23.3217,24.9161,23.4527,17.9309,19.3761,19.6897,21.1699
Q9N350,24.1499,24.1082,22.3118,24.3778,24.2873,22.7752,23.5959,22.11,23.2303,23.3644,23.6562,23.8135,25.5189,23.3498,23.9741,25.3303
A0A1N7SYR3,20.8211,20.3356,21.5111,21.2207,21.695,21.2506,20.1661,19.7916,23.8067,23.9231,23.9464,22.5394,19.2228,20.559,18.641,19.5258
A1IMB7,23.5733,21.7845,22.8928,22.3574,21.1346,20.6906,21.0994,20.4001,23.4745,23.6091,23.6917,23.2513,19.5254,20.1955,21.6526,20.884
A3QMB7,19.9455,20.6474,20.1293,21.8976,20.7533,20.264,20.5696,21.0339,22.3757,23.0182,23.0929,23.6651,21.3972,18.4257,19.7594,20.2966
J7SF86,20.7098,21.5219,20.5711,21.7545,21.7961,20.2847,20.5564,20.116,19.2189,19.3868,20.6807,17.793,20.7093,18.3312,19.9624,19.0831
