Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
G5EEA8,21.8395,20.6996,20.4623,21.4524,21.9645,20.8519,20.8824,21.3077,21.0212,17.7661,18.7605,18.5271,24.3906,23.6886,26.2636,25.865
G5EEA8,23.3815,24.0935,24.5852,23.4602,21.5361,20.8566,21.2286,21.0646,24.9806,25.618,26.4839,25.01,20.0505,18.6495,20.4531,20.1603
G5EEA8,21.6358,20.5347,21.2947,20.4451,20.5319,20.509,20.9275,20.1902,17.4578,18.1571,19.3021,20.2149,20.3781,17.891,20.322,20.1247
G5EEB6,20.2586,21.1152,20.7734,21.7104,21.2539,21.147,21.2771,21.2197,18.8414,18.3347,20.1832,18.0803,20.7003,19.7526,19.3638,20.5391
G5EED5,29.5317,29.071,28.7795,29.4503,27.8124,26.741,27.4234,28.19,19.6338,20.0336,20.989,19.6798,24.373,24.9332,24.408,22.865
G5EED5,27.9061,28.3196,26.4591,27.4311,29.1733,27.6733,26.0849,26.6389,22.8227,22.1728,20.4765,21.7187,27.5915,27.0327,24.96,27.4432
G5EEG4,20.8423,21.115,19.8133,20.8412,21.7829,20.0556,20.666,21.4141,20.0939,18.4159,17.7358,20.8015,20.0967,21.1699,18.7249,20.9878
G5EEP9,23.2558,23.1498,24.7294,23.4971,23.9572,24.483,23.0336,25.0558,24.9492,25.066,24.5951,24.3121,19.7571,19.4768,20.0813,19.0943
G5EEP9,19.8961,20.5095,20.6054,21.6547,21.9486,21.2274,20.6148,20.4272,20.4935,19.2545,20.7938,20.4575,20.1937,19.841,20.6827,20.8482
G5EEP9,22.8578,21.9888,22.1924,23.499,23.3855,22.344,24.1444,22.8304,17.4701,20.1717,18.3366,15.2692,22.9146,22.3737,21.1718,24.6288
G5EEP9,20.9555,20.8613,21.361,21.8707,23.7767,24.9027,22.0169,24.1977,23.8133,24.7701,24.6038,24.2832,20.9239,18.7279,15.6546,18.9918
G5EEP9,21.77,21.5535,20.9123,20.5435,20.3328,21.092,20.6048,20.6981,19.4263,21.1116,21.8048,17.8818,20.7717,19.9644,19.9385,19.2021
G5EEI9,20.5878,21.5805,20.5262,21.0881,21.2879,20.0086,21.2342,21.132,18.8726,17.7685,21.0667,18.0139,20.3545,20.8278,20.3045,18.7727
G5EEJ7;Q21289;Q23058,21.0366,21.3767,20.7486,21.1632,21.714,20.4487,21.1233,20.8272,20.5463,17.6073,18.3188,20.5478,21.524,20.8152,20.2314,19.7807
G5EEK1;Q10046,23.7325,24.3356,23.8549,23.4841,23.7111,22.1378,21.7231,22.4149,23.6241,23.9782,24.5646,24.7024,20.5104,19.266,20.0357,18.6688
G5EEK1,24.0273,23.9096,23.7182,24.0928,24.3706,25.0122,25.1297,23.9955,24.6804,25.2159,26.0113,25.1571,25.5057,25.7369,23.8624,24.8032
G5EEK1,22.8538,22.5721,23.11,23.6241,25.1958,24.4081,25.0519,23.1549,18.9781,19.7719,18.5988,18.9573,21.7561,23.8029,22.0726,23.6957
G5EEK9,26.4499,25.1663,25.9645,25.5117,26.9601,25.7509,25.417,25.5225,24.6492,24.0552,24.44,23.9968,25.5888,27.1978,23.654,26.1912
G5EEK9,26.1056,25.4501,22.9532,24.6039,25.2868,24.741,24.882,24.6137,18.3548,19.7026,21.1125,17.7542,22.2854,22.1754,24.4694,21.5734
G5EEK9,21.8353,21.3434,21.0228,21.507,25.0688,22.8732,22.098,22.8897,19.3351,17.9796,18.1455,18.5698,23.1665,23.6616,23.231,25.4663
G5EEK9,23.6897,23.4788,23.3229,23.8022,26.6409,23.514,23.5485,23.7054,23.2005,24.2298,25.2663,24.7261,17.0484,20.4871,19.3379,19.1358
G5EEL9,21.8728,20.5091,20.3458,21.8927,21.2755,20.8898,20.9473,20.9653,18.9704,20.1841,21.2593,20.2363,21.2045,21.4815,18.0793,19.0917
G5EEL9,21.2948,21.7607,20.4635,21.6056,20.5592,21.0154,21.3095,20.247,19.6562,20.2038,19.9282,18.3176,20.2689,18.9103,19.9141,19.7134
G5EEL9,19.9424,19.6035,19.8535,20.5053,20.5047,20.7474,21.3824,21.0673,19.6454,19.3513,18.0739,19.2715,19.5618,21.074,18.6279,17.8286
G5EEL9,21.7038,21.6751,21.1852,20.606,21.1308,21.0378,21.3442,21.2626,21.2695,18.445,20.5672,18.6714,19.7475,19.7368,20.6334,19.717
G5EEL9,21.3607,21.0475,20.231,21.4593,21.9745,19.809,21.0858,21.2784,19.3216,20.7703,17.8723,20.7386,22.0253,21.4282,17.4844,20.1834
G5EEN7,20.3827,21.6318,21.4185,21.2412,24.0628,21.5078,24.4668,22.6128,19.9399,19.2919,20.6467,20.3305,22.3762,22.2038,22.3282,25.9089
G5EEN7,21.763,20.703,21.1825,20.5622,24.0628,21.305,22.0768,20.9577,18.3865,17.0524,19.8193,18.8333,22.3762,21.3755,22.0122,22.4982
G5EGR6;Q86B39,26.3157,25.2382,24.7401,25.3313,24.398,23.0636,23.6708,24.5406,19.428,19.6779,19.4019,16.6331,23.9225,22.8459,23.7845,22.8508
G5EET8,20.6034,19.767,20.6985,21.158,21.7364,21.1325,21.1536,20.6212,20.3237,20.1784,20.0286,20.9217,19.319,19.9449,21.2461,20.6499
G5EET8,20.7733,20.3218,20.7326,21.4721,21.9426,21.2051,20.3826,21.2785,16.8522,20.1559,19.256,18.9156,21.4023,18.3641,20.1238,21.1607
G5EET8,25.652,25.3584,24.6722,24.5909,20.7178,24.9076,25.9117,24.6448,22.1631,22.0952,22.8531,23.4843,20.4458,20.1538,20.1193,21.1081
G5EET8,20.1417,21.7705,20.8394,20.8544,21.5875,21.0905,20.0856,21.1571,17.6935,18.3918,20.8979,19.657,19.1467,19.7885,18.7145,20.5933
G5EET8,20.9034,21.7459,20.5595,21.6394,21.6221,20.5843,21.3833,19.8581,19.9308,18.0295,18.1489,19.4215,18.4818,20.3804,20.8506,20.4796
