Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value daf2_d15_N2_d15;Student's T-test q-value  daf2_d15_N2_d15; Student's T-test Difference  daf2_d15_N2_d15;Student's T-test Test statistic  daf2_d15_N2_d15;Sign p-val: 0.05 
H2FLK8(111);25,5633;25,8418;26,207;26,1176;19,8075;21,8818;17,4084;20,1224;3,22763;0,00362606;6,1274;6,57824;+
H2FLK8(120);22,5611;23,6311;23,1157;23,4266;20,0899;19,5625;20,8747;20,4457;3,72414;0,00206573;2,94046;8,10893;+
H2FLK8(1080);21,2223;20,782;22,9317;21,2984;20,5268;19,7266;20,7547;20,6236;1,14795;0,129056;1,15067;2,18944;
H2FLK8(396);20,4255;21,8391;21,111;21,8797;18,7137;20,7357;19,3652;19,325;1,75279;0,0437863;1,77891;3,2408;+
H2FLK8(1051);18,654;19,463;20,0096;18,1686;18,6317;20,8775;20,7696;18,9478;0,45865;0,433138;-0,732849;-1,01832;
H2FLK8(953);23,7357;23,3361;23,4357;22,8499;20,3226;19,8333;19,6372;21,5769;3,1397;0,00397884;2,99688;6,33336;+
H2FLK8(962);21,0856;19,9867;20,0578;19,0821;20,4941;20,24;20,3909;20,091;0,243285;0,62136;-0,250949;-0,598962;
H2FLK8(984);19,5532;19,4716;19,6762;21,273;18,717;19,689;20,0921;18,4745;0,618094;0,330163;0,750373;1,30114;
H2FLK8(1165);23,2164;22,4766;22,888;24,7204;17,9502;19,9065;16,4487;19,3885;2,75281;0,00782375;4,90188;5,33671;+
H2FLK8(1173);19,2672;18,0442;20,0837;20,0241;20,5287;20,4733;19,5159;19,8945;0,677661;0,29684;-0,748265;-1,40346;
H2FLK8(367);22,2886;22,7399;23,3715;23,5446;19,316;19,3233;19,4595;21,9342;2,25643;0,0182653;2,97791;4,22334;+
H2FLK8(188);22,8728;23,9055;23,8118;22,6567;18,8249;21,1808;19,5617;21,1253;2,4806;0,0124737;3,13852;4,70564;+
H2FLK8(201);24,6816;24,7241;23,6424;25,3717;23,1663;22,2757;22,3388;24,2653;1,45921;0,0734995;1,59341;2,71796;
H2FLK8(98);19,6128;20,5369;18,901;17,3869;18,7647;20,2476;19,7758;18,3366;0,0774568;0,856315;-0,1718;-0,215322;
H2FLK8(1255);22,5414;24,4066;24,506;25,0531;21,0499;20,4837;19,9579;19,4567;3,02506;0,00469231;3,88974;6,02473;+
H2FLK8(993);23,6631;24,7007;23,6148;24,7437;23,1656;24,1415;24,4428;24,2898;0,153512;0,734995;0,170623;0,401096;
H2FLK8(1022);19,4519;20,2992;18,5635;19,6434;20,2892;18,7648;20,2962;20,5172;0,386503;0,490254;-0,477335;-0,884084;
H2FLK8(902);20,2099;20,336;20,2535;18,3816;19,2066;18,3997;18,6516;21,2971;0,198219;0,677057;0,406518;0,502005;
H2FLK8(345);22,9736;23,5378;24,2119;24,0029;20,7277;20,0549;20,0722;19,547;4,18203;0,00209836;3,5811;9,77955;+
H2FLK8(1154);22,4037;22,2995;22,9123;21,5974;19,8496;20,547;20,786;18,457;2,17772;0,0204;2,39331;4,06117;+
H2FLK8(263);20,7131;20,815;22,0457;21,9159;20,3494;21,7611;19,2499;19,9485;0,819762;0,232016;1,04519;1,64324;
H2FLK8(169);20,8319;19,588;17,2077;20,343;19,8213;21,5768;20,6722;18,6802;0,285353;0,584537;-0,694943;-0,685915;
H2FLK8(178);20,5449;19,6292;20,0003;20,6052;19,2195;19,611;20,4628;18,7298;0,78677;0,24512;0,689108;1,58797;
H2FLK8(1109);19,7139;19,21;20,1032;18,9907;20,4079;20,5177;17,7859;20,0013;0,0920559;0,826263;-0,173735;-0,252622;
H2FLK8(1118);23,2533;23,318;22,2725;21,8463;20,0755;20,7175;18,6971;20,6202;2,37419;0,0145215;2,64492;4,47279;+
H2FLK8(853);22,1026;22,4108;20,8401;23,2168;19,8215;21,5616;17,5695;20,2503;1,28717;0,097755;2,34186;2,42343;
H2FLK8(1071);20,9793;18,675;20,2369;20,0998;17,799;20,2131;19,0617;20,8017;0,265406;0,598336;0,528838;0,645075;
H2FLK8(843);23,3749;22,8341;25,0775;24,8591;20,9258;18,6787;19,2374;18,3503;3,00134;0,00457143;4,73838;5,96233;+
H2FLK8(126);19,787;19,6796;20,4474;19,5562;20,1139;17,9509;20,647;20,2726;0,0676073;0,876499;0,121452;0,189645;
H2FLK8(343);23,7084;23,8072;23,3234;23,1418;17,4472;21,7165;19,3294;19,8332;2,33545;0,0156918;3,91361;4,3898;+
H2FLK8(15);19,949;21,0307;19,6574;18,777;19,4257;21,0617;19,8189;21,2478;0,356112;0,519336;-0,535015;-0,825932;
H2FLK8(140);19,1692;19,6218;20,9657;18,8798;20,8382;21,0348;19,5255;19,0001;0,267709;0,598099;-0,440513;-0,649823;
H2FLK8(156);17,1271;17,2385;20,292;20,8334;21,284;21,1032;20,1277;20,1117;0,872264;0,212103;-1,78387;-1,73086;
H2FLK8(1249);24,1803;24,7264;24,3867;25,3071;24,4246;24,7707;24,1487;23,0159;0,581272;0,352105;0,560139;1,23713;
H2FLK8(212);20,8499;18,3718;19,3549;20,0487;18,938;18,6818;17,6245;20,1154;0,510964;0,394499;0,816428;1,11289;
H2FLK8(223);20,0538;20,5314;20,1008;20,9771;17,9339;18,8916;20,8358;19,4062;0,90632;0,20253;1,1489;1,78754;
H2FLK8(252);20,2961;18,6531;19,7282;18,2414;19,7527;20,7915;20,0011;18,7875;0,427038;0,456245;-0,603498;-0,960107;
H2FLK8(139);24,7235;25,2989;23,4828;25,6628;23,9617;22,3567;24,5032;24,2944;0,725919;0,276398;1,013;1,48546;
H2FLK8(1327);19,6617;19,3831;19,4748;20,0679;19,9301;19,9335;20,3441;19,2611;0,349818;0,524395;-0,220343;-0,813752;
H2FLK8(330);23,1571;22,1961;22,6376;22,5317;27,2051;28,1537;24,7675;26,5657;2,80066;0,00720949;-4,04235;-5,45331;+
H2FLK8(334);21,7148;22,099;22,6764;22,7565;18,934;21,8092;21,0032;19,598;1,52202;0,0654067;1,97556;2,82742;
H2FLK8(1343);20,5015;18,9144;19,78;19,1428;18,493;20,1333;19,6659;18,6474;0,270721;0,596932;0,349794;0,656022;
H2FLK8(1349);19,3344;18,5834;19,1651;20,6084;22,309;22,372;21,1508;24,858;1,97166;0,0295684;-3,24964;-3,65252;+
H2FLK8(1357);17,7476;19,0088;20,9686;20,0282;18,3429;17,421;20,0485;18,4659;0,441441;0,445859;0,868729;0,986739;
H2FLK8(80);19,2023;20,7096;21,5025;17,6705;18,3252;20,8939;19,5093;20,1879;0,0141291;0,976655;0,042181;0,0418319;
H2FLK9(1137);19,808;20,3923;19,0442;19,5874;20,8075;20,116;20,1977;18,9993;0,286062;0,583767;-0,322147;-0,687355;
H2FLK9(1144);18,658;21,3683;18,1283;19,9545;20,4248;20,2577;20,0768;20,7771;0,537214;0,378823;-0,856826;-1,15962;
H2FLK9(1131);24,5354;24,572;24,7571;25,1411;24,3462;24,1;21,2067;24,268;0,821578;0,231216;1,27116;1,64628;
H2KYH5(232);28,8162;28,7947;28,1331;28,2213;23,4842;22,0543;24,3293;25,951;2,79371;0,00730572;4,53666;5,43624;+
H2KYH5(372);24,8635;25,8133;24,3938;24,6611;24,0961;25,4059;22,6545;26,6069;0,09797;0,814981;0,242065;0,267489;
H2KYH5(384);24,1374;25,6059;24,6894;24,9257;23,028;22,4036;21,5827;26,3467;0,662613;0,304107;1,49939;1,37774;
H2KYH5(309);26,2923;26,7819;26,5807;26,8309;28,0553;24,2538;25,0932;23,9791;0,649276;0,311605;1,27611;1,35488;
H2KYH5(324);26,5085;26,4728;26,611;26,2395;26,4279;25,9433;23,7043;25,9351;0,765518;0,254859;0,955325;1,55226;
H2KYH5(334);27,9373;27,6693;27,2496;27,9932;23,5676;24,4692;24,4763;20,8128;2,59441;0,0101501;4,38088;4,96306;+
H2KYH5(219);25,7787;27,1884;27,2493;26,0516;23,1303;21,9394;23,7757;24,2183;2,7309;0,00796205;3,3011;5,28392;+
H2KYH5(21);26,3525;25,9778;27,0045;26,6112;18,9922;20,3767;19,3644;19,456;5,86388;0;6,9392;19,0138;+
H2KYH5(173);19,5607;20,792;19,9355;18,6347;24,3001;24,4906;24,7854;20,81;2,01301;0,0269095;-3,86583;-3,73278;+
H2KYH5(175);19,6303;18,754;21,8663;21,5923;21,2157;20,1507;17,8947;19,8155;0,279776;0,588791;0,691557;0,674564;
H2KYH5(191);28,6942;28,0075;29,0408;29,1087;29,6402;27,7301;26,773;27,2253;0,607239;0,336711;0,870635;1,28234;
H2KYH5(134);25,0169;25,484;25,9603;25,8643;23,855;23,4009;21,5418;23,8691;2,18437;0,0204187;2,4147;4,07473;+
H2KYH5(392);25,9563;24,8699;24,078;24,3093;20,8027;19,5006;19,5127;20,5627;3,89461;0,00142222;4,70872;8,6991;+
H2KYH5(354);25,1523;25,4089;24,0997;25,8603;23,842;24,599;23,1858;22,5532;1,47822;0,0708296;1,58531;2,75096;
H2KYH5(10);27,9231;28,1579;28,0585;28,8797;28,0827;26,7899;26,6781;26,5034;1,59559;0,0574726;1,2413;2,95719;
H2KYH5(395);23,7627;23,8078;25,597;25,1531;23,6652;23,5506;23,665;24,7934;0,559307;0,363826;0,661619;1,19863;
H2KYH5(393);19,7325;20,1609;18,5923;18,7279;17,6153;20,7185;19,6397;19,6628;0,0491267;0,912479;-0,10563;-0,14026;
Q86NI2(132);19,4945;20,4146;18,9261;19,3512;19,6932;18,8233;20,5818;18,7302;0,0591918;0,892254;0,089479;0,167359;
Q86NI2(151);24,8553;25,6079;24,1921;24,6404;19,9683;19,7351;20,2992;19,6281;5,23348;0;4,91627;14,8606;+
H2KYJ5(239);18,3559;20,1551;19,6201;19,654;19,8888;20,3592;18,7287;18,9913;0,0290381;0,952427;-0,0457449;-0,0846106;
Q8MQE2(76);20,0032;20,8669;19,8423;19,5053;18,9189;20,8095;20,8737;20,4149;0,13999;0,755001;-0,199836;-0,369489;
H2KYN7(293);20,1872;21,244;20,1309;19,3913;20,1804;20,742;21,0772;17,91;0,120366;0,780441;0,260968;0,322606;
H2KYN7(400);18,4911;17,2966;19,3778;18,8953;20,2596;18,4621;20,0789;20,5275;1,06098;0,150342;-1,31684;-2,04451;
H2KYP4(357);19,1378;19,1075;20,1522;18,3551;22,2845;22,9203;22,5453;23,407;3,73495;0,00178199;-3,60113;-8,14532;+
H2KYP4(295);18,7419;20,5804;18,7656;17,5759;22,6529;22,983;22,0147;23,6963;2,82129;0,00734004;-3,92076;-5,5041;+
H2KYP4(547);17,1926;20,1544;18,5491;19,0063;19,3403;21,7887;19,0993;20,042;0,767449;0,25391;-1,34193;-1,55551;
H2KYR1(284);19,9152;19,8343;21,134;17,4135;20,003;20,8077;18,3697;19,3715;0,0232761;0,961472;-0,0637274;-0,0682349;
H2KYR1(290);24,347;22,7929;22,9191;24,6727;20,4835;21,2419;22,6768;23,1886;1,18903;0,119245;1,78522;2,25818;
H2KYR1(202);20,9568;19,2418;20,8893;19,725;21,119;21,2745;19,8864;18,5731;0,00438833;0,992569;-0,00998497;-0,0131344;
H2KYR1(209);20,7151;19,7441;19,8856;19,9323;20,4362;19,1333;20,8284;18,9371;0,176893;0,703783;0,235529;0,454518;
H2KYR1(139);19,3792;19,0219;20,714;18,6123;21,6501;21,3138;15,9893;20,2228;0,0958312;0,818944;-0,362119;-0,262128;
H2KYR1(251);20,0588;19,6144;18,1974;20,4101;22,9714;23,0425;21,8959;21,1821;2,19138;0,0201159;-2,70284;-4,08906;+
H2KYR1(253);19,6231;20,4178;20,637;18,284;19,4224;20,4987;21,5237;20,9114;0,575185;0,355618;-0,848593;-1,22649;
H2KYR1(32);21,321;21,7694;20,2634;22,4046;19,9152;21,8468;18,6368;18,7682;0,972027;0,177994;1,64786;1,89673;
H2KYR1(306);19,4674;20,3113;20,5222;18,0154;21,9967;19,9558;18,2284;20,8097;0,285068;0,584507;-0,668585;-0,685335;
H2KYR1(378);18,6728;20,7135;16,3576;19,3029;20,5815;19,5923;20,3343;20,546;0,796018;0,240943;-1,50183;-1,60348;
H2KYR1(47);20,946;19,4105;21,5604;20,1069;20,4614;21,3063;20,7129;20,3039;0,138357;0,756445;-0,190177;-0,365635;
H2KYR1(53);18,153;18,8293;19,6268;20,4334;20,172;21,2658;19,8551;20,7471;1,11786;0,135977;-1,24938;-2,13922;
O44618(226);19,8451;21,2924;19,8468;21,1015;25,0522;22,2536;24,7656;24,125;2,50465;0,0122809;-3,52766;-4,75931;+
H2KYS3(166);17,5267;19,5808;19,4912;19,4256;20,7253;21,2773;18,5595;20,678;0,841149;0,224045;-1,30396;-1,67898;
Q8MNV5(712);19,8031;18,8351;17,9209;20,6796;19,9958;19,0557;20,4468;21,7278;0,573104;0,356525;-0,996875;-1,22284;
Q86NJ8(113);19,5698;18,0133;20,1219;19,8259;19,5403;18,5892;19,5672;19,5554;0,0460564;0,917576;0,0697093;0,131893;
Q5R3Y6(466);20,4288;20,2289;21,855;19,2518;19,4243;21,4271;19,6111;18,6071;0,363911;0,512259;0,673705;0,840957;
H2KZ06(127);18,4366;20,7067;18,6557;19,5315;19,7861;21,2778;19,4695;19,4412;0,43771;0,448818;-0,660998;-0,979857;
H2KZ37(1420);19,3394;20,6167;19,7149;21,3242;18,9606;20,6024;19,7321;21,1969;0,0675349;0,876404;0,125799;0,189455;
H2KZ48(239);17,9936;20,2984;19,4869;20,8059;18,3973;20,5473;19,0467;19,5141;0,133308;0,764871;0,269807;0,353665;
H2KZ48(244);19,9631;20,5723;20,3711;20,115;20,7456;20,6223;19,8541;18,8779;0,202314;0,673276;0,230417;0,510998;
H2KZ89(161);17,3944;19,5929;20,1426;19,8188;18,3908;19,9081;20,2215;19,1096;0,0822548;0,848073;-0,170329;-0,227678;
Q95Q55(148);25,4431;24,4255;24,6099;25,3268;24,9687;23,8028;24,2151;26,1923;0,0984185;0,81403;0,156611;0,268611;
Q95Q55(149);22,0304;22,3689;22,0089;24,1584;23,9876;24,4694;24,2769;24,7661;1,74316;0,0444217;-1,73335;-3,22316;+
H2KZA9(182);19,9886;20,0509;18,7524;18,4407;24,0328;22,5082;22,7204;24,4777;3,18705;0,00367956;-4,12661;-6,46433;+
H2KZA9(267);21,9359;21,1909;20,9997;22,9703;23,295;23,1073;23,8006;24,5529;1,87716;0,0348074;-1,91476;-3,47214;+
H2KZC4(118);24,0551;24,6733;24,293;25,1533;27,6392;25,8703;24,8425;27,229;1,45219;0,0740588;-1,85156;-2,70579;
H2KZD2(329);17,2806;17,9771;17,6884;21,1841;20,9715;21,3243;20,0768;18,7419;0,81812;0,232733;-1,74612;-1,64049;
Q86NB3(200);18,8892;18,8247;19,5038;19,5403;21,6889;23,5527;22,6693;22,888;3,73386;0,00177358;-3,51024;-8,14163;+
Q18930(821);18,3696;20,0169;20,0752;18,8203;22,0665;22,4242;21,5767;23,5403;2,67391;0,00875735;-3,08141;-5,14829;+
Q4TTA9(60);19,1937;19,415;18,6465;17,2243;20,3277;21,5689;19,2026;20,0997;1,28727;0,0979252;-1,67986;-2,42361;
Q965K3(69);23,4984;23,0413;21,6304;24,2647;19,8759;18,5683;18,534;21,8392;1,9276;0,0318361;3,40437;3,56791;+
Q688A5(71);23,3305;23,4276;22,1504;22,348;20,0521;21,6493;19,5542;21,5515;1,83328;0,0379568;2,11234;3,38978;+
Q9BL66(180);17,65;21,1578;20,1509;21,7717;25,1446;24,551;24,3396;23,8906;2,41051;0,0135447;-4,29884;-4,55144;+
H2KZN1(10);20,8195;20,2777;20,2666;19,7847;21,0829;21,8814;21,0036;21,049;1,75663;0,0436546;-0,967091;-3,24786;+
X5M917(14);19,6586;19,9113;20,8787;21,249;21,0338;18,7133;18,1452;21,3539;0,28513;0,584687;0,612829;0,685462;
H2KZR4(343);17,6828;19,0686;20,083;21,7195;20,3862;19,091;19,707;19,9784;0,0603587;0,890199;-0,152189;-0,170469;
H2KZR4(386);20,0892;19,0256;20,6763;21,121;20,1475;18,3259;19,7977;17,9706;0,83158;0,228575;1,16763;1,66299;
H2KZR4(270);21,5241;22,13;20,4596;22,8602;20,7825;19,5775;19,7071;20,9992;1,25201;0,105033;1,4769;2,36404;
H2KZT9(308);26,5951;26,8936;26,6479;27,4938;27,8351;26,812;27,0608;26,2701;0,081466;0,849705;-0,0868602;-0,225653;
H2L023(196);23,6423;24,8028;25,0514;24,8901;22,4402;23,6888;24,438;23,287;1,12595;0,134238;1,13316;2,15271;
H2L023(105);25,1232;25,5839;23,2654;26,0778;24,1085;22,2136;22,5727;24,2474;1,12079;0,135754;1,72706;2,14411;
H2L023(9);24,1611;24,5363;25,3706;25,2144;26,1288;25,602;24,8178;26,3104;1,0553;0,151927;-0,894166;-2,03506;
H2L023(306);19,9583;21,6526;21,6848;21,6194;19,3593;19,7562;21,2387;21,0032;0,687689;0,292509;0,889453;1,42056;
H2L028(74);19,5721;19,709;21,4518;19,2456;19,93;20,4762;19,3811;18,9381;0,208517;0,665313;0,31329;0,524549;
H2L034(597);19,3232;19,9374;19,2588;20,8689;18,4511;20,4556;20,23;21,6632;0,181143;0,697759;-0,352888;-0,464071;
H2L034(371);17,652;19,4951;20,5489;19,1645;21,1597;20,7274;17,5989;19,8437;0,253837;0,610446;-0,617294;-0,62107;
H2L034(476);17,7266;19,5079;20,31;20,1432;24,9351;25,1726;23,917;25,4615;3,69672;0,00202765;-5,44964;-8,01732;+
H2L048(7);18,879;20,8847;19,5968;18,3914;20,4611;20,3537;19,583;21,0674;0,730295;0,274993;-0,92833;-1,49286;
H2L048(338);25,0665;23,3216;23,239;23,3177;23,227;21,7127;21,3368;24,0281;0,734504;0,272054;1,16004;1,49997;
H2L048(380);21,0299;21,2931;19,6551;21,3105;19,2163;21,076;19,2603;19,9138;0,812244;0,235573;0,955568;1,63066;
H2L048(382);19,5499;18,7726;21,1424;17,6883;20,2949;20,1018;20,9616;19,6114;0,574806;0,355825;-0,954106;-1,22582;
Q8MXS5(484);20,2646;19,1856;19,2226;18,875;18,0588;20,6711;20,1329;19,6327;0,140449;0,754366;-0,236926;-0,370571;
H2L0B6(241);19,4433;19,3692;20,9956;18,6576;20,1834;21,225;21,3925;19,1647;0,574602;0,355671;-0,874995;-1,22547;
H2L0C4(405);22,0372;22,6119;22,8771;21,0602;20,4109;18,9661;20,96;21,5075;1,32302;0,0921773;1,68545;2,48424;
H2L0D1(253);18,6378;18,0912;18,0763;21,3397;21,8144;20,6933;19,0111;19,7189;0,610467;0,335552;-1,27313;-1,28794;
H2L0D3(26);19,4187;20,8572;19,4659;19,6987;21,0209;20,6847;20,139;20,768;1,06819;0,147984;-0,793002;-2,0565;
H2L0D9(105);25,9462;26,3114;24,8629;23,71;24,5967;23,3504;23,4873;26,1437;0,411802;0,468559;0,813107;0,931724;
H2L0D9(108);25,9462;25,9979;26,0938;23,71;24,5095;23,3504;23,4898;24,5135;1,17656;0,122521;1,47117;2,23729;
H2L0E5(652);17,6807;19,0856;21,0506;16,6824;19,3894;20,5046;18,728;20,1525;0,470977;0,4242;-1,0688;-1,04079;
H2L0E5(375);20,1275;20,1804;18,6272;21,263;20,5102;20,3109;18,928;19,6753;0,110357;0,79642;0,1934;0,298199;
H2L0E5(672);19,6357;20,2542;20,5705;18,3135;19,3354;21,4179;18,9822;19,9796;0,119589;0,782046;-0,235315;-0,320725;
Q9N5G9(295);25,9657;24,9667;25,1866;24,7155;25,8508;25,7013;25,2181;23,4253;0,0941045;0,82204;0,159758;0,257788;
H2L0G5(834);21,4885;22,5974;22,4939;21,6314;24,0252;23,9836;24,6455;25,6211;2,72393;0,00794697;-2,51607;-5,2672;+
H2L0H3(25);19,2662;15,7167;19,203;19,1382;18,583;17,9979;18,5615;19,1957;0,102974;0,807372;-0,253507;-0,279964;
H2L0I2(555);20,2774;22,1631;22,504;21,3031;19,3189;20,5852;17,8424;21,0951;1,09682;0,140652;1,85148;2,10415;
H2L0I2(1025);19,0348;19,5891;18,2171;20,5346;21,7586;19,7169;18,8317;20,6998;0,525866;0,385814;-0,907847;-1,13947;
H2L0I2(2207);18,4611;20,1274;19,8492;18,2213;23,912;23,3939;21,8676;22,4895;2,88126;0,00610707;-3,75101;-5,65376;+
H2L0I2(1523);21,2197;20,7902;21,5943;19,3373;19,8365;20,6935;21,4422;19,3237;0,245984;0,619039;0,411389;0,604638;
H2L0I2(612);22,3879;22,2334;22,5306;22,5737;19,4196;19,6421;20,9024;19,9325;3,47892;0,00286331;2,45726;7,31999;+
H2L0I2(133);17,0512;19,4985;21,3076;19,9978;17,9785;20,1788;19,0689;21,886;0,0940497;0,821854;-0,314255;-0,25765;
H2L0I2(1777);18,4668;18,6478;17,8327;20,3758;21,3313;21,9332;23,5841;21,9462;2,44544;0,0129904;-3,36794;-4,6279;+
Q22095(331);19,8865;19,5057;19,8868;18,5391;21,3622;20,4144;20,521;18,9835;0,71958;0,279941;-0,865767;-1,47473;
H2L0K8(246);20,6047;18,9901;21,185;21,1424;20,4449;20,1227;21,1981;18,9742;0,165017;0,720238;0,295582;0,42757;
Q9GZI3(690);17,1752;19,4988;19,7358;18,9694;21,4468;21,2727;20,7582;19,3127;1,30546;0,0950308;-1,8528;-2,45443;
H2L0R6(207);20,3851;20,033;20,769;17,4614;18,7791;20,3609;19,973;20,3765;0,0913722;0,827606;-0,210247;-0,250895;
H2L0R6(248);19,8058;19,8663;20,0709;20,2192;19,7767;19,063;17,4492;18,202;1,4221;0,077363;1,36782;2,6538;
H2L0R6(258);20,4044;20,9851;18,6377;18,3793;18,9235;21,1463;18,3807;17,7128;0,229465;0,638388;0,560779;0,569682;
U4PC11(162);19,8437;19,1449;19,4518;20,3314;19,7897;19,3815;21,1801;19,7956;0,308392;0,560996;-0,343773;-0,732287;
O18688(334);18,8674;20,7827;19,8269;17,2622;18,8386;21,2188;20,278;19,0033;0,288782;0,580103;-0,64992;-0,69287;
O18688(110);18,9518;19,5127;18,4496;20,0129;20,8491;20,562;21,5983;20,7415;2,23334;0,0186367;-1,70596;-4,1754;+
H8W3X0(190);19,6689;21,113;18,6318;19,7436;21,7501;21,5937;21,4585;19,711;0,98669;0,1722;-1,33897;-1,92108;
H9G2R5(26);18,187;20,3838;20,3815;20,9144;20,5162;21,5339;19,431;20,488;0,296019;0,573587;-0,525618;-0,707484;
H9G2R5(36);20,7208;20,1168;18,9086;20,8079;19,4731;20,3306;20,2791;21,7071;0,19033;0,683638;-0,308958;-0,484567;
Q21032(198);17,778;20,2097;18,972;19,4138;20,1343;18,0189;19,0225;20,8164;0,200394;0,675232;-0,404652;-0,506787;
Q21032(141);23,0745;23,533;23,5963;23,0414;18,3952;19,7573;20,2611;21,7258;2,45949;0,0125724;3,27645;4,65887;+
I2HA98(44);17,8828;19,0469;20,6099;19,8953;19,6004;21,9029;19,0008;19,4865;0,307633;0,561136;-0,638888;-0,730773;
I2HA98(93);20,5668;18,3992;21,2152;19,587;21,6378;20,6554;21,5001;20,8599;0,946357;0,187178;-1,22125;-1,85409;
I2HA98(394);17,3131;21,6376;20,3109;20,4566;21,5024;18,5653;19,9252;19,6255;0,00757467;0,986949;0,0249267;0,0225899;
I2HAF4(22);26,2181;28,4154;27,3053;28,3778;29,0358;26,8495;26,5226;28,5791;0,0739474;0,863948;-0,167565;-0,206222;
I2HAF4(18);27,8267;28,5499;28,0735;29,2389;29,6276;29,1112;28,6807;29,0805;0,984533;0,172826;-0,70275;-1,91749;
I2HAF4(3);25,8365;24,8745;25,5177;26,3763;27,3357;27,3295;27,6961;26,933;2,51103;0,012;-1,67231;-4,77362;+
I2HAJ2(17);17,6955;19,0329;19,4734;17,7951;21,2496;19,5145;20,1857;20,1648;1,68196;0,0496656;-1,77942;-3,11188;+
I2HAJ2(4);20,1712;19,3393;18,2317;20,1086;20,0665;18,3097;19,1222;18,9494;0,246239;0,619116;0,35076;0,605173;
K7ZUH9(80);20,6926;20,6999;21,0877;20,2743;25,6692;25,0302;25,971;25,754;5,83378;0;-4,91749;-18,7923;+
K7ZUH9(37);19,1537;18,6852;21,2741;18,8903;21,2593;21,3895;21,2235;17,4404;0,30698;0,561366;-0,827369;-0,729468;
Q6A582(251);19,9393;18,6513;19,1537;21,03;21,4781;20,6192;19,2952;19,864;0,386475;0,490066;-0,620561;-0,884031;
K8F801(1704);18,4542;20,8282;19,9165;18,41;18,8653;19,3457;18,3619;20,3757;0,0816541;0,849476;0,165065;0,226137;
K8FDX2(266);24,2798;24,4669;24,1243;23,1685;19,5494;21,2769;20,1634;21,2451;3,27752;0,0032597;3,45116;6,72047;+
K8FDZ1(1155);26,748;25,331;25,1704;25,0372;18,0084;19,4614;21,4522;20,8655;3,19913;0,0037;5,62479;6,49809;+
K8FDZ1(1156);23,7557;25,331;22,4582;23,943;18,3357;18,4254;20,4056;20,71;2,65416;0,00902712;4,40282;5,10185;+
L8E833(293);18,518;21,103;19,8015;19,8109;19,3605;21,0966;20,8708;19,6716;0,26691;0,597751;-0,441559;-0,648178;
L8E833(401);28,3724;28,8247;28,8893;28,2001;31,0056;30,4705;29,9988;30,4131;3,41319;0,00271672;-1,90038;-7,11974;+
L8E833(104);24,3313;23,6279;23,3914;22,16;22,5523;23,3938;24,1864;24,7677;0,209078;0,664586;-0,34743;-0,525769;
L8E833(106);20,5398;21,5232;19,6063;21,1032;23,342;23,3938;24,4293;24,7677;3,00727;0,00460377;-3,29004;-5,97788;+
L8E833(236);24,5926;26,1593;26,0794;24,9893;24,5805;25,3487;24,9102;26,1107;0,163472;0,722366;0,217607;0,424035;
L8E833(251);27,5429;27,4925;27,3448;26,7771;26,534;26,1866;25,8315;26,4144;2,37549;0,0145662;1,0477;4,47559;+
L8E833(258);24,2134;25,5373;25,9334;25,6917;25,2796;24,1843;25,5491;26,0952;0,041786;0,925484;0,0669227;0,120175;
L8E833(289);23,8268;22,5317;24,5768;23,4875;19,3188;19,7659;18,9946;17,8667;3,65286;0,0019214;4,61918;7,87256;+
L8EC34(297);19,4005;19,0113;20,697;20,6135;24,3853;23,1271;25,0663;24,1671;3,46158;0,00281272;-4,2559;-7,26672;+
M1Z854(255);23,1041;22,993;23,4671;23,3365;24,7684;25,5516;22,643;24,078;0,824665;0,23028;-1,03506;-1,65144;
M1Z854(341);19,3326;20,1118;19,8598;19,4513;19,9321;20,4272;18,4628;21,6141;0,253681;0,610335;-0,420221;-0,620746;
M1Z854(88);17,5804;18,3544;18,6482;18,3882;18,9395;21,236;18,7842;19,8453;1,27288;0,100801;-1,45843;-2,39926;
N1NSD4(31);18,4863;19,2732;21,3229;20,227;17,3884;20,1696;21,2298;19,3101;0,110067;0,796477;0,302827;0,297485;
O01477(84);20,5912;20,7378;19,0526;20,4617;21,4721;20,1075;19,8276;21,7543;0,413355;0,467658;-0,57954;-0,934627;
O01485(1824);20,7408;18,3603;21,1553;20,2669;18,9393;20,3502;21,5734;19,2112;0,0454662;0,918454;0,112315;0,130279;
O01498(161);26,0452;27,8578;29,3101;28,2448;29,113;28,2956;27,664;23,697;0,191252;0,682556;0,672075;0,486613;
O01498(281);19,7;21,2139;18,511;18,0708;18,6269;20,315;20,4946;20,3825;0,291455;0,578816;-0,580804;-0,698278;
O01498(137);28,2966;27,9215;27,4533;26,3342;20,8952;18,6835;17,9781;19,0145;4,4925;0,00158974;8,35857;11,0806;+
O01504(49);19,2598;20,6648;18,8104;20,7046;21,6765;19,5926;19,2372;18,3913;0,0562287;0,895936;0,135482;0,159433;
O01504(59);20,8738;21,3742;21,741;21,1239;20,3136;19,7885;20,6632;17,3686;1,2001;0,117263;1,74475;2,27674;
