ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A4UVL9;14,3447;13,8129;13,521;13,1292;14,3863;14,4106;14,1874;15,09;1,34907;0,0113858;-0,816616;-2,5286;+
A4UZ35;12,476;11,9945;12,2783;12,7263;14,3003;14,3656;14,1799;15,1433;3,67424;0;-2,1285;-7,94285;+
A5A8P5;15,8908;16,1113;17,0054;17,122;14,0678;13,8568;14,8909;13,7311;2,97846;9,97E-05;2,3957;5,9026;+
A5HU91;18,7557;19,408;19,1065;19,2671;19,9048;21,3434;20,9199;21,4929;2,44689;0,000683021;-1,78092;-4,63108;+
A5HU97;18,0505;17,75;17,6999;18,21;19,7567;19,4839;19,8566;20,3092;4,01529;0;-1,924;-9,13915;+
A5HU98;16,1879;16,0291;15,5349;16,3943;16,549;17,1327;17,1646;17,1503;2,17905;0,00137856;-0,962614;-4,06388;+
A5HWA4;12,4888;12,1897;12,15;12,4858;14,3978;14,3847;14,2994;13,8544;4,70539;0;-1,90549;-12,0624;+
A5HWA9;12,5283;12,0756;12,0739;12,7532;14,4792;14,3649;14,0998;14,5937;4,2704;0;-2,02664;-10,135;+
A5HWB2;13,8119;13,3581;13,8069;14,3687;13,9212;14,3806;14,4219;15,1674;0,989064;0,0304441;-0,636385;-1,92502;+
A5JYR4;13,7589;13,3627;15,0522;15,4241;14,8271;14,2647;15,8807;15,1402;0,474617;0,14242;-0,628716;-1,0474;
A5JYS8;14,0337;13,4524;13,9045;13,8171;14,2443;14,3088;14,3442;14,1746;1,93368;0,00245601;-0,466066;-3,57952;+
A5JYT2;14,0027;13,955;14,9507;15,0034;14,5044;13,1219;14,1506;14,9601;0,245865;0,3357;0,293663;0,604388;
