Proteins,eat2_d5_01,eat2_d5_02,eat2_d5_03,eat2_d5_04,eat2_d1_01,eat2_d1_02,eat2_d1_03,eat2_d1_04,eat2_d10_01,eat2_d10_02,eat2_d10_03,eat2_d10_04,eat2_d15_01,eat2_d15_02,eat2_d15_03,eat2_d15_04
A8WFH7,21.101,24.1767,23.4194,22.271,20.3805,22.665,24.4235,21.918,24.3052,24.029,24.2603,23.6969,21.2492,24.6939,25.122,25.553
H2KYH9,21.5217,20.5166,20.5425,21.5172,20.1333,20.809,20.2668,20.3764,21.5225,21.0172,20.8943,20.5508,21.2969,20.7897,20.8244,19.1231
A8WHP8;Q65ZB1,24.2893,23.7657,24.4579,22.9699,23.8438,22.9258,22.5875,22.9949,23.025,25.3287,22.4559,24.5313,23.1619,22.8317,22.1447,22.7106
A8WHP8;Q65ZB1,20.8294,21.5916,21.2137,19.1049,20.588,21.3695,21.0452,21.043,21.2604,21.5089,21.1721,21.0287,21.4583,20.6505,21.4453,21.1883
A8WHP8;Q65ZB1,21.2548,20.6183,20.8884,20.5537,19.6432,21.2902,21.5098,20.3485,21.7246,21.272,21.3048,20.635,23.1303,22.6735,23.4692,21.9141
A8WHP8;Q65ZB1,21.5384,21.3693,20.8242,20.6777,20.2697,21.5125,21.7887,21.1808,21.8548,21.3014,21.8023,21.4422,21.4823,19.5476,21.7658,21.1653
A8WHP8;Q65ZB1,21.1554,20.6325,21.1355,20.2765,20.8158,21.1233,21.6061,21.1029,22.8721,21.7956,23.8906,22.2759,21.9637,22.0137,22.2861,22.9176
A8WHP8;Q65ZB1,20.2544,21.6151,20.0617,21.1577,20.7415,20.7206,21.8826,21.3949,20.5827,19.1302,20.1471,21.2666,21.7561,20.04,21.5093,19.5039
A8WHP8;Q65ZB1,20.8074,20.8022,21.4128,21.3674,21.4412,22.6873,22.6751,20.7767,20.0063,20.9434,21.6443,19.7249,26.4881,21.3335,23.9101,25.2886
A8WHP8;Q65ZB1,21.2695,23.6,22.7108,22.0169,21.4907,21.462,20.2302,20.822,23.6495,23.3839,23.9651,23.4029,21.0801,20.5858,21.0352,20.3379
A8WHP8;Q65ZB1,20.4923,20.5112,19.8218,21.6285,23.114,23.335,21.5291,23.5152,22.4982,22.8863,22.7306,20.3378,22.5417,21.4511,22.0691,21.6776
A8WHP8;Q65ZB1,21.0897,19.8147,20.7466,20.5453,20.9978,21.1914,21.0732,20.3696,21.7567,20.974,21.275,21.41,24.6815,23.962,26.0082,23.7266
A9UJN7;Q7YXB8;Q18494,21.5432,21.1509,20.6708,20.7141,20.3034,21.7889,20.2967,20.51,21.6307,21.1563,21.0618,19.4438,23.215,23.0289,23.0514,22.1979
A9UJN7;Q7YXB8;Q18494,20.9299,20.9026,20.2859,21.8679,20.2461,21.3017,21.539,21.0835,21.7606,21.2241,20.6012,21.0253,20.7697,21.3594,21.3015,19.535
A9UJP1,20.3697,21.2713,21.0209,20.8613,19.0972,21.5018,21.4749,20.4262,20.8337,20.2516,21.7994,21.1831,21.5906,21.499,20.7047,21.494
A9UJP1;Q95ZR6;Q9XVL1,20.3752,20.9983,20.3401,21.596,20.7754,21.2796,21.4993,21.2506,21.6074,19.6301,21.3168,19.7908,20.2506,21.0321,20.7145,21.4523
A9UJP1;Q95ZR6,24.7759,21.6179,22.9029,22.9717,22.3508,24.0385,24.6726,22.9248,25.4615,25.1134,25.633,27.1141,21.5028,21.5451,19.4138,19.8022
A9UJP1;Q95ZR6;Q9XVL1,23.5517,24.5036,25.2843,25.071,23.7969,24.428,24.7722,23.5462,25.1295,24.9643,25.4021,23.0182,21.5209,19.799,21.7202,20.2947
A9Z1K9,25.7672,25.9749,25.6818,28.89,20.1415,21.4402,21.3336,21.2091,20.5842,20.7323,21.317,20.6205,22.0807,20.7789,20.4122,20.0691
B0M0L8;H2KYS1,22.1166,23.2779,21.8406,23.467,22.2206,23.0069,22.2746,22.6231,20.6987,20.7027,20.309,20.7099,22.2482,23.2929,23.418,22.296
B0M0L8;H2KYS1,25.229,24.3716,24.5296,23.2563,24.9529,25.1135,25.0916,24.3269,24.7927,25.2357,25.4779,26.086,25.0547,24.0391,23.9533,24.3759
B0M0L8;H2KYS1,21.0146,20.967,21.408,20.6054,20.304,21.0669,20.6657,18.9223,20.7058,19.7031,21.8011,20.5861,21.3568,20.6489,21.7948,21.1252
B0M0L8;H2KYS1,22.8827,21.4374,21.4661,23.8239,22.9874,23.8159,23.6436,23.136,25.474,25.5772,24.6546,21.5552,21.1448,18.6417,19.8242,20.6551
B0M0N4,21.029,21.6173,21.7983,21.0978,18.7555,21.9056,20.2279,20.4692,24.719,24.5634,24.7246,22.1008,21.0359,20.9745,19.6175,20.3549
B0M0N4,23.7929,24.6363,24.2758,24.124,24.3454,23.7015,23.1392,21.4984,24.0699,24.1641,24.3997,24.0027,20.7542,20.0336,20.038,18.9517
B0M0N4,20.931,21.3061,21.7937,19.8725,20.7754,21.5527,21.8158,19.9556,21.4247,20.8739,19.8761,21.0103,21.7548,20.1904,21.3833,20.5938
B2D6M4,25.5304,27.5923,26.6201,26.5127,24.9244,27.366,27.1777,25.6319,27.6832,26.0726,27.0805,26.0872,27.6548,27.3311,27.584,27.434
B2D6M4,20.7468,20.9624,21.1756,20.5598,24.984,24.3233,25.3258,24.4813,21.6725,20.2733,21.1519,20.2451,20.8768,20.2682,20.2449,20.1922
B2D6P1,21.6003,20.9568,20.6863,21.0526,20.5095,21.199,20.8649,20.7348,21.5443,20.3561,21.313,19.9066,24.4981,23.0686,23.1787,23.9531
B2D6P1,20.8261,20.4019,19.9709,20.3885,20.0498,21.5581,20.7946,20.5847,21.9892,19.6764,21.8147,21.0431,24.4506,20.9849,22.1507,22.6162
B3CKG1,24.6014,25.6672,24.6381,24.9835,19.3419,21.7821,20.0069,20.6851,25.6141,23.7333,24.3491,24.1618,27.2999,25.661,25.3296,26.1432
