Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
B2D6P1,22.9921,21.1897,22.2918,22.6216,20.6732,20.497,20.5497,21.3869
B3CKG1,18.8264,18.3651,19.2918,18.4032,20.4696,21.1678,21.1164,20.393
B3WFT8,22.4824,22.9064,22.5654,22.625,24.1572,21.3356,22.264,22.2322
E1B6S9,17.5547,21.765,19.0325,21.2777,21.8755,20.8551,21.1529,20.6491
G5EC65,18.3909,20.0661,19.6935,17.4703,20.6342,20.5365,21.3086,21.1788
B3WFW7,23.1292,26.0271,22.8694,24.6437,21.6564,19.9752,20.6999,20.4518
B3WFY5,23.5,23.9385,23.5393,24.3298,24.3361,22.2086,20.8543,22.6177
B3WFY5,24.3826,25.9305,25.809,26.0201,25.2606,25.6371,24.2254,24.6313
B3WFY5,22.4523,23.791,23.506,24.3395,21.8475,20.8262,20.2425,21.2122
B5BM23,20.4335,18.7878,19.4227,19.9481,20.8511,20.8173,21.3685,21.4045
B5U8N2,17.4037,19.9347,21.1609,19.8517,20.9623,21.1629,20.9435,19.7158
B5U8N2,20.9354,18.9103,20.7375,19.2448,21.9108,20.9403,21.1293,21.0155
B5U8N2,22.7243,23.137,24.0986,22.1882,21.6035,20.4234,20.8624,21.2641
B6VQ78,24.7936,25.0717,25.3417,26.0154,20.3301,21.1531,20.9921,20.4219
B6VQ78,19.0913,20.749,19.4483,19.8817,21.7015,20.8772,20.8378,20.6811
B6VQ78,23.5881,23.6613,25.4553,24.3153,21.3109,21.1032,20.8876,20.4697
B6VQ78,19.7066,19.1923,18.6766,19.3035,21.2737,19.9373,20.7188,19.9678
D9PTN8,18.2814,18.0552,19.9678,18.035,21.5179,19.9372,20.8101,20.819
B7WN71,23.1647,23.4752,26.9099,24.7369,20.6509,21.0606,20.9516,21.2993
B7WN95,20.7585,19.1846,20.8123,21.0274,23.6545,23.6426,23.7851,23.8004
B7WNA1,19.8961,20.3708,20.6711,21.4848,25.063,24.3442,24.8811,25.0327
B9ZSG9,20.4987,18.4029,17.028,17.9701,24.3338,23.6515,23.0454,23.8972
C1P636,18.4783,20.067,20.0159,19.1758,28.1348,25.807,25.7378,25.8324
C1P636,17.9534,18.0741,18.7596,19.4827,22.5634,21.3879,19.6426,22.1402
C1P636,28.8427,28.5983,28.7425,28.1472,29.5716,26.7085,28.3355,27.7339
C1P636,18.4082,18.2486,20.1828,20.7321,21.3669,20.2532,21.2229,21.4144
C1P636,20.3531,20.2175,19.5885,20.3915,24.762,24.5635,24.3927,23.9698
C6KRI9,19.1637,17.8387,18.4294,19.3799,22.3659,22.2663,24.2502,22.3208
C6KRJ1,26.5813,25.9916,26.517,26.9107,21.2626,20.6756,20.0427,20.9836
C6KRJ1,19.4496,20.9856,19.8474,20.8095,20.3283,20.404,21.1907,20.1934
C6KRL2,18.7797,20.0192,20.3605,20.1768,23.0431,21.9074,21.3555,20.478
C6KRL2,19.8777,16.6764,19.8447,18.5845,20.8562,20.5113,21.1452,21.3433
C6KRL2,19.4769,19.7259,20.5111,18.3891,20.182,20.4313,20.6707,21.3595
C6KRN1,19.9763,19.5928,20.3653,19.8188,21.2271,21.1854,21.1812,20.6375
C6KRN1,18.4955,19.5373,21.2587,17.2448,24.1883,22.7178,21.1276,23.7962
C7GIK1,20.3252,19.5685,21.0744,20.6322,23.6246,22.9265,23.0686,21.6752
D0IMZ5,19.4306,20.9576,17.2759,19.339,20.3637,20.2484,20.6917,21.2716
D0IMZ5,20.221,19.4202,20.1358,19.5461,21.7987,20.5935,20.77,20.7443
