Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
D3YT20;27,7765;26,758;27,6961;28,0482;27,2754;27,6243;0,237689;0,701124;-0,23912;-0,603861;
D3YT37;26,7422;25,3837;24,8288;25,5931;27,6477;26,5594;0,504964;0,329003;-0,94852;-1,15433;
G5ED29;27,8645;27,4797;28,5164;25,3489;27,3353;28,1987;0,481208;0,349476;0,992592;1,10745;
D4YWC3;33,5138;33,7524;33,6452;34,2373;34,5697;34,3321;2,45272;0,00791111;-0,742591;-6,15945;+
D5MCN2;28,7974;29,8634;29,4374;29,5203;28,4678;28,5193;0,50179;0,330794;0,530269;1,14808;
D5MCQ9;26,5659;26,4991;25,924;24,5353;24,6466;24,5144;2,97637;0,00200966;1,7642;8,48876;+
D6RYD9;26,5046;26,2336;26,8493;26,3628;26,523;27,3063;0,231442;0,710992;-0,201564;-0,590028;
D7SFI3;30,3823;30,4672;30,7907;31,1459;31,2198;30,9734;1,76537;0,0203939;-0,566327;-3,92573;+
D8FRP9;24,0754;24,0523;24,1549;25,7314;26,0272;25,5063;3,37733;0,00192105;-1,6608;-10,7831;+
G5EG85;31,3837;31,248;31,8126;31,3252;31,4095;31,6502;0,034139;0,957218;0,0198034;0,101011;
E2JL03;26,1265;25,6284;26,8334;25,4645;24,8108;25,5929;1,00016;0,0867235;0,906713;2,13217;
E3W741;29,0494;28,6712;28,7183;26,6324;26,4852;27,0511;3,26543;0,00180247;2,09004;10,0906;+
E3W743;29,0209;28,9723;29,3699;30,0119;30,2358;29,7981;2,13381;0,0132995;-0,894247;-5,02712;+
E3W759;27,7204;27,5499;27,6453;27,4853;27,5267;27,3192;1,14037;0,0634522;0,194813;2,42486;
E5QCI0;23,8905;23,8901;24,1183;25,7472;25,8398;26,144;3,78359;0,000964286;-1,94401;-13,6967;+
F1LIM6;26,8337;27,4271;27,3948;24,4637;24,5117;24,5586;3,81019;0,000981818;2,70718;13,9117;+
F3Y5Q4;23,9851;24,1203;24,0756;26,0512;27,2696;26,8695;2,75007;0,00422581;-2,6698;-7,40083;+
F5GU87;27,0686;27,6807;26,8498;25,626;27,0392;28,4589;0,0644707;0,921224;0,158347;0,185254;
F5GU98;25,0932;25,6546;26,1487;25,3886;24,886;24,9056;0,759606;0,162998;0,572104;1,65171;
F5GUH1;26,1497;27,1476;27,5207;23,7871;24,6639;24,6191;2,17946;0,0109688;2,58261;5,17806;+
G1K0V8;30,9981;30,6615;30,4833;32,3088;32,4677;32,5672;3,29655;0,00181366;-1,73354;-10,2789;+
Q1ZXU6;30,1745;30,136;28,8978;27,9671;28,7301;28,3787;1,35876;0,0415323;1,37749;2,90775;+
G2HK16;27,4269;26,8053;26,7657;24,4179;23,9492;24,6364;3,08074;0,00154497;2,66477;9,03779;+
G3MTX8;27,9919;29,9114;29,3256;27,5127;27,3493;28,3294;0,97974;0,0925598;1,34585;2,09046;
