Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
P30640;28,7719;29,3594;29,4288;28,0583;29,1327;29,1556;0,411523;0,42972;0,404498;0,968399;
P30642;29,5612;30,2024;30,2446;30,1417;29,0539;29,5035;0,493909;0,338406;0,436397;1,13254;
P31161;29,9288;29,2628;29,6096;30,2778;29,8167;29,9168;0,78203;0,155325;-0,403379;-1,6957;
P32743;28,5548;28,7768;28,1345;26,2026;26,29;25,9491;3,39968;0,00195973;2,34148;10,9267;+
P34183;25,7913;25,4845;25,8936;27,3645;27,848;27,8613;3,18574;0,00169767;-1,96813;-9,62306;+
P34274;27,6169;27,678;27,9445;27,3379;25,8495;26,7014;1,18601;0,0568957;1,11691;2,52282;
P34280;27,8189;28,0148;27,794;26,4254;27,3696;27,4679;1,09142;0,0701413;0,788273;2,32133;
P34308;29,3947;29,7463;30,3304;28,3701;29,3041;29,8226;0,580919;0,261858;0,658163;1,30316;
P34313;27,2665;28,9662;28,7868;26,2504;27,5571;28,7487;0,383496;0,462035;0,82107;0,911646;
P34325;25,1832;30,5844;29,4024;24,5677;24,621;24,5594;1,09191;0,0700531;3,80732;2,32237;
P34329;26,2186;26,621;26,8959;27,1645;26,8816;27,5397;1,05827;0,0761679;-0,616793;-2,25209;
P34334;33,4908;33,3941;33,3771;31,9055;32,8204;32,7797;1,42314;0,0368686;0,918797;3,05766;+
P34339;29,7179;30,0932;29,9329;29,8235;30,0189;29,5237;0,281045;0,624548;0,125967;0,698139;
P34342;27,1444;26,1594;26,6897;24,9162;25,6868;26,8449;0,604829;0,244577;0,848515;1,3498;
P34346;32,2177;31,4822;32,2565;30,731;31,4807;31,0473;1,26816;0,0485822;0,899153;2,70292;+
P34369;26,7904;25,7374;25,6869;26,5597;24,9988;26,6151;0,00702968;0,98994;0,01371;0,0214102;
P34382;34,4425;33,606;33,871;34,8745;34,8691;34,9146;1,67839;0,0240629;-0,912923;-3,69261;+
P34383;32,9165;32,9736;33,2106;32,5227;32,7291;33,3035;0,294186;0,605381;0,181797;0,726182;
P34385;27,535;27,5853;27,6436;27,8767;27,3502;28,3549;0,394583;0,447857;-0,272633;-0,934165;
P34423;28,2856;27,5446;28,319;27,5415;26,3281;27,3123;1,03242;0,0810159;0,989094;2,1985;
Q1W0S5;27,6391;27,2167;27,2586;24,508;24,1766;24,5913;4,0449;0,00121348;2,94621;15,9566;+
P34446;31,7898;31,8115;31,7009;30,5161;31,5448;31,5661;0,735162;0,172841;0,558387;1,60387;
P34453;24,1368;24,1185;23,9388;26,0565;24,226;25,4532;1,02206;0,0834304;-1,18051;-2,17715;
P34455;34,1638;34,202;34,2793;33,355;33,5011;33,4483;3,85719;0,00100935;0,7802;14,2997;+
P34462;31,1119;31,5014;31,5221;30,4428;31,8436;31,7323;0,027863;0,9648;0,0389099;0,082975;
P34476;26,9342;26,7966;26,4988;25,7366;25,6192;25,8762;2,59589;0,00645818;0,999185;6,73256;+
P34496;29,3381;29,2788;29,2828;28,2683;29,0081;28,7298;1,36153;0,0416442;0,631126;2,91413;+
P34498;28,8254;27,7523;27,2973;24,5332;24,3575;24,3956;2,82329;0,00357806;3,52961;7,73827;+
P34500;30,7944;31,8072;31,5504;32,023;31,4217;31,8929;0,484663;0,346068;-0,39518;-1,11428;
P34526;25,5719;25,7368;26,0989;25,3516;25,7342;26,115;0,0910071;0,885369;0,0689316;0,255485;
P34528;29,6132;29,3677;30,1494;30,6001;29,9641;30,681;1,02298;0,0830285;-0,704961;-2,17905;
P34531;25,466;25,3341;24,8773;24,5713;23,9453;24,6408;1,37992;0,0406429;0,840014;2,95661;+
P34540;26,6338;27,6978;28,2169;27,5258;27,7816;28,0189;0,205686;0,749638;-0,259313;-0,53224;
P34552;29,2029;29,303;28,8305;27,1662;27,3167;27,1462;3,6133;0,00155039;1,90246;12,3939;+
P34559;26,4962;25,1172;25,7081;24,9079;25,0359;26,0232;0,352263;0,509631;0,451517;0,847675;
P34562;26,7982;27,1303;26,9341;25,8896;26,9366;27,1803;0,282045;0,623176;0,285354;0,70028;
P34574;29,7132;29,9466;29,4078;30,4;30,2043;29,7908;0,865319;0,125975;-0,442464;-1,86027;
P34575;33,6462;33,4781;33,5167;32,6981;32,8767;32,7498;3,33305;0,0018961;0,772129;10,5039;+
P34576;26,9535;26,6036;26,7295;27,183;26,8855;26,6519;0,321121;0,561407;-0,14457;-0,782986;
P34580;26,7887;25,6728;26,7497;27,9372;28,3685;28,1652;1,97854;0,015163;-1,75323;-4,53882;+
P34594;28,4732;26,595;26,0478;28,8674;29,4502;28,8799;1,25342;0,0499776;-2,02717;-2,67023;+
P34599;27,2396;26,0956;27,5459;26,0676;25,0768;25,9162;1,11261;0,067946;1,27348;2,36595;
P34618;26,4484;26,162;25,8625;26,6347;26,6924;26,0231;0,463125;0,369184;-0,292426;-1,0716;
P34623;25,1908;24,731;24,3651;24,2979;24,4198;24,5213;0,636635;0,224122;0,349341;1,41176;
P34629;23,3803;23,9299;23,975;27,1725;27,124;26,6543;3,66158;0,0016129;-3,22187;-12,7506;+
P34648;29,3303;29,331;27,2386;27,0553;27,6331;26,3926;0,959167;0,098327;1,60625;2,04865;
P34652;26,6751;26,4527;26,0607;28,1333;27,0047;27,1953;1,2543;0,0500398;-1,0483;-2,67217;+
P34662;32,1616;32,1881;32,2524;30,4506;30,9398;30,5923;3,31943;0,00183648;1,5398;10,4194;+
P34669;27,0475;26,7527;27,7151;26,7963;27,9394;27,2793;0,141282;0,829977;-0,166604;-0,381398;
P34670;25,9229;26,5383;26,6554;24,5167;24,5717;24,4819;2,8955;0,00317544;1,84879;8,08446;+
P34685;30,8116;30,662;30,0446;29,7601;29,7446;29,6552;1,53058;0,0301705;0,786071;3,31656;+
P34686;28,1218;28,5219;28,3493;27,4603;27,7593;27,7901;1,87225;0,0164534;0,661129;4,22535;+
P34689;27,8357;26,4023;27,521;28,7425;27,9288;28,2489;0,998142;0,0871942;-1,05373;-2,12804;
P34690;31,6851;31,7318;31,9247;30,6261;31,7738;31,7729;0,427479;0,410641;0,389596;1,00047;
P34696;32,217;32,2764;32,1797;29,5158;29,4518;29,0462;4,37014;0;2,88645;19,2813;+
P34697;34,8655;34,91;35,1045;34,8307;34,7457;34,7654;1,08453;0,0716344;0,179371;2,30688;
P34705;28,4565;27,8233;26,8989;27,1108;26,1658;25,8756;1,07638;0,0728928;1,34218;2,28983;
P34712;24,1034;23,8538;24,0619;26,9139;27,6802;27,765;3,59282;0,00150376;-3,44669;-12,2455;+
P34714;30,7444;31,2849;31,3875;31,0687;30,673;31,3206;0,161861;0,809265;0,118199;0,430711;
P34815;29,149;29,4099;29,5387;26,9446;27,1549;27,7828;2,7695;0,00390204;2,07178;7,4891;+
P36573;34,995;35,1399;35,0779;34,6212;34,8248;34,8781;1,53815;0,0295375;0,296218;3,33527;+
P36609;32,1881;31,9448;31,9418;32,6074;32,5882;32,3334;1,80379;0,0187237;-0,484788;-4,03171;+
P37806;34,0924;34,3135;33,8904;33,8453;34,0506;33,8629;0,574651;0,267252;0,179081;1,29093;
P41847;24,0737;24,0854;24,158;28,4248;27,1091;26,7127;2,51114;0,00748344;-3,30984;-6,38807;+
P41932;33,9576;33,9451;34,0781;34,6608;34,3373;34,1489;1,17616;0,0585395;-0,38873;-2,50155;
P41988;31,6044;31,1533;30,8409;29,2633;29,8853;30,1258;1,88003;0,0164928;1,4414;4,24775;+
P41992;23,9916;24,0989;24,0899;25,8729;24,1359;24,2022;0,522556;0,315825;-0,676874;-1,18893;
P41996;25,4815;24,4433;24,9878;24,365;24,6375;24,5496;0,661991;0,208596;0,453531;1,46114;
P42170;30,711;30,7308;30,7968;32,2691;31,4781;31,6965;1,9666;0,0154;-1,06836;-4,5028;+
P43508;29,2159;29,5593;29,1992;30,1508;30,9386;31,4256;1,75077;0,0207701;-1,51354;-3,88597;+
P43509;28,7794;29,081;29,0023;28,2183;29,4749;29,7445;0,149106;0,823656;-0,191687;-0,400283;
P45967;28,064;28,0398;27,9701;24,8867;27,9514;27,8935;0,477656;0,353267;1,11412;1,10042;
P45969;29,8252;29,5061;29,6524;24,5357;24,5173;24,3462;5,91652;0;5,19478;47,1347;+
P45971;28,2046;27,3141;28,1334;28,7026;27,1731;27,7682;0,00167621;0,996934;0,0027167;0,00513627;
P46502;29,239;29,9544;30,0922;29,1968;30,0495;30,1367;0,0272359;0,965576;-0,0324472;-0,0811606;
P46561;33,0488;33,0712;32,8866;32,0696;30,8805;30,8028;1,87369;0,016554;1,75121;4,22949;+
P46562;29,3975;29,2667;29,1899;29,4326;29,7463;29,677;1,38183;0,0404518;-0,33398;-2,96103;+
P46769;30,644;30,3715;30,6308;30,7076;30,7282;31,0533;0,918612;0,109434;-0,280947;-1,9668;
P46822;25,5325;24,6322;25,1681;26,1709;25,9013;26,4617;1,59211;0,0256715;-1,06705;-3,47018;+
P47207;29,1066;29,3796;29,4973;28,5257;28,7642;28,7143;2,07242;0,0132174;0,659781;4,82953;+
P47208;27,6758;29,111;29,2512;28,4741;28,4778;28,6536;0,102247;0,871013;0,144147;0,284386;
Q8WQG4;29,0961;28,8051;28,9713;28,3688;29,0288;28,6157;0,611501;0,239206;0,286399;1,3628;
P47991;32,4985;31,3349;32,4632;32,2337;32,5449;32,5842;0,37445;0,474345;-0,35539;-0,893202;
P48152;29,3958;28,7624;28,7133;28,8824;29,2701;28,7962;0,0329057;0,957861;-0,025706;-0,0974845;
P48154;30,644;29,9762;29,2913;30,2707;30,3629;30,1261;0,287944;0,612946;-0,282694;-0,712889;
V6CM07;31,2653;31,248;31,2398;29,1433;31,1178;30,9001;0,621377;0,234111;0,863941;1,38204;
P48158;32,2841;32,3766;32,603;33,0169;32,336;32,539;0,397114;0,44528;-0,209407;-0,939292;
P48166;30,3661;30,3902;30,6067;26,1069;31,5907;31,5535;0,143212;0,828786;0,703954;0,386073;
P48376;25,063;26,3643;26,5007;24,4644;24,6266;24,6474;1,40872;0,0378636;1,39647;3,02374;+
P48727;24,0632;24,1217;24,1225;28,1842;28,1992;28,2024;8,42962;0;-4,0928;-200,413;+
P48996;26,2985;27,2355;26,9005;24,5881;25,8991;26,0741;1,11779;0,067905;1,29105;2,37691;
P49029;27,742;28,0345;27,8255;28,0388;28,0219;28,2082;0,989174;0,0905278;-0,222327;-2,10971;
P49197;31,6868;31,796;31,8208;31,8324;32,1178;32,0283;1,12826;0,0651174;-0,224998;-2,39911;
P49405;32,3958;32,2086;32,4715;32,777;32,3739;32,5765;0,707142;0,184789;-0,217157;-1,54915;
Q8MNS3;30,9792;31,5585;31,654;31,3902;30,925;30,9243;0,53454;0,304176;0,317393;1,21245;
P49596;28,7874;29,0835;29,132;27,2157;28,2297;28,3185;1,36404;0,0414811;1,07967;2,91991;+
P50093;27,9422;26,9042;26,6297;25,7178;27,4666;27,398;0,160287;0,810952;0,297892;0,426978;
P50140;32,9353;33,2548;33,0218;31,2461;32,0921;32,1849;1,76393;0,020317;1,22959;3,9218;+
P50432;31,6703;31,599;31,6628;31,3042;31,3209;31,0366;1,9538;0,0150085;0,42345;4,46441;+
P51403;32,7713;32,6874;32,8723;31,4744;33,5886;33,4234;0,0254751;0,968064;-0,051789;-0,0760532;
P51404;32,36;32,4213;32,3642;31,4521;31,8235;31,3117;2,28448;0,0103955;0,852716;5,5389;+
P51485;26,324;26,4041;26,8181;27,2356;26,0316;26,534;0,0786018;0,901291;-0,0850201;-0,22302;
P51875;28,967;28,2431;29,06;28,8269;26,5989;27,0409;0,804868;0,145243;1,2678;1,74063;
P52009;32,681;32,3322;32,4834;31,9273;32,3831;32,2129;0,906666;0,112993;0,324427;1,94282;
P52011;30,6985;30,6526;30,8663;29,9495;29,6855;29,7853;3,12107;0,00162222;0,932373;9,25859;+
P52013;31,229;30,9963;31,0594;32,052;32,423;32,36;3,04172;0,00149744;-1,18338;-8,82884;+
P52015;32,5229;33,0033;33,1771;33,1446;33,175;33,1874;0,613353;0,238476;-0,2679;-1,36641;
P52018;27,7987;27,7531;27,5151;26,7023;26,6018;26,2568;2,71798;0,00453968;1,1687;7,25713;+
P52057;27,4762;27,0045;27,3891;26,9674;26,7166;26,8046;1,32618;0,0433822;0,460367;2,83331;+
P52275;33,7224;33,7808;33,6985;33,1066;33,4944;33,2232;1,75948;0,0202787;0,459147;3,90965;+
P52554;29,9129;30,8817;30,5046;29,7498;26,7592;29,0955;0,933682;0,105409;1,89822;1,99713;
Q86D21;28,5057;28,6141;28,7257;28,4845;28,4304;27,7391;0,73321;0,173568;0,397176;1,60005;
P52713;30,6687;30,2494;30,1304;30,9265;30,7568;30,1305;0,3649;0,488391;-0,25508;-0,873658;
P52716;27,4498;26,4461;26,7638;27,069;27,6535;27,16;0,514579;0,320724;-0,407614;-1,17326;
P52717;30,4856;29,3447;29,4076;31,3803;31,959;31,2635;1,85523;0,017064;-1,78831;-4,17663;+
P52819;32,4927;32,5048;32,2269;32,4895;32,7872;32,7359;0,952616;0,0999602;-0,262747;-2,03538;
Q8I111;25,8025;26,5291;26,697;26,7364;27,634;27,9447;1,13343;0,0648797;-1,09547;-2,41009;
P53014;34,2435;35,2164;35,3726;35,2368;35,2676;35,0405;0,262961;0,654099;-0,237503;-0,659163;
P53489;29,3083;28,8302;29,3648;28,826;29,2598;29,1552;0,152518;0,82264;0,0874564;0,408466;
P53585;25,6878;25,4811;25,5231;27,4515;25,7307;25,936;0,671905;0,202482;-0,808756;-1,48045;
P53588;31,0793;30,6013;31,1096;29,9204;29,7466;30,1633;2,07296;0,0132494;0,986591;4,83124;+
P53589;25,0872;25,7642;25,2463;24,586;24,7172;24,3651;1,61961;0,0251115;0,809797;3,54017;+
P54216;31,9132;32,1826;32,3452;30,1955;30,6465;30,9119;2,51402;0,00755853;1,56237;6,3995;+
P54412;31,6776;32,477;31,8599;33,0358;32,5322;32,9077;1,34517;0,0419656;-0,8204;-2,87658;+
P54811;32,5968;32,3926;32,6726;32,3705;32,1591;31,3791;0,869245;0,125374;0,584426;1,86808;
P54812;28,6227;29,1057;29,0211;27,2413;26,5611;26,6636;2,8969;0,00318943;2,0945;8,0913;+
P54889;28,0173;27,9532;27,8879;27,5522;27,1552;27,2876;2,1469;0,0119486;0,62113;5,07004;+
P55155;31,0552;30,851;30,9679;28,7458;33,5897;33,8599;0,266081;0,649251;-1,10712;-0,66592;
P55216;27,195;27,4;26,6414;28,7827;28,8158;28,9202;2,80318;0,00351867;-1,76072;-7,64424;+
P55326;29,0933;28,7154;29,1936;29,1727;29,4325;29,8247;0,930722;0,106369;-0,47588;-1,99116;
P55853;31,7945;32,0036;31,786;32,5446;32,3857;32,4475;2,6695;0,00521073;-0,597869;-7,04471;+
P55954;27,8421;28,3019;28,2226;24,5403;24,6731;24,5807;4,74265;0;3,52418;23,9298;+
P55955;31,0102;31,1982;31,5108;32,7205;31,828;31,5821;1,00458;0,0860417;-0,803806;-2,14123;
P61866;32,8438;33,3032;33,4861;32,4683;32,932;33,1944;0,534302;0,304135;0,346142;1,21198;
P62784;30,9893;31,7275;32,2688;32,0831;33,4923;33,4867;1,06852;0,0735748;-1,35886;-2,27343;
P90731;28,2856;29,0269;29,0764;29,278;28,7285;29,6804;0,502842;0,33053;-0,432677;-1,15015;
P90732;31,9217;31,42;32,0951;29,8605;31,5553;32,1175;0,376017;0,473651;0,634557;0,896402;
P90735;33,773;33,5732;33,7799;33,3404;33,1336;33,1184;2,18128;0,0109974;0,511246;5,18414;+
P90783;28,1534;27,8697;28,1278;24,574;24,407;24,4271;5,35946;0;3,58097;34,181;+
P90789;30,4405;30,0357;29,9475;28,1074;29,5591;29,6024;0,957446;0,098868;1,05161;2,04516;
P90841;24,865;25,382;25,0417;25,2635;24,2739;24,7775;0,428955;0,40927;0,324579;1,00343;
P90847;25,2589;26,2598;25,5096;26,8406;26,6096;25,0451;0,312626;0,577037;-0,489024;-0,765163;
P90849;28,2622;29,7035;28,4698;28,8807;28,9798;28,9471;0,0986519;0,874631;-0,124055;-0,275193;
P90868;30,3511;30,0493;29,7801;30,231;27,8491;29,1658;0,620823;0,234205;0,978192;1,38096;
P90879;25,8889;26,5716;26,0657;24,8149;25,4965;25,6052;1,2715;0,0485434;0,86989;2,71034;+
P90893;27,7731;26,949;26,608;27,9712;28,3339;27,7353;1,09714;0,0695494;-0,903427;-2,33335;
P90897;28,6623;28,6377;28,8378;27,7636;27,5264;28,3822;1,45271;0,0353528;0,821843;3,12778;+
P90900;31,504;31,8834;31,7886;31,9485;32,3581;32,0864;1,15096;0,0606821;-0,405683;-2,44746;
P90901;34,1984;34,2351;34,375;34,1685;34,2891;34,2864;0,11708;0,855983;0,0215302;0,321833;
P90904;27,0478;28,1379;28,4244;27,3653;26,3814;27,3527;0,720817;0,178488;0,836923;1,57584;
P90916;28,4455;28,6248;28,6789;29,236;28,9;28,8904;1,47601;0,0333988;-0,425736;-3,18364;+
P90919;28,6959;28,9121;29,9018;29,2906;29,5871;29,4084;0,272161;0,639112;-0,258783;-0,679049;
P90920;24,6244;24,3322;24,0148;24,1751;24,0461;24,713;0,015195;0,981262;0,0123653;0,0458639;
P90961;31,708;32,3077;32,0893;32,8339;31,9548;32,0347;0,293024;0,606575;-0,239464;-0,723709;
Q8MXS2;31,0118;30,2994;30,6743;27,847;29,1667;29,1853;1,77371;0,0191179;1,92883;3,94858;+
P91001;25,9304;25,6191;25,6079;26,8407;28,2515;28,4104;1,84512;0,017251;-2,11509;-4,14787;+
P91020;29,2087;28,9759;29,6939;27,3824;28,8429;28,5686;0,972087;0,0937021;1,02821;2,07489;
P91027;32,1487;31,9066;31,801;31,8483;31,931;31,5884;0,486245;0,34383;0,162854;1,1174;
P91125;27,7326;27,9706;27,7722;28,6323;27,7285;27,7393;0,270366;0,642537;-0,208222;-0,675179;
P91128;31,8378;31,9769;31,0291;31,5077;32,5494;32,5236;0,568423;0,271462;-0,578953;-1,27876;
P91134;31,2691;31,9745;31,9565;31,1901;31,328;31,9569;0,295952;0,602594;0,241666;0,729933;
P91136;27,0348;26,6565;26,9554;23,7697;25,7728;25,5204;1,35838;0,0414209;1,86125;2,90688;+
P91151;27,4632;27,2484;27,3446;26,4613;27,1623;27,5096;0,4163;0,422032;0,30759;0,978018;
P91156;31,851;31,996;31,4746;31,0781;31,3094;31,2684;1,50245;0,0326951;0,55521;3,24768;+
P91175;27,1201;27,0179;26,5375;25,3356;25,4316;26,622;1,14215;0,0628051;1,0954;2,42865;
P91180;29,8246;30,0313;31,1105;29,8023;30,7398;31,0835;0,147957;0,823497;-0,219724;-0,397521;
P91194;26,6992;26,4898;25,952;24,8576;26,5887;26,182;0,371783;0,478538;0,504246;0,887752;
P91198;27,0004;26,6275;25,9352;26,0382;26,2658;25,7779;0,652128;0,214095;0,49374;1,44193;
P91207;28,1982;28,6693;28,8336;28,451;29,0531;29,1457;0,474029;0,35744;-0,316254;-1,09323;
P91223;28,9769;28,4426;28,1499;28,038;29,166;28,8682;0,150464;0,824878;-0,167617;-0,403544;
P91230;27,3951;27,3724;27,6205;28,889;27,3933;27,4911;0,399119;0,443498;-0,4618;-0,943352;
P91240;29,9491;29,9041;29,9116;29,1111;28,31;29,5091;1,25673;0,0498953;0,944843;2,67754;+
P91253;30,6645;30,3935;30,9707;31,6173;31,1142;30,8174;0,81785;0,14158;-0,506723;-1,76623;
P91276;26,9992;27,4942;27,104;26,9453;26,5378;26,1298;1,11312;0,0680225;0,661508;2,36703;
Q8I7G8;31,7407;30,3546;30,3758;29,6797;29,4874;29,7106;1,21343;0,055058;1,19779;2,58236;
P91280;24,1226;23,9024;23,6169;27,0527;26,4288;25,6038;2,29692;0,0104843;-2,48108;-5,58294;+
P91283;31,7187;31,5406;31,5054;30,5183;30,4846;30,1499;3,06033;0,00151295;1,204;8,92794;+
P91303;26,2819;26,8708;26,603;26,5774;27,542;27,3341;0,768736;0,159732;-0,565907;-1,66961;
P91306;32,0313;32,0749;31,9551;29,88;31,5437;31,7509;0,744509;0,168736;0,962226;1,62215;
P91349;23,8895;24,1047;23,8442;27,6003;28,0595;27,9874;4,75126;0;-3,9363;-24,0495;+
P91353;29,0072;28,5995;28,542;28,6486;28,6144;28,6882;0,167901;0,799796;0,0658366;0,444971;
P91374;29,9849;29,9574;30,035;29,5862;30,339;30,4661;0,191877;0,76876;-0,137958;-0,500714;
P91398;29,8028;29,7091;30,2181;28,1276;29,2188;29,2513;1,22304;0,0539073;1,04408;2,60337;
P91423;32,1599;32,6949;31,9923;32,3284;32,5292;32,5836;0,366967;0,486696;-0,19806;-0,877895;
P91427;30,7495;30,93;30,6575;29,6728;30,3234;30,3358;1,3408;0,0424306;0,66831;2,8666;+
P91430;27,9674;28,3466;28,4511;26,7964;27,196;26,7937;2,58255;0,00705376;1,32637;6,67728;+
P91482;24,0865;24,0566;24,1196;29,1189;29,0001;29,8782;4,34728;0;-5,24481;-19,0269;+
P91491;28,1248;27,815;28,0033;24,5311;24,2456;24,5023;5,00108;0;3,55469;27,7889;+
P91502;29,7521;29,3803;29,1785;29,1726;28,7695;28,5825;1,15743;0,0604988;0,595477;2,4613;
P91856;25,0439;24,1285;25,0159;28,1115;28,2579;28,1444;3,46071;0,00207092;-3,44187;-11,3281;+
P91857;28,2386;29,0193;28,9338;30,0034;29,1386;29,3731;1,01688;0,0834387;-0,774455;-2,16649;
P91871;30,4278;30,2814;30,5946;29,6047;29,8765;30,274;1,13255;0,0647314;0,516204;2,40822;
P91910;25,0483;26,6646;27,2863;26,0279;25,3074;25,5035;0,440995;0,394899;0,7201;1,02752;
P91917;32,3077;32,5081;32,3359;32,3536;31,6646;31,558;0,956336;0,099025;0,525197;2,04291;
P91982;26,245;25,6515;25,4586;25,1144;25,9717;25,5766;0,269674;0,643258;0,23079;0,673686;
P91988;26,3095;25,9026;25,7622;27,0636;26,5571;27,2222;1,67718;0,0239791;-0,956147;-3,68943;+
P91998;25,1593;24,7931;24,7988;24,9452;25,5414;26,0295;0,809855;0,144757;-0,588307;-1,75046;
P92005;24,0726;24,091;24,1002;26,5154;27,5567;27,4981;3,10712;0,00159563;-3,10213;-9,18168;+
P92020;28,9661;28,883;28,0189;30,4317;30,8669;29,8556;1,8573;0,0171325;-1,76211;-4,18254;+
P92172;28,5328;28,4226;29,1407;28,0233;27,1066;27,6745;1,46271;0,0342849;1,09725;3,1517;+
P92199;26,9184;26,3106;26,6187;27,7129;26,5366;27,0766;0,573264;0,268099;-0,492833;-1,28822;
P98080;31,7237;31,5879;31,542;31,3504;30,6899;30,4637;1,34843;0,0416202;0,783173;2,88405;+
Q03564;27,6327;27,4308;27,7986;26,0125;27,5598;27,9174;0,314925;0,571152;0,457493;0,769994;
Q03567;27,0466;29,4835;28,9332;28,4794;27,3112;27,7446;0,324791;0,554883;0,642711;0,790662;
Q03575;30,1024;29,8153;30,1936;29,8429;29,7154;29,404;1,03898;0,0797489;0,383044;2,21206;
Q03577;30,5234;30,3549;29,0213;29,1353;29,799;29,8147;0,296089;0,602778;0,383533;0,730222;
Q03600;27,0693;26,8803;27,1956;24,5565;24,5563;24,2391;4,30517;0;2,59776;18,567;+
Q03604;27,0903;26,9598;27,1109;27,8381;29,1634;28,9447;1,7422;0,0212741;-1,59508;-3,86272;+
Q04457;28,3754;27,3221;27,6106;28,7474;26,7272;27,5049;0,0567383;0,93004;0,109521;0,16421;
Q04833;25,8969;26,2005;26,2398;25,1118;25,101;25,3608;2,58633;0,00678261;0,921157;6,6929;+
Q04908;27,0235;26,8934;26,7996;27,054;26,1007;26,1391;0,676864;0,198555;0,474237;1,49011;
Q05036;30,3926;30,3607;30,7521;30,9449;30,6868;30,4237;0,395318;0,447437;-0,183327;-0,935653;
Q067X2;33,2493;33,8897;33,8799;34,178;34,075;33,9068;0,774882;0,157543;-0,380278;-1,68167;
Q07749;31,3676;31,3049;31,3859;28,1354;30,015;29,9909;1,46853;0,0340622;1,97234;3,16566;+
Q09165;32,0695;31,6908;32,5804;32,0771;32,503;32,5407;0,365034;0,488495;-0,260044;-0,873933;
Q09216;28,1157;28,4473;28,0979;29,5541;28,3752;28,4986;0,685298;0,194316;-0,589013;-1,50655;
Q09221;28,8463;29,3881;29,2592;27,5128;28,3235;28,4969;1,42314;0,036816;1,05346;3,05764;+
Q09227;24,1381;24,0781;24,1649;27,3996;28,1853;28,0446;3,98575;0,00113684;-3,74953;-15,4154;+
Q09231;29,8535;30,0078;29,6174;27,7441;27,7837;26,823;2,68652;0,00529183;2,37593;7,11865;+
Q09236;29,9438;30,1846;30,0023;29,7661;29,8785;30,0216;0,679369;0,197233;0,154826;1,495;
Q09237;28,0301;28,3647;28,5988;29,0439;30,302;30,0674;1,60688;0,0249589;-1,47323;-3,50765;+
Q09248;31,9293;31,8258;31,9618;30,9924;31,6008;31,8063;0,820909;0,140297;0,43915;1,77227;
Q09253;26,8411;26,5331;26,604;27,5603;28,5661;28,5477;1,97779;0,0151297;-1,56531;-4,53655;+
Q09278;28,2726;27,7434;26,961;24,5084;24,4162;24,5449;2,93439;0,00233028;3,1691;8,27665;+
Q09285;28,6654;28,4463;28,7153;26,1927;26,3202;26,7094;3,62903;0,0015625;2,20158;12,5091;+
Q09289;29,2803;29,0177;29,1157;26,8844;28,5932;28,3372;1,04843;0,0783365;1,19966;2,23165;
Q09293;27,5774;27,1163;27,1681;28,2166;27,1756;27,04;0,181279;0,781911;-0,190133;-0,476239;
Q09297;26,6512;27,3445;27,1544;26,6273;27,1527;26,9934;0,185166;0,779998;0,125569;0,485245;
Q09309;26,0744;26,1879;26,8977;26,6106;26,6954;26,093;0,0887548;0,887903;-0,0796471;-0,249636;
Q09318;25,4973;25,9484;26,4469;25,3923;25,6735;24,8639;0,837018;0,133765;0,654306;1,80411;
Q09359;27,8167;27,602;27,5386;25,6819;26,5921;27,3449;1,07159;0,0731678;1,11279;2,27984;
Q09365;32,1414;32,3695;32,0382;32,5858;32,327;32,0495;0,30627;0,586935;-0,137702;-0,751771;
Q09385;30,1843;30,6072;30,3765;28,7363;28,6951;29,1186;2,97021;0,00199043;1,53931;8,45729;+
Q09393;23,9369;23,799;24,1346;26,2334;25,2769;25,7598;2,44969;0,00788608;-1,79987;-6,14779;+
Q09395;27,2316;27,858;27,4063;25,3495;27,3026;27,0406;0,661504;0,208783;0,934366;1,46019;
Q09422;29,6886;29,0369;29,2781;29,3322;27,4951;28,0733;0,834743;0,134184;1,03427;1,79961;
Q09438;30,7642;30,3662;30,4096;30,4888;30,8152;30,9437;0,566608;0,27292;-0,23591;-1,27521;
Q09442;28,2884;28,0906;28,1739;29,3497;28,9179;28,5809;1,53623;0,0293997;-0,765199;-3,33051;+
Q09444;28,5937;28,0989;27,8964;26,2918;27,862;28,7077;0,320056;0,562098;0,575776;0,780757;
Q09450;28,5751;28,9212;28,4316;26,6225;26,6368;26,7357;3,723;0,00166667;1,97761;13,2187;+
Q09474;28,4993;27,5285;27,511;28,9801;29,2952;28,3764;1,15236;0,0605721;-1,03763;-2,45045;
Q09475;29,6287;28,7417;29,9758;29,953;29,7964;30,0466;0,574219;0,267298;-0,483303;-1,29008;
Q09497;30,917;30,4332;28,6848;28,0732;25,6264;25,1702;1,52383;0,0309721;3,72173;3,29996;+
Q09501;28,4003;28,9238;28,7872;26,9186;27,1375;28,2918;1,2954;0,0467728;1,25444;2,76378;+
Q09508;28,663;28,7254;27,5009;27,6008;25,9266;26,0453;1,24127;0,0514696;1,77217;2,6434;
Q09510;32,517;32,5709;31,6465;32,5218;31,8069;32,7296;0,0941559;0,880906;-0,107995;-0,26363;
