Proteins,daf2_d5_01,daf2_d5_02,daf2_d5_03,daf2_d5_04,daf2_d1_01,daf2_d1_02,daf2_d1_03,daf2_d1_04,daf2_d10_01,daf2_d10_02,daf2_d10_03,daf2_d10_04,daf2_d15_01,daf2_d15_02,daf2_d15_03,daf2_d15_04
G4RTI0,18.3542,20.6857,16.5845,19.0903,18.6638,18.7681,18.9537,19.6357,20.118,19.5876,17.9983,18.0685,19.4735,18.2685,17.8493,19.278
G4S034,23.3165,22.8442,25.8596,23.1726,21.4652,20.9387,23.7074,22.1884,23.2707,22.3261,22.6091,22.3997,23.1509,23.2401,24.7867,22.6821
G4S034,19.7318,18.3843,18.025,19.2279,21.0199,21.5835,19.0785,19.9751,20.0532,18.9522,17.5169,20.5245,22.9801,20.4408,23.1888,22.5048
G4S034,17.0261,20.5934,15.8918,20.0124,17.5738,17.4035,18.8443,15.4683,21.0008,19.1017,19.1657,21.6497,18.6139,21.5158,19.0496,20.0268
G4S034,21.8121,16.3755,17.883,18.0914,18.8481,19.082,18.798,17.1519,20.5386,19.7518,19.5038,19.1545,18.0082,19.1971,20.2341,17.9757
G4S1A4,17.6961,17.2276,18.8478,19.1529,18.0994,18.4564,17.4082,18.8044,18.8014,18.9725,19.8516,19.5107,19.7159,20.658,17.9004,21.1332
G4S1A4,18.0272,16.626,18.007,19.6012,23.3231,24.6269,24.261,23.9056,25.5171,24.8915,25.3217,24.0163,23.6456,24.2124,23.2961,24.6657
G4S1A4,20.0698,19.946,18.9681,18.8436,17.4874,19.5767,17.8583,14.814,19.7816,20.208,20.2512,21.2761,19.1933,21.4804,20.1924,20.8364
G4S1A4,20.0704,20.0175,19.2069,19.2703,16.8937,17.4041,18.9265,17.7684,17.2266,20.3134,18.5415,20.184,20.7199,19.2736,18.7174,18.6404
G4S1A4,19.7395,18.3887,18.3874,17.1718,15.7131,16.8635,18.3812,18.1206,21.046,19.5934,18.0272,21.1281,18.8225,21.3308,21.6247,21.304
G4S1A4,20.5371,19.9098,17.3968,19.3322,16.816,15.4486,17.7639,20.4037,20.5729,21.5684,20.9063,17.8807,19.4996,18.9805,19.9824,18.9381
G4S3P8,18.8927,19.2835,17.7602,19.5892,19.3097,21.5035,15.769,17.3166,19.0727,20.7407,20.8637,18.895,22.1035,22.2187,21.5291,24.195
Q20314,18.5772,18.8107,18.7897,18.4258,16.1656,16.8994,17.1832,16.2013,19.2786,20.0463,20.2142,21.0034,20.3783,19.6373,20.2651,19.9383
G4SI07,17.6344,19.5574,17.1166,20.1746,15.8888,19.2226,19.2775,19.7673,18.883,16.8459,19.464,21.2776,17.8586,18.6413,20.8617,18.2609
G4SI07,19.1723,18.826,18.4474,18.4466,18.9847,17.5616,20.4233,21.5825,19.808,21.0125,21.1213,18.7006,17.9877,19.2886,19.7746,21.27
G4SL51,25.2764,26.1682,25.8883,26.253,21.1928,17.5444,16.4654,17.76,25.6637,27.4767,26.6456,27.0232,24.5854,24.1378,22.9481,23.538
G4SLH0,19.5836,19.5027,19.3925,19.3418,20.2677,16.1402,19.0729,17.9754,20.7389,20.2464,21.2247,20.4517,18.835,21.1447,19.2494,19.1681
G4SLH0,17.6823,18.7886,17.4325,17.7553,16.466,19.1249,16.4383,17.5819,21.1135,19.6667,19.2528,19.6496,18.8202,20.8771,18.306,18.8345
G4SLH0,19.1532,19.7306,18.3234,19.2483,19.8154,17.9645,17.2495,19.2405,18.6135,18.5262,19.4155,20.7981,20.8205,19.2384,21.6695,19.1572
G4SLH0,17.384,19.5244,20.4197,17.2866,16.6697,18.2991,17.8406,15.7189,20.1106,19.8625,18.7349,21.6625,20.0607,19.667,20.6027,21.8765
G4SLH0,22.6822,22.879,21.4321,23.4398,22.5585,24.4746,23.7811,23.9075,23.1634,22.3226,24.881,23.4738,19.748,21.9697,18.4539,19.1298
G4SLH0,19.7795,17.0399,19.0509,18.3692,15.4383,19.156,18.6431,18.3742,19.4341,21.4325,18.7751,19.5136,18.8913,19.0688,18.7717,20.657
G4SPY1,15.7258,17.1917,17.2306,20.5179,16.4379,18.5909,18.433,19.9725,19.5784,19.2609,18.1925,18.86,20.9449,20.9809,18.4936,18.9223
G4SRU7,17.7187,16.519,18.7918,19.8532,18.1771,15.1874,20.6268,18.7577,22.1183,23.6321,23.6702,22.4972,18.0742,19.5634,19.3724,18.9875
G5EBF0,19.6439,19.4119,18.6593,18.094,17.8527,17.8221,19.3003,17.7662,21.2772,21.5322,19.3979,20.3233,18.7841,19.1182,19.8218,19.7676
G5EBF3,24.8732,24.1092,24.19,24.559,17.1453,19.197,16.8142,18.8475,19.1567,17.5539,19.1525,19.3951,19.451,18.165,20.075,19.8112
G5EBF3,18.9135,19.1403,17.893,19.1972,20.2121,19.2535,18.2279,20.0695,19.5532,20.9696,19.1154,20.0803,20.5387,20.3424,19.7117,20.7442
G5EBF3,20.981,18.2957,18.9506,16.8646,15.6648,15.9164,19.7479,19.0195,16.0262,20.0881,18.9935,18.5251,17.8566,20.4192,21.5721,19.8028
G5EBF3,19.7877,15.7872,17.8842,18.8932,18.6262,18.0753,19.0477,18.8731,19.4914,19.4105,18.7551,20.4124,18.6577,21.0447,20.7049,20.8637
G5EBF3,17.8986,20.7891,16.2736,18.7901,22.3081,23.8216,22.8723,21.7057,19.6968,20.5307,21.1939,19.7079,17.7976,20.3524,19.6828,19.7362
G5EBF3,16.6865,16.8172,19.6498,19.5133,17.7524,16.3921,19.042,15.5447,18.7072,19.0971,20.1016,19.167,20.2736,19.1339,20.1962,18.0729
G5EBF3,20.0222,18.7857,16.2581,19.4256,18.3022,19.0755,21.6803,18.5051,19.1679,18.1934,19.8085,17.4337,21.2557,20.9493,20.5396,20.5329
G5EBF3,16.0442,18.4031,19.8245,18.8803,24.9374,23.5094,26.017,24.4446,19.3663,20.4149,19.651,19.1508,21.1527,20.6197,19.931,18.5115
G5EBF3,19.3157,18.1904,20.9657,18.3822,19.4646,19.2719,18.1518,19.1703,23.5307,24.891,24.4479,21.6852,18.9777,20.3901,21.4175,18.351
