Proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
B2D6P1,20.9456,18.1367,19.7739,19.7587,20.6732,20.497,20.5497,21.3869
B3CKG1,25.5169,24.6765,24.299,25.4706,20.4696,21.1678,21.1164,20.393
B3WFT8,18.8906,21.6798,19.3382,21.1018,24.1572,21.3356,22.264,22.2322
E1B6S9,18.5055,19.5159,20.471,20.5876,21.8755,20.8551,21.1529,20.6491
G5EC65,20.0137,18.961,20.0984,20.9006,20.6342,20.5365,21.3086,21.1788
B3WFW7,21.6492,20.9017,20.363,19.6692,21.6564,19.9752,20.6999,20.4518
B3WFY5,20.1471,19.9224,20.5159,20.0643,24.3361,22.2086,20.8543,22.6177
B3WFY5,20.6087,19.3633,18.5213,19.5588,25.2606,25.6371,24.2254,24.6313
B3WFY5,20.3188,20.6144,18.0508,19.5831,21.8475,20.8262,20.2425,21.2122
B5BM23,24.6554,28.001,26.9035,24.9911,20.8511,20.8173,21.3685,21.4045
B5U8N2,20.9275,18.458,19.2809,19.8195,20.9623,21.1629,20.9435,19.7158
B5U8N2,18.5891,19.3945,18.1408,19.2951,21.9108,20.9403,21.1293,21.0155
B5U8N2,20.2823,22.04,22.2431,20.3698,21.6035,20.4234,20.8624,21.2641
B6VQ78,20.4379,21.6183,19.0797,21.4703,20.3301,21.1531,20.9921,20.4219
B6VQ78,20.8038,20.1511,20.7912,16.8367,21.7015,20.8772,20.8378,20.6811
B6VQ78,24.3378,23.3053,24.5415,24.1716,21.3109,21.1032,20.8876,20.4697
B6VQ78,19.6729,20.173,19.3842,21.3401,21.2737,19.9373,20.7188,19.9678
D9PTN8,18.6103,21.5009,19.9923,20.8981,21.5179,19.9372,20.8101,20.819
B7WN71,21.3051,20.4612,21.3318,20.9079,20.6509,21.0606,20.9516,21.2993
B7WN95,18.6339,18.9948,20.5597,19.0219,23.6545,23.6426,23.7851,23.8004
B7WNA1,18.9649,19.6399,16.1957,20.7917,25.063,24.3442,24.8811,25.0327
