geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
tag-349;D3NQB5,25.1644,24.8759,24.9416,23.4658,19.858,21.7673,21.5756,21.8638
cfp-1;D3YT77,21.9817,20.6194,21.2085,20.0378,23.0579,21.7964,24.7733,22.4304
cfp-1;D3YT77,21.9037,19.8792,20.6222,20.1827,20.4155,21.8365,20.9268,21.0737
dct-16;D4YWC3;Q9XX57,20.4978,17.9466,19.3766,21.2841,21.4333,20.9433,22.0595,22.2341
dct-16;D4YWC3;Q9XX57,21.9399,20.4445,21.6109,23.8536,22.7256,22.2712,23.2153,20.8154
dct-16;D4YWC3;Q9XX57,20.8252,19.3187,20.7424,20.6136,23.5316,24.951,24.5745,26.6976
dct-16;D4YWC3;Q9XX57,24.0414,23.2599,23.3684,23.8516,24.5724,24.1726,23.2585,23.9493
dct-16;D4YWC3;Q9XX57,23.9589,24.9347,24.7792,24.7218,24.5962,26.2509,27.3165,25.7321
dct-16;D4YWC3;Q9XX57,25.0168,22.7489,23.5382,24.3993,21.0199,19.8687,22.1953,21.7426
dct-16;D4YWC3;Q9XX57,22.0108,20.7942,21.9539,25.7404,22.6413,23.6886,23.9567,23.1156
larp-1;D5MCN2,21.1054,19.6121,21.0601,21.4013,19.3632,21.6291,21.1927,20.2531
sup-26;D5MCQ2,21.0324,20.305,20.7311,21.2944,20.5531,23.5261,22.4428,23.3767
;O17698,21.2444,19.3065,21.5333,20.9985,21.8007,21.5575,23.2903,22.7348
mdt-9;D5SGZ9,21.3976,20.1255,20.0957,20.2174,21.4477,20.0657,21.1602,20.4018
mdt-9;D5SGZ9,21.0542,19.9669,19.7995,20.951,21.3475,20.6855,20.406,21.129
mdt-9;D5SGZ9,21.7452,20.2396,19.7755,19.6621,20.6243,20.0165,20.829,21.0184
nstp-10;C50F4.14;D6R8W5,21.4066,20.4052,21.1861,21.2875,20.947,21.2828,20.7847,20.6311
math-38;D6VPA0,25.4788,24.3411,25.1425,21.151,24.2114,24.2647,22.7943,24.0267
;D7SFI3,20.5175,18.5403,21.6985,20.5181,19.9579,21.7285,21.4936,21.9161
gsto-1;D7SFI3;P34345,20.1356,20.356,21.7148,21.1298,20.7498,21.4681,19.2222,20.8547
;D7SFI3,20.2683,19.922,20.0086,19.8927,20.9727,20.3889,19.7809,20.9525
;D7SFP5,21.6512,21.2143,21.8261,20.8225,21.0707,21.2785,21.7707,21.221
;D7SFP5,21.2036,21.166,21.5705,19.3383,20.5736,20.6922,20.5006,21.3977
cup-5;D7UU24,21.9611,21.138,20.075,20.4457,21.193,20.4172,20.7645,20.2306
cup-5;D7UU24,20.816,20.0873,20.2643,20.2662,19.4921,21.6242,20.4722,20.9809
myrf-2;Q9U3I3,21.698,19.9376,19.6743,21.4237,20.6532,20.3517,20.5951,21.28
snx-6;D9PTP5,22.7973,22.9719,24.6081,24.7735,20.342,20.5377,20.6389,21.5068
snx-6;D9PTP5,22.7973,22.1919,22.3804,23.9722,21.4286,21.0129,21.679,20.386
snx-6;D9PTP5,21.3622,19.2111,20.0698,21.0408,21.4505,21.0761,21.254,20.5541
;E0AHE1,20.5217,19.3192,20.7679,20.4485,22.5211,22.1282,22.0692,22.4583
ent-7;Q20396,25.0589,24.8991,25.7743,25.6437,21.1974,21.3968,19.7806,21.4882
;E1B6S4,23.2166,22.5892,22.6245,25.0585,22.2587,21.7865,21.9052,22.6042
C27A7.1;E1B6U2,24.1822,23.1883,23.9172,24.5745,24.9753,23.5905,23.234,23.2345
rsd-2;E1B6W0,27.0429,26.9682,27.715,25.5443,26.8857,27.3456,28.2021,26.8622
hpo-34;E3W743;Q93636;Q93637,23.4785,22.5451,22.2794,22.9017,23.9948,23.9798,23.8844,24.2964
hpo-34;E3W743;Q93636,20.5711,19.3733,21.3114,21.0815,20.9469,21.0794,21.1528,20.3796
hpo-34;E3W743;Q93636,21.9722,21.2444,18.8298,17.4473,20.7004,21.8429,20.1557,21.4727
hpo-34;E3W743;Q93636,21.0424,20.5026,21.4125,20.691,21.5349,20.3886,20.8297,21.3889
hpo-34;E3W743;Q93636,20.2654,19.2622,21.0751,20.4301,23.6647,22.1125,23.5643,23.6853
hpo-34;E3W743;Q93636,21.371,20.6411,20.6673,20.2437,20.5891,21.3784,21.1348,19.8662
hpo-34;E3W743;Q93637,21.3927,20.7671,21.0962,21.1604,20.8026,20.0346,21.5004,21.3303
hpo-34;E3W743;Q93637,20.4159,20.996,21.7019,19.666,24.0117,22.4917,23.1279,23.4397
hpo-34;E3W743;Q93637,20.8204,21.4409,18.7951,20.5006,25.8399,23.9853,24.519,24.6093
hpo-34;E3W743;Q93636,20.0389,20.327,21.0417,19.6274,19.3338,21.653,21.173,19.7927
hpo-34;E3W743;Q93636,21.1276,21.52,19.9632,19.6248,24.133,23.9784,23.5408,22.824
hpo-34;E3W743;Q93636,20.9533,21.2277,21.0674,19.8928,21.1239,21.1843,20.187,21.4077
hpo-34;E3W743;Q93636;Q93637,24.8303,23.2406,22.5627,26.9486,25.1225,26.934,26.0942,25.9881
hpo-34;E3W743;Q93636,23.0994,20.8578,22.7501,20.5856,24.6741,24.4559,24.6876,24.5936
;E3W759,21.006,20.2356,19.6376,21.0252,19.4932,19.6884,21.2694,20.5696
dnj-14;Q21162,20.4125,20.9919,20.1365,20.7898,24.9527,23.2554,25.2079,23.8752
dnj-14;Q21162,21.8611,20.4563,19.7144,21.3679,20.78,19.8698,20.7167,20.467
dnj-14;Q21162,25.6598,24.5876,26.5991,26.3522,26.3238,23.832,24.4604,24.055
dnj-14;Q21162,25.5786,26.6759,25.3105,24.6104,20.5278,21.4068,20.3827,19.9293
mca-1;F5GU98,21.6326,20.9995,20.4899,21.3964,19.5326,21.7138,21.0434,19.7927
mca-1;F5GU98,29.0581,28.6953,28.833,25.3364,27.3912,28.4887,27.9148,28.592
mca-1;F5GU98,20.8372,20.395,20.469,20.1997,25.0911,25.5619,25.5724,25.2545
mca-1;F5GU98,23.8003,23.1075,23.6058,27.0348,21.4769,20.5813,21.3158,21.6724
mca-1;F5GU98,21.7716,21.3662,20.3378,21.3412,22.7896,23.7029,24.7076,23.9893
;F5GUH0,25.4083,24.8316,24.7288,22.8805,25.1575,25.0955,24.2949,23.5751
;F5GUH0,24.2132,24.3688,25.0392,24.0397,23.8221,24.0495,24.0552,24.246
;F5GUH0,25.0425,23.5921,24.0249,25.3588,24.017,22.87,22.9795,23.435
lea-1;F5GUH5;H2FLK8;H2FLK9,21.786,21.325,20.4004,19.5194,21.1169,22.8593,21.6575,22.7
lea-1;F5GUH5,22.1746,22.106,23.2125,21.7074,19.8039,21.1505,21.5344,22.3732
lea-1;F5GUH5;H2FLK8;H2FLK9,19.6649,19.5664,21.8065,19.7986,20.8876,20.9442,18.7407,21.3473
lea-1;F5GUH5,21.6614,20.1857,21.0012,21.3633,22.5941,22.6328,23.7112,22.7021
lea-1;F5GUH5,23.447,22.021,23.0596,23.2056,19.8158,20.3572,21.4911,21.0262
lea-1;F5GUH5,22.4922,23.2017,22.7273,22.534,20.8441,20.2515,19.305,21.4654
lea-1;F5GUH5;H2FLK8,21.6796,20.9741,19.8355,20.5693,20.849,19.9438,20.4795,20.2397
lea-1;F5GUH5;H2FLK8,21.7716,21.5214,20.6574,20.3461,20.8574,20.2747,21.0775,19.8393
lea-1;F5GUH5,21.7432,19.9116,20.8119,19.822,21.372,18.5707,21.0991,19.3778
