geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
hsp-43;B0M0L8;H2KYS1,24.8394,24.8236,23.7881,25.6991,18.4858,20.3756,19.1893,20.2003
hsp-43;B0M0L8;H2KYS1,21.5699,21.4254,18.283,17.4387,23.9399,23.6402,23.8659,24.4044
hsp-43;B0M0L8;H2KYS1,23.7064,23.9818,24.5245,24.5644,19.1502,21.3765,19.5067,15.6998
;B0M0N4,22.921,23.0128,23.1922,22.0914,18.554,19.3054,20.4548,19.3413
;B0M0N4,24.8491,24.2209,23.299,23.6631,24.1034,24.6879,24.4911,23.8903
;B0M0N4,20.8989,20.4911,20.9516,19.9531,22.5049,23.6314,22.1662,21.8206
aat-6;B2D6M4,25.0242,24.7169,22.3951,25.4842,25.6658,25.6644,26.3827,25.3771
aat-6;B2D6M4,20.3312,18.7969,18.3435,20.3708,18.5606,20.6826,22.04,19.2727
rmd-2;B2D6P1,19.6455,19.1665,20.5828,19.0339,21.2714,20.618,20.8077,20.1283
rmd-2;B2D6P1,20.9456,18.1367,19.7739,19.7587,22.9921,21.1897,22.2918,22.6216
urm-1;B3CKG1,25.5169,24.6765,24.299,25.4706,18.8264,18.3651,19.2918,18.4032
;B3WFT8,18.8906,21.6798,19.3382,21.1018,22.4824,22.9064,22.5654,22.625
;E1B6S9,18.5055,19.5159,20.471,20.5876,17.5547,21.765,19.0325,21.2777
abts-1;G5EC65,20.0137,18.961,20.0984,20.9006,18.3909,20.0661,19.6935,17.4703
;B3WFW7,21.6492,20.9017,20.363,19.6692,23.1292,26.0271,22.8694,24.6437
;B3WFY5,20.1471,19.9224,20.5159,20.0643,23.5,23.9385,23.5393,24.3298
;B3WFY5,20.6087,19.3633,18.5213,19.5588,24.3826,25.9305,25.809,26.0201
;B3WFY5,20.3188,20.6144,18.0508,19.5831,22.4523,23.791,23.506,24.3395
ifg-1;B5BM23,24.6554,28.001,26.9035,24.9911,20.4335,18.7878,19.4227,19.9481
ret-1;B5U8N2,20.9275,18.458,19.2809,19.8195,17.4037,19.9347,21.1609,19.8517
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.5891,19.3945,18.1408,19.2951,20.9354,18.9103,20.7375,19.2448
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.2823,22.04,22.2431,20.3698,22.7243,23.137,24.0986,22.1882
pgp-5;B6VQ78,20.4379,21.6183,19.0797,21.4703,24.7936,25.0717,25.3417,26.0154
pgp-5;B6VQ78,20.8038,20.1511,20.7912,16.8367,19.0913,20.749,19.4483,19.8817
pgp-5;B6VQ78,24.3378,23.3053,24.5415,24.1716,23.5881,23.6613,25.4553,24.3153
pgp-5;B6VQ78,19.6729,20.173,19.3842,21.3401,19.7066,19.1923,18.6766,19.3035
;D9PTN8,18.6103,21.5009,19.9923,20.8981,18.2814,18.0552,19.9678,18.035
T05H10.4;B7WN71,21.3051,20.4612,21.3318,20.9079,23.1647,23.4752,26.9099,24.7369
rpl-32;B7WN95;Q22716,18.6339,18.9948,20.5597,19.0219,20.7585,19.1846,20.8123,21.0274
;B7WNA1,18.9649,19.6399,16.1957,20.7917,19.8961,20.3708,20.6711,21.4848
ztf-18;B9ZSG9,19.2492,21.4031,20.1159,21.6253,20.4987,18.4029,17.028,17.9701
uba-1;C1P636,19.3069,20.02,20.2565,18.1938,18.4783,20.067,20.0159,19.1758
uba-1;C1P636,19.9231,20.8242,19.1974,20.7405,17.9534,18.0741,18.7596,19.4827
uba-1;C1P636,29.0672,29.0811,26.665,28.3934,28.8427,28.5983,28.7425,28.1472
uba-1;C1P636,24.2992,24.5216,22.8176,21.8888,18.4082,18.2486,20.1828,20.7321
uba-1;C1P636,23.1656,24.346,23.0557,21.3466,20.3531,20.2175,19.5885,20.3915
;C6KRI9,20.5404,19.9961,19.447,21.0194,19.1637,17.8387,18.4294,19.3799
;C6KRJ1,25.8227,24.1202,22.8888,23.3619,26.5813,25.9916,26.517,26.9107
;C6KRJ1,20.4345,20.0403,21.2073,19.0621,19.4496,20.9856,19.8474,20.8095
;C6KRL2,18.5006,18.7205,21.3008,19.9102,18.7797,20.0192,20.3605,20.1768
;C6KRL2,23.4956,24.7054,24.6075,27.8132,19.8777,16.6764,19.8447,18.5845
