geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
"CELE_Y7A9A,1",12.3415,13.672,13.625,12.8394,12.928,11.9678,12.2132,12.0132
frg-1,13.0559,10.7655,11.7128,11.7816,14.4995,13.6424,14.1627,14.5357
"CELE_ZK909,3",15.0348,15.2798,14.6918,15.196,14.7963,14.7351,14.4593,14.8716
rps-19,19.027,19.0778,18.9604,19.0947,19.5457,19.8301,19.8563,19.8155
"CELE_F26E4,2",11.6323,12.005,11.8803,11.8672,10.3359,9.47612,9.37542,9.99073
"CELE_F26E4,6",13.7545,13.0978,14.7862,15.2667,16.5306,16.2428,15.9275,15.6579
acs-2,14.0409,13.9331,13.9417,14.0021,15.1232,14.9778,15.0517,15.1573
lsm-5,15.5112,14.8444,14.8436,14.8768,14.9755,14.1557,14.16,14.8409
"C24D10,6",14.8673,14.4968,14.5229,14.5652,14.8815,15.2506,14.9487,15.5918
perm-4,20.8943,20.7316,20.7613,20.8102,18.1938,17.972,18.6732,18.2008
perm-2,21.4667,21.324,21.3621,21.4237,18.5682,18.8618,19.6741,18.7088
pas-6,16.7682,16.7372,16.7976,16.7492,17.1729,17.1202,16.9602,17.1342
vps-37,14.8913,14.8075,14.7086,14.756,14.6838,14.1801,14.6886,14.7084
"CD4,3",14.6018,14.336,14.2615,14.4939,14.9288,14.9777,15.0032,15.3205
"CELE_F15B10,3",13.2343,12.7563,13.7607,12.8034,11.1554,11.679,11.5888,10.1178
rfc-2,14.5954,15.2588,14.816,15.0773,14.9491,14.8708,15.0143,15.2046
"CELE_ZC416,6",13.3938,12.2672,12.8001,12.7972,14.5928,14.193,14.4566,14.3534
"F33D4,4",12.5574,12.6702,13.5861,13.8746,14.4658,13.195,12.8249,13.9218
rme-2,12.6788,12.8371,13.0504,12.8705,13.6435,13.3895,12.1641,13.4501
"CELE_ZK185,3",14.6109,15.1089,14.8267,14.6734,15.3467,14.4854,14.6251,14.9685
"F37C4,5",20.5539,20.2809,20.4005,20.4748,18.8096,18.9702,18.3661,18.8496
kgb-1,14.703,15.0157,14.9795,14.9262,15.1049,14.8603,14.5808,15.0744
"T07A9,8",14.7839,14.9223,14.5317,14.8083,15.1606,13.8278,13.1199,14.3167
nog-1,16.1328,16.1188,15.9408,16.0474,15.9111,16.2521,15.7997,15.9804
"CELE_T07A9,10",12.0038,12.0262,11.8645,11.8763,10.6294,10.1836,10.391,10.5775
May-02,21.3371,21.2253,21.2584,21.26,20.979,20.9585,20.709,21.0329
"B0546,5;CELE_F16D3,6",13.0854,13.4694,12.7671,12.9246,14.4425,14.5413,14.2904,14.2831
"C02B10,3",16.5105,16.1608,15.4779,15.5111,14.3948,14.6966,15.3304,14.0901
"C02B10,4",15.0414,14.987,14.7631,14.7097,15.4972,15.8109,15.9882,15.4333
snpn-1,18.9108,19.5579,19.0598,19.4593,15.058,16.847,15.4784,15.3988
pdhb-1,18.1834,18.2327,18.1333,18.0707,17.6471,17.4022,17.0236,17.6476
grd-10,15.0082,15.1046,15.1324,15.1462,15.9953,15.3374,15.3916,15.5217
hoe-1,14.6348,14.8087,14.5503,14.639,14.7385,13.6229,14.0732,14.4823
tim-17,11.86,11.6617,11.7907,11.48,13.0732,12.3568,12.7737,12.5747
