geneName;Leading.proteins,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
;B3WFY5,24.1499,24.4939,24.652,23.8111,25.0238,23.2217,22.8008,24.0372
ifg-1;B5BM23,24.4894,28.4348,27.7537,24.8589,23.2426,22.4601,22.0897,21.8175
ret-1;B5U8N2,18.9469,19.8055,21.0633,20.5318,21.2931,21.1508,20.4474,19.8255
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,19.5044,20.8151,21.4949,20.1092,24.4357,23.3494,25.0926,25.4901
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,24.819,24.834,23.1623,23.0611,21.2548,20.1523,20.9375,21.2505
pgp-5;B6VQ78,19.6568,22.6306,23.9513,23.6542,24.1792,21.6598,22.4392,23.7967
pgp-5;B6VQ78,21.3647,21.3349,20.829,20.8332,21.911,20.9375,19.6359,19.6854
pgp-5;B6VQ78,24.1702,24.2232,22.9661,23.9612,23.041,23.199,23.8769,23.2785
pgp-5;B6VQ78,20.6392,21.7098,20.9488,20.2275,21.4422,21.7248,20.7787,21.7891
;D9PTN8,20.5785,20.5149,21.7013,21.0948,20.4434,21.1005,20.4689,20.7574
T05H10.4;B7WN71,21.2807,21.2965,21.2213,20.4487,21.6426,21.3774,22.014,22.5013
rpl-32;B7WN95;Q22716,20.3419,21.2027,20.3604,20.3478,25.54,25.4733,23.0685,23.5677
;B7WNA1,21.7147,22.5178,22.0646,22.4565,21.9873,20.5899,20.9067,21.6393
ztf-18;B9ZSG9,21.5045,20.9024,21.5147,21.3549,23.123,23.9696,22.4336,22.6807
uba-1;C1P636,21.471,20.7173,19.5881,21.9699,28.6917,28.3212,27.399,28.6877
uba-1;C1P636,22.5521,21.6449,21.9665,23.5047,23.4633,22.0191,22.4369,24.013
uba-1;C1P636,28.286,29.9323,29.7354,28.7573,27.8327,27.0434,26.8239,27.0193
uba-1;C1P636,20.1321,21.8338,21.1902,21.0473,25.2971,24.2513,24.2115,25.242
uba-1;C1P636,22.8085,23.5901,24.9533,24.3424,21.7011,20.6463,20.9351,20.9927
;C6KRI9,21.458,21.5299,22.758,22.377,19.4767,21.1637,20.9227,20.3708
;C6KRJ1,22.732,24.4234,23.0384,24.1261,24.4959,25.1803,24.5876,24.9174
;C6KRJ1,19.5567,21.5613,21.3932,20.3586,20.3136,19.3152,21.1426,21.6047
;C6KRL2,20.5165,20.4768,20.0589,21.1083,20.7115,19.9717,20.3784,21.3875
;C6KRL2,20.7262,21.7809,21.8341,20.1589,24.9609,23.8074,24.1593,25.5308
;C6KRL2,21.3622,21.7378,21.3455,21.7891,20.601,21.7613,20.2862,21.7961
sao-1;C6KRN1,20.1318,19.6751,21.7919,20.0726,21.8475,21.0194,21.1391,21.2472
sao-1;C6KRN1,20.3814,20.4836,21.7323,21.738,20.8672,22.2583,22.1751,21.6872
;C7GIK1,23.811,22.8812,22.466,22.9325,24.1429,24.7102,24.3196,25.0001
fln-1;D0IMZ5;U4PM01,21.5477,19.0419,20.7347,20.8467,21.4059,21.4571,20.162,20.2933
fln-1;D0IMZ5;U4PM01,20.606,21.0738,19.3191,21.881,21.0414,21.0617,20.7607,21.7131
laf-1;D0PV95,19.3101,21.5928,21.3521,20.4235,19.8041,20.6465,20.9017,21.2715
sql-1;D0Z5P0,21.329,21.5462,21.6418,19.4906,23.7733,23.368,22.1273,23.2128
sql-1;D0Z5P0,20.7662,21.4595,20.9881,21.0587,21.5469,21.2464,19.8034,20.8392
sql-1;D0Z5P0,20.4718,20.3956,21.7591,21.5323,23.0573,21.939,21.0128,21.549
;Q22832,24.509,25.7114,25.2927,25.8654,25.3912,23.9264,22.2568,24.643
;Q22832,25.3073,26.7902,26.0234,27.1309,21.8129,20.9894,21.229,21.6336
;Q22832,23.796,25.5118,25.5586,26.0285,25.357,24.5592,24.4791,24.4851
;Q8WQB8,20.462,19.6709,21.2049,21.2928,21.8987,22.5055,23.1307,21.6378
tag-349;D3NQB5,19.858,21.7673,21.5756,21.8638,21.4958,20.9836,21.5373,21.1974
cfp-1;D3YT77,23.0579,21.7964,24.7733,22.4304,21.9146,21.4443,20.5281,21.4169
cfp-1;D3YT77,20.4155,21.8365,20.9268,21.0737,21.9542,21.7244,20.4784,20.969
dct-16;D4YWC3;Q9XX57,21.4333,20.9433,22.0595,22.2341,22.8048,25.0214,23.4421,23.3507
dct-16;D4YWC3;Q9XX57,22.7256,22.2712,23.2153,20.8154,24.2399,22.7062,25.1807,25.2217
dct-16;D4YWC3;Q9XX57,23.5316,24.951,24.5745,26.6976,27.6246,26.2535,24.1034,26.6736
dct-16;D4YWC3;Q9XX57,24.5724,24.1726,23.2585,23.9493,22.4649,22.989,20.9466,22.6336
dct-16;D4YWC3;Q9XX57,24.5962,26.2509,27.3165,25.7321,25.8466,25.8495,26.585,26.7227
dct-16;D4YWC3;Q9XX57,21.0199,19.8687,22.1953,21.7426,23.2705,23.6943,25.44,25.5842
dct-16;D4YWC3;Q9XX57,22.6413,23.6886,23.9567,23.1156,23.8391,24.4358,24.8236,25.3222
larp-1;D5MCN2,19.3632,21.6291,21.1927,20.2531,20.5319,20.6526,18.8036,21.1469
sup-26;D5MCQ2,20.5531,23.5261,22.4428,23.3767,20.5478,21.5307,21.1328,21.5937
;O17698,21.8007,21.5575,23.2903,22.7348,20.9375,21.6223,21.4829,21.7561
mdt-9;D5SGZ9,21.4477,20.0657,21.1602,20.4018,21.5205,21.2703,20.0471,21.9273
mdt-9;D5SGZ9,21.3475,20.6855,20.406,21.129,20.9487,21.4707,20.1499,21.3013
mdt-9;D5SGZ9,20.6243,20.0165,20.829,21.0184,21.8157,20.2852,20.0402,20.4983
nstp-10;C50F4.14;D6R8W5,20.947,21.2828,20.7847,20.6311,20.3161,20.9842,20.3432,21.5452
math-38;D6VPA0,24.2114,24.2647,22.7943,24.0267,21.2065,21.7627,21.3279,20.4193
;D7SFI3,19.9579,21.7285,21.4936,21.9161,24.4316,23.9425,23.3125,24.263
gsto-1;D7SFI3;P34345,20.7498,21.4681,19.2222,20.8547,26.227,24.6542,25.4407,26.663
;D7SFI3,20.9727,20.3889,19.7809,20.9525,24.5447,23.395,22.6072,25.6621
;D7SFP5,21.0707,21.2785,21.7707,21.221,21.7262,20.711,20.5624,21.7654
;D7SFP5,20.5736,20.6922,20.5006,21.3977,23.706,22.1909,23.5963,24.9782
cup-5;D7UU24,21.193,20.4172,20.7645,20.2306,21.4357,21.5622,21.1154,21.7949
cup-5;D7UU24,19.4921,21.6242,20.4722,20.9809,21.117,20.5229,21.2674,20.1553
myrf-2;Q9U3I3,20.6532,20.3517,20.5951,21.28,21.8622,21.3348,20.7942,21.663
snx-6;D9PTP5,20.342,20.5377,20.6389,21.5068,21.4337,21.7804,21.5345,20.2924
snx-6;D9PTP5,21.4286,21.0129,21.679,20.386,21.5166,20.873,21.4638,21.4654
snx-6;D9PTP5,21.4505,21.0761,21.254,20.5541,21.3184,21.5273,19.7784,21.4255
;E0AHE1,22.5211,22.1282,22.0692,22.4583,21.6065,20.9979,19.3429,19.9882
ent-7;Q20396,21.1974,21.3968,19.7806,21.4882,24.3161,25.6732,23.9149,25.2713
;E1B6S4,22.2587,21.7865,21.9052,22.6042,23.889,23.8399,23.0734,25.124
C27A7.1;E1B6U2,24.9753,23.5905,23.234,23.2345,24.3535,24.9712,23.8996,24.2175
rsd-2;E1B6W0,26.8857,27.3456,28.2021,26.8622,25.8446,26.025,25.3421,25.8859
hpo-34;E3W743;Q93636;Q93637,23.9948,23.9798,23.8844,24.2964,21.8025,20.4726,20.2842,20.6735
hpo-34;E3W743;Q93636,20.9469,21.0794,21.1528,20.3796,21.8821,21.6544,21.4855,21.9085
hpo-34;E3W743;Q93636,20.7004,21.8429,20.1557,21.4727,21.6072,21.6657,21.3307,21.2918
hpo-34;E3W743;Q93636,21.5349,20.3886,20.8297,21.3889,20.3305,20.9932,21.4088,20.6994
hpo-34;E3W743;Q93636,23.6647,22.1125,23.5643,23.6853,21.8786,20.6993,20.9927,21.7395
hpo-34;E3W743;Q93636,20.5891,21.3784,21.1348,19.8662,21.9063,21.5147,21.2479,21.3406
hpo-34;E3W743;Q93637,20.8026,20.0346,21.5004,21.3303,21.4665,20.0707,20.1552,20.6192
hpo-34;E3W743;Q93637,24.0117,22.4917,23.1279,23.4397,22.6644,23.7843,22.193,22.1981
hpo-34;E3W743;Q93637,25.8399,23.9853,24.519,24.6093,21.4006,21.4386,19.7826,21.7317
hpo-34;E3W743;Q93636,19.3338,21.653,21.173,19.7927,21.9082,21.0337,19.571,21.3764
hpo-34;E3W743;Q93636,24.133,23.9784,23.5408,22.824,20.5914,20.4525,20.1791,21.4076
hpo-34;E3W743;Q93636,21.1239,21.1843,20.187,21.4077,20.797,20.3116,20.9251,20.9698
hpo-34;E3W743;Q93636;Q93637,25.1225,26.934,26.0942,25.9881,26.718,26.0773,25.4879,26.1418
hpo-34;E3W743;Q93636,24.6741,24.4559,24.6876,24.5936,21.5254,21.1544,20.9267,20.7617
;E3W759,19.4932,19.6884,21.2694,20.5696,21.8049,19.8537,20.9453,21.7305
dnj-14;Q21162,24.9527,23.2554,25.2079,23.8752,22.3058,22.6852,21.8727,22.7202
dnj-14;Q21162,20.78,19.8698,20.7167,20.467,20.8499,21.08,21.2007,20.9649
dnj-14;Q21162,26.3238,23.832,24.4604,24.055,25.7603,25.4249,23.5663,24.14
dnj-14;Q21162,20.5278,21.4068,20.3827,19.9293,23.3913,24.456,23.8687,24.6581
mca-1;F5GU98,19.5326,21.7138,21.0434,19.7927,21.9294,21.1839,20.7691,19.6559
mca-1;F5GU98,27.3912,28.4887,27.9148,28.592,27.4886,26.6176,27.2369,27.5002
mca-1;F5GU98,25.0911,25.5619,25.5724,25.2545,25.2846,25.0817,25.0791,26.1552
mca-1;F5GU98,21.4769,20.5813,21.3158,21.6724,18.3867,20.188,21.0865,21.7958
mca-1;F5GU98,22.7896,23.7029,24.7076,23.9893,24.0343,23.8194,23.5306,23.4437
;F5GUH0,25.1575,25.0955,24.2949,23.5751,24.9709,23.1514,23.0486,22.3776
;F5GUH0,23.8221,24.0495,24.0552,24.246,21.5557,20.3086,21.5235,20.6784
;F5GUH0,24.017,22.87,22.9795,23.435,22.5926,21.2632,21.0606,20.9212
lea-1;F5GUH5;H2FLK8;H2FLK9,21.1169,22.8593,21.6575,22.7,23.9531,23.3923,23.9389,24.3012
lea-1;F5GUH5,19.8039,21.1505,21.5344,22.3732,24.3907,25.1483,22.9269,24.8299
