geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
lea-1;H2FLK8;H2FLK9,22.7688,22.8673,22.4493,25.1894,24.3505,24.5289
lea-1;H2FLK8;H2FLK9,25.9277,25.8121,26.283,23.1051,22.721,22.9429
lea-1;H2FLK8;H2FLK9,25.7281,25.6754,24.9292,25.1307,24.8905,24.0677
lea-1;H2FLK8;H2FLK9,23.3462,22.8245,22.568,23.107,22.9778,23.1231
lea-1;H2FLK8;H2FLK9,25.5156,25.4627,25.2364,22.8457,22.9161,22.7324
lea-1;H2FLK8;H2FLK9,25.1355,24.9886,25.2537,22.9685,22.4458,23.1124
lea-1;H2FLK8;H2FLK9,23.9021,23.4187,24.515,24.4414,24.207,24.4475
lea-1;H2FLK8;H2FLK9,22.6079,22.7516,21.1551,22.9909,21.5251,22.2113
lea-1;H2FLK8;H2FLK9,24.1925,23.6716,24.3465,25.5857,25.2367,24.9831
lea-1;H2FLK8;H2FLK9,25.1706,25.1863,24.9706,23.0955,23.1069,23.1143
lea-1;H2FLK8;H2FLK9,25.2869,25.1804,25.2773,25.5081,24.6742,24.2147
lea-1;H2FLK8;H2FLK9,24.5543,24.1087,24.2964,22.6388,23.109,23.0454
lea-1;H2FLK8;H2FLK9,23.4216,23.3207,23.5042,24.3738,24.3421,24.5786
lea-1;H2FLK8;H2FLK9,22.9378,22.642,22.9842,24.1817,23.7768,24.6936
lea-1;H2FLK8;H2FLK9,23.1268,22.8946,22.9956,22.5471,23.0941,23.073
lea-1;H2FLK8;H2FLK9,33.644,33.376,33.4511,26.9492,25.9959,26.0253
lea-1;H2FLK8;H2FLK9,23,22.3937,22.4341,25.5956,24.8429,25.2288
lea-1;H2FLK8;H2FLK9,22.7578,22.9238,22.7636,23.5511,24.5551,24.3844
lea-1;H2FLK8;H2FLK9,22.2963,22.9183,22.7491,23.222,23.1961,24.4737
lea-1;H2FLK8;H2FLK9,25.624,25.2795,25.1367,22.9178,22.8187,23.1099
lea-1;H2FLK8;H2FLK9,25.3434,24.9632,24.5581,25.511,24.7104,25.0259
lea-1;H2FLK8;H2FLK9,23.727,23.7076,24.1101,22.9245,22.9979,22.9733
lea-1;H2FLK8;H2FLK9,25.9741,26.046,25.7914,25.9004,25.6123,25.767
lea-1;H2FLK8;H2FLK9,22.705,22.8228,22.8327,25.0507,25.7135,25.2562
lea-1;H2FLK8;H2FLK9,23.9578,23.419,23.7074,25.4699,26.5209,26.0126
lea-1;H2FLK8;H2FLK9,25.1465,24.7672,25.3305,25.3613,25.1829,26.6785
lea-1;H2FLK8;H2FLK9,22.9605,22.8631,22.6393,24.8974,24.8154,24.5353
;H2KYH5,26.1383,26.644,26.6421,24.1591,25.5092,27.382
;H2KYH5,27.761,27.1804,26.6986,25.5562,26.3961,26.1493
;H2KYH5,25.9778,26.3376,26.2381,24.1649,25.3898,25.8968
;H2KYH5,24.3203,24.4063,24.3403,26.0193,25.9786,26.4719
srr-4;O44618,27.7882,27.5016,27.6372,26.9291,26.8953,26.7908
npl-4.1;npl-4.2;Q95QZ7,25.3966,25.282,25.3495,23.3753,23.8368,23.5956
;Q8MNV5,23.013,22.9748,22.3501,29.736,29.4433,29.4007
;Q8MNV5,22.4565,22.8501,22.4353,29.736,29.4433,29.4007
