geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,22.4338,22.3162,23.341,22.5443,20.9247,22.208,23.6637,22.5598
pgp-5;B6VQ78,23.5396,24.0538,24.027,24.4733,20.7402,21.5127,21.0615,19.8414
pgp-5;B6VQ78,24.0253,24.1954,23.8341,24.7094,20.565,21.215,19.9568,20.3054
pgp-5;B6VQ78,21.642,20.6649,19.8164,20.3838,20.8063,21.7547,21.7957,19.9784
pgp-5;B6VQ78,23.6822,23.377,23.6016,23.0704,20.1589,18.8541,20.92,20.1963
;D9PTN8,21.3977,21.2719,21.0537,21.2828,20.4975,21.8731,21.6907,20.9261
T05H10.4;B7WN71,23.5192,22.6347,24.6094,23.4524,20.5753,21.8538,21.7585,20.5651
rpl-32;B7WN95;Q22716,21.6393,20.813,19.4023,21.1742,22.1949,23.4438,24.3243,23.0751
;B7WNA1,21.2993,19.6165,20.9416,20.8479,25.9612,24.5155,26.1278,23.7499
ztf-18;B9ZSG9,21.1978,21.8127,22.4531,23.278,19.8703,21.3079,21.6396,20.3982
uba-1;C1P636,20.779,21.0683,20.7227,21.02,24.3829,27.3911,27.7469,24.7838
uba-1;C1P636,21.7447,20.9783,21.5709,20.5026,20.0767,20.7002,20.7928,20.7136
uba-1;C1P636,30.0731,29.2611,30.0036,27.1609,26.7961,29.2473,28.5872,27.7194
uba-1;C1P636,20.6949,21.4646,21.6526,21.297,20.095,21.0316,20.7677,21.2815
uba-1;C1P636,24.2267,23.6741,25.6649,25.6374,21.381,24.6498,24.5692,23.2222
;C6KRI9,21.7316,22.0649,22.6537,22.0835,23.4178,22.6652,22.4566,21.8489
;C6KRJ1,25.2667,24.4006,24.3994,21.1837,20.6147,24.5905,24.5901,23.698
;C6KRJ1,20.9254,21.2201,20.9721,21.3205,20.6628,21.0369,20.9473,20.4694
;C6KRL2,21.3642,20.8587,21.6605,21.4991,20.8262,20.981,21.7895,20.1363
;C6KRL2,21.518,20.5641,20.9167,19.0885,22.9168,23.8624,23.4076,23.9452
;C6KRL2,20.9206,20.205,20.5774,20.9269,20.2009,21.6174,21.8525,20.0957
sao-1;C6KRN1,21.484,21.5206,21.2411,20.3934,23.1583,24.5248,25.9561,23.2362
sao-1;C6KRN1,21.796,20.2897,20.8251,20.2123,22.1506,23.3214,24.4259,21.7815
;C7GIK1,24.5533,24.9669,24.442,23.6684,23.3502,23.4996,22.6015,23.7689
fln-1;D0IMZ5;U4PM01,20.4063,20.9288,21.6402,21.1567,20.9014,21.698,19.3266,20.3338
fln-1;D0IMZ5;U4PM01,21.5125,20.0789,20.6525,19.8493,19.5755,21.3665,21.3168,19.8443
laf-1;D0PV95,21.3794,21.5366,20.5142,21.3843,19.336,21.5063,21.0711,20.7198
sql-1;D0Z5P0,20.4903,20.513,20.9884,20.1689,20.5128,21.7192,21.6914,19.8671
sql-1;D0Z5P0,18.7222,20.8157,21.0419,20.9418,20.1461,21.3154,21.7611,20.5787
sql-1;D0Z5P0,21.6657,20.9494,20.5703,20.7088,20.8005,23.2358,22.5839,23.7822
;Q22832,25.4476,24.7667,25.5468,27.4295,23.0661,24.3663,23.8804,23.8569
;Q22832,20.76,19.8659,20.4732,20.4041,20.4505,20.5782,21.5406,21.0552
;Q22832,24.0034,23.9793,23.6716,23.3197,22.5459,25.5605,25.091,24.0634
;Q8WQB8,21.8786,19.1683,20.8092,20.9791,20.2351,19.5339,19.8739,19.2225
tag-349;D3NQB5,25.1644,24.8759,24.9416,23.4658,19.1156,21.4079,20.5093,21.0382
cfp-1;D3YT77,21.9817,20.6194,21.2085,20.0378,26.9154,24.1033,23.6747,25.4848
cfp-1;D3YT77,21.9037,19.8792,20.6222,20.1827,20.6808,21.1046,21.0922,20.269
dct-16;D4YWC3;Q9XX57,20.4978,17.9466,19.3766,21.2841,20.5166,21.2539,21.2144,20.885
dct-16;D4YWC3;Q9XX57,21.9399,20.4445,21.6109,23.8536,22.4424,22.9434,21.4398,21.4046
dct-16;D4YWC3;Q9XX57,20.8252,19.3187,20.7424,20.6136,22.8801,23.3068,27.7911,25.1851
dct-16;D4YWC3;Q9XX57,24.0414,23.2599,23.3684,23.8516,23.5754,24.7777,25.0008,23.6026
dct-16;D4YWC3;Q9XX57,23.9589,24.9347,24.7792,24.7218,26.1208,25.6806,26.0864,27.6045
dct-16;D4YWC3;Q9XX57,25.0168,22.7489,23.5382,24.3993,21.8896,23.0164,23.8282,21.933
dct-16;D4YWC3;Q9XX57,22.0108,20.7942,21.9539,25.7404,24.1722,24.9597,24.2955,24.4554
larp-1;D5MCN2,21.1054,19.6121,21.0601,21.4013,20.0091,21.4229,21.753,21.1571
sup-26;D5MCQ2,21.0324,20.305,20.7311,21.2944,21.6908,21.6015,22.5819,20.5493
;O17698,21.2444,19.3065,21.5333,20.9985,23.0986,24.4448,22.2894,22.8749
mdt-9;D5SGZ9,21.3976,20.1255,20.0957,20.2174,21.7439,23.2456,22.6293,24.1669
mdt-9;D5SGZ9,21.0542,19.9669,19.7995,20.951,20.4144,20.3889,21.4911,19.3456
mdt-9;D5SGZ9,21.7452,20.2396,19.7755,19.6621,21.0305,21.5461,21.2657,20.4079
nstp-10;C50F4.14;D6R8W5,21.4066,20.4052,21.1861,21.2875,20.5775,20.6584,20.4089,20.089
math-38;D6VPA0,25.4788,24.3411,25.1425,21.151,20.1119,20.988,21.5651,20.6464
;D7SFI3,20.5175,18.5403,21.6985,20.5181,20.6607,21.3496,20.2431,21.1154
gsto-1;D7SFI3;P34345,20.1356,20.356,21.7148,21.1298,20.6835,20.736,21.5539,19.5172
;D7SFI3,20.2683,19.922,20.0086,19.8927,19.5614,21.8254,21.8673,18.672
;D7SFP5,21.6512,21.2143,21.8261,20.8225,20.8534,21.5535,21.5379,21.2778
;D7SFP5,21.2036,21.166,21.5705,19.3383,20.1464,20.9426,21.4599,20.0281
cup-5;D7UU24,21.9611,21.138,20.075,20.4457,22.3934,22.9942,22.3499,23.3506
cup-5;D7UU24,20.816,20.0873,20.2643,20.2662,20.6237,20.117,20.3076,19.5204
myrf-2;Q9U3I3,21.698,19.9376,19.6743,21.4237,20.8559,20.9348,20.5486,19.8233
snx-6;D9PTP5,22.7973,22.9719,24.6081,24.7735,20.9855,21.3954,20.5594,20.7183
snx-6;D9PTP5,22.7973,22.1919,22.3804,23.9722,20.8272,20.816,21.7892,21.195
snx-6;D9PTP5,21.3622,19.2111,20.0698,21.0408,19.7705,20.8345,21.7663,20.8192
;E0AHE1,20.5217,19.3192,20.7679,20.4485,20.1416,21.7248,19.8681,21.1995
ent-7;Q20396,25.0589,24.8991,25.7743,25.6437,20.933,20.9969,19.6464,21.2581
;E1B6S4,23.2166,22.5892,22.6245,25.0585,21.0927,21.6643,21.327,21.0267
C27A7.1;E1B6U2,24.1822,23.1883,23.9172,24.5745,24.8068,22.1096,22.3523,22.1385
rsd-2;E1B6W0,27.0429,26.9682,27.715,25.5443,25.7082,27.6887,27.6647,26.3795
hpo-34;E3W743;Q93636;Q93637,23.4785,22.5451,22.2794,22.9017,23.683,25.806,25.0407,23.0614
hpo-34;E3W743;Q93636,20.5711,19.3733,21.3114,21.0815,19.48,21.4577,21.0537,20.8928
hpo-34;E3W743;Q93636,21.9722,21.2444,18.8298,17.4473,23.8426,23.9153,24.3983,24.8814
hpo-34;E3W743;Q93636,21.0424,20.5026,21.4125,20.691,22.7842,23.4928,22.6452,23.5871
