geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
hsp-43;B0M0L8;H2KYS1,21.3568,20.6489,21.7948,21.1252,21.0146,20.967,21.408,20.6054,,,,
hsp-43;B0M0L8;H2KYS1,21.1448,18.6417,19.8242,20.6551,22.8827,21.4374,21.4661,23.8239,,,,
;B0M0N4,21.0359,20.9745,19.6175,20.3549,21.029,21.6173,21.7983,21.0978,,,,
;B0M0N4,20.7542,20.0336,20.038,18.9517,23.7929,24.6363,24.2758,24.124,,,,
;B0M0N4,21.7548,20.1904,21.3833,20.5938,20.931,21.3061,21.7937,19.8725,,,,
aat-6;B2D6M4,27.6548,27.3311,27.584,27.434,25.5304,27.5923,26.6201,26.5127,,,,
aat-6;B2D6M4,20.8768,20.2682,20.2449,20.1922,20.7468,20.9624,21.1756,20.5598,,,,
rmd-2;B2D6P1,24.4981,23.0686,23.1787,23.9531,21.6003,20.9568,20.6863,21.0526,,,,
rmd-2;B2D6P1,24.4506,20.9849,22.1507,22.6162,20.8261,20.4019,19.9709,20.3885,,,,
urm-1;B3CKG1,27.2999,25.661,25.3296,26.1432,24.6014,25.6672,24.6381,24.9835,,,,
;B3WFT8,22.0012,22.6959,22.1929,22.1263,21.3531,19.5144,21.0243,21.69,,,,
;E1B6S9,24.249,23.6046,24.2913,24.2745,19.2882,20.5428,21.0318,21.5463,,,,
abts-1;G5EC65,22.0556,21.381,21.2617,21.2197,21.0863,21.0029,21.1349,20.951,,,,
;B3WFW7,21.101,20.6637,21.735,20.5653,20.2918,19.5298,20.0551,21.9286,,,,
;B3WFY5,20.4862,20.2767,21.8412,21.2993,20.6349,21.5405,21.2236,21.7733,,,,
;B3WFY5,24.8655,21.8924,26.0785,25.781,23.2228,22.8943,24.2937,23.8111,,,,
;B3WFY5,21.9788,21.8769,23.0364,22.7919,24.1499,24.4939,24.652,23.8111,,,,
ifg-1;B5BM23,21.4004,18.4321,21.0326,20.8444,24.4894,28.4348,27.7537,24.8589,,,,
ret-1;B5U8N2,25.606,24.3541,24.7975,23.9565,18.9469,19.8055,21.0633,20.5318,,,,
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,21.8163,18.9145,21.0268,20.94,19.5044,20.8151,21.4949,20.1092,,,,
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,22.7242,23.1932,23.5548,25.4057,24.819,24.834,23.1623,23.0611,,,,
pgp-5;B6VQ78,25.0628,26.0294,25.7148,26.3512,19.6568,22.6306,23.9513,23.6542,,,,
pgp-5;B6VQ78,22.895,26.3524,26.1879,24.1823,21.3647,21.3349,20.829,20.8332,,,,
pgp-5;B6VQ78,21.0986,21.2985,21.5946,21.1327,24.1702,24.2232,22.9661,23.9612,,,,
pgp-5;B6VQ78,19.8899,18.6924,20.4361,21.3514,20.6392,21.7098,20.9488,20.2275,,,,
;D9PTN8,20.9566,18.7733,20.8016,21.1581,20.5785,20.5149,21.7013,21.0948,,,,
