geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
"C36C5,5",12.9933,13.3421,12.9086,13.1563,15.8891,15.876,15.199,15.4368
"C36C5,12",15.0267,15.0939,14.1105,14.6307,13.0989,13.2454,12.9991,13.2404
phat-5,14.6689,14.8401,14.776,15.1497,13.2201,13.3478,12.0275,13.316
phat-4,15.2958,15.2441,15.1564,15.4631,15.499,15.7839,15.6753,15.5289
ftn-1,15.5535,15.6047,15.1225,15.4045,12.8689,13.3364,12.6854,12.6296
tag-196,16.2561,16.6918,15.7912,15.8084,17.1967,17.3865,16.7994,16.8523
vps-60,16.2552,16.5879,16.1457,16.1632,17.4778,17.1408,16.6917,16.8283
grd-5,17.8875,18.5334,18.3058,18.586,18.713,18.7819,18.3259,18.0459
"CELE_F41E6,12",15.13,15.6276,15.1102,14.5913,16.1087,14.9001,15.7132,15.7337
cyp-33c9,14.4275,13.8538,12.6055,13.4839,13.1969,12.9662,12.9128,13.0065
natc-2,13.9456,14.073,13.8083,14.373,13.7005,12.646,14.2723,13.6783
"B0238,11",15.6885,15.6327,15.911,15.5218,16.2755,16.024,15.6627,16.8001
"B0238,1",15.1726,14.8012,15.6997,15.7699,16.2077,15.3775,17.271,18.2748
atp-4,20.2532,19.9988,20.3313,20.3824,20.7964,20.8935,20.7576,20.647
alh-4,16.1235,16.119,16.0618,16.1752,17.6615,17.4914,17.1321,17.3893
gad-1,13.5632,14.1154,13.2685,14.001,13.3156,13.3533,8.66658,13.3201
erfa-1,16.2022,16.1554,16.1388,15.9624,17.0367,17.3333,17.1203,17.1515
hpo-19,16.3846,16.3304,16.3915,16.3058,16.5239,16.8585,16.8279,16.5306
gba-1,14.7746,14.4961,14.3836,14.6796,15.2319,14.9095,15.0595,15.1442
mtq-2,11.9119,12.2799,12.486,10.1608,14.7506,14.1262,14.4582,13.1551
"C33C12,10",14.6343,14.8382,14.4679,14.517,15.162,14.5022,13.3793,14.7264
dhs-13,14.1255,13.6974,14.4006,14.3876,14.572,13.8447,15.609,15.2789
"CELE_K02F6,7",12.2809,12.726,12.1591,13.0351,12.9576,13.1834,12.4082,13.2394
apd-3,12.9088,13.2649,13.7072,13.5544,13.3174,13.3035,12.8942,13.2838
"C03H5,3",16.129,16.1884,14.9472,15.106,13.3251,13.2885,12.8793,13.2045
nstp-4,15.188,15.3902,15.2264,15.4798,16.3547,16.5371,16.441,16.7765
sdz-24,15.247,15.083,14.9244,15.3248,15.9664,15.7758,15.2016,15.8244
alg-2,15.5358,15.5132,15.6668,15.9059,17.3207,17.7541,17.7565,15.532
"CELE_T21D12,12",16.538,16.8045,15.9558,15.9942,15.1364,15.5399,14.9032,14.3929
pat-6,16.5555,16.7291,16.5725,16.7175,17.5128,17.6441,17.3601,17.0031
"pqbp-1,1",13.193,13.9483,12.5992,13.8535,13.7941,14.714,13.9389,14.396
cpg-4,14.1582,14.3474,13.6471,13.3381,13.1782,13.3441,12.9406,13.305
"C29G2,6",14.0716,13.9315,14.3849,14.224,14.7463,14.8321,15.7377,14.6318
ugt-41,15.2758,14.2061,14.6849,15.8089,13.2254,13.2941,12.9169,13.1669
"F25G6,8",15.8555,16.1046,14.6961,15.7714,17.5169,17.979,16.0163,16.4832
"CELE_F25G6,9",11.5706,11.2111,12.0964,11.9449,14.7158,14.0886,13.7517,14.0684
symk-1,12.3452,11.723,12.2544,12.3188,13.5668,12.8176,13.8394,13.0072
sftb-2,14.8004,14.5421,14.6703,15.0129,15.301,15.409,15.4842,15.1212
"W03F9,1",15.4726,15.5113,15.1321,15.0194,16.8527,16.651,15.9551,16.3459
dnj-22,12.2168,12.7239,12.6522,11.5602,13.2304,12.9626,12.8799,12.9037
natc-1,14.5376,14.8923,13.8196,14.3021,15.1945,14.7923,14.9243,14.2237
mrps-2,13.9745,14.3234,13.3701,14.0559,15.071,14.9721,14.1223,14.0784
mrpl-4,13.0991,13.4126,13.1389,13.5753,14.2353,14.9405,13.6966,14.1893
col-143,15.9868,15.9475,16.6841,18.5458,17.1668,15.5506,18.2279,18.0209
hpo-8,16.4197,16.299,16.2764,16.5445,17.3101,16.1807,17.3013,16.7987
flp-24,15.2908,15.0073,14.3737,14.6863,15.3884,15.3021,14.5165,15.0697
"CELE_F23F1,4",12.35,12.8155,11.8497,12.117,14.0995,14.5423,14.3236,13.3813
"CELE_F23F1,5",14.2598,14.5354,13.7984,14.262,15.6382,15.9172,14.7293,15.1345
rpt-4,16.2845,16.1657,16.3905,16.3524,17.7757,17.435,17.1378,17.3471
ugt-42,10.5935,10.7813,10.4922,10.7987,12.53,13.1336,12.7715,13.2584
"C24H12,4",14.2796,14.415,14.1939,13.0827,15.27,15.2638,15.047,14.6464
fum-1,18.5564,18.4988,18.7602,18.9976,19.0623,18.9863,19.6047,19.6275
rps-22,19.0291,18.8844,19.4724,19.506,19.8612,19.6394,20.4669,20.4401
mnat-1,14.753,15.0024,14.4573,14.6582,13.5217,14.228,14.0111,14.0418
lmtr-5,16.1827,16.4499,15.7568,15.9317,14.1736,13.4056,12.3372,13.2822
heh-1,17.4021,17.2121,16.4212,17.4604,18.7854,18.3487,18.9097,19.3305
lgc-34,16.6365,16.8356,16.8688,17.2421,17.6394,17.8022,17.5001,17.5961
tomm-22,16.2622,16.2375,15.8118,16.205,18.2664,18.0045,17.5228,17.9063
mct-6,15.3893,15.5108,15.6728,15.5516,16.7608,16.9167,17.0685,16.9952
ttr-6,19.0382,18.8897,19.0991,19.2167,19.0785,19.1477,19.4265,19.487
aagr-4,13.5871,13.6422,13.6241,13.7502,13.3039,13.9462,13.7984,14.513
srp-2,15.8843,15.9734,15.6865,15.9497,17.8934,17.8538,17.4602,17.8268
pho-14,16.1378,16.255,16.1067,16.3442,18.945,18.836,18.65,19
spp-13,13.5469,13.5961,14.6192,13.9264,14.0744,13.3021,14.0242,12.6888
tag-123,14.8536,14.7457,15.5033,15.8189,15.9191,15.4949,15.5056,16.9282
tth-1,19.2232,19.3087,19.1722,19.348,19.5804,19.6628,19.3307,19.151
"F52H2,6",13.0113,13.3724,13.5479,15.0545,14.5695,14.1544,13.1384,13.779
"F09G2,8",14.3996,14.8039,14.2056,13.9875,14.1362,14.4054,13.3126,12.5822
attf-2,17.705,17.8972,17.6463,17.6316,19.2045,19.3431,18.4035,18.531
"CELE_F09G2,2",10.6252,10.8013,10.6498,10.8193,18.6904,17.3359,15.7168,16.9279
"CELE_W02D7,5",14.9203,15.1487,15.2486,15.1943,13.2716,13.2782,12.9274,13.1962
sel-9,16.132,16.5258,16.6644,16.8155,18.2821,17.9576,15.8887,16.619
hil-4,13.1644,13.4166,13.0347,12.6943,12.7457,13.2117,12.976,13.3305
clec-223,13.2907,13.1305,12.5488,12.7948,15.8012,15.5839,15.2437,15.3864
rpl-38,18.062,16.9422,17.8118,17.6971,17.7585,17.5656,17.8217,17.5942
pro-2,12.8248,13.8524,12.2592,13.6587,14.259,13.8983,14.73,14.6597
pas-1,17.144,17.0854,17.4613,17.4149,16.8751,16.7185,17.6195,17.6424
"C16C2,4",14.3459,14.4299,14.1994,14.5736,16.5303,16.432,14.9388,15.6322
"C25A1,1",13.6342,14.1116,13.622,13.7781,15.0348,15.5469,14.4023,14.3621
