geneName;Leading.proteins,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
hsp-43;B0M0L8;H2KYS1,17.5159,19.1286,20.7418,19.3442,17.857,18.7975,19.9887,20.9355
hsp-43;B0M0L8;H2KYS1,25.3796,24.7762,26.8231,25.6267,22.7903,24.7255,23.5835,23.3055
hsp-43;B0M0L8;H2KYS1,18.8071,19.4619,16.2762,20.1926,19.0626,19.5735,18.7121,19.4029
hsp-43;B0M0L8;H2KYS1,22.0277,22.7376,23.7708,22.2834,16.3137,17.1336,17.7465,17.0591
;B0M0N4,18.7971,19.062,21.6575,18.8281,16.9701,19.1055,18.118,18.2541
;B0M0N4,23.645,23.5373,24.3177,24.6165,23.2087,23.6756,25.4263,24.2614
;B0M0N4,18.1366,19.9326,20.6484,21.2382,16.6639,18.6498,17.8201,19.4437
aat-6;B2D6M4,19.7694,20.7445,19.7443,19.912,23.673,25.2946,26.4505,24.4428
aat-6;B2D6M4,18.9094,20.1224,16.3753,20.9512,16.5856,17.4055,20.2348,19.3342
rmd-2;B2D6P1,17.4413,20.5889,20.9487,18.644,17.5904,20.1226,17.9621,17.7316
rmd-2;B2D6P1,20.2365,20.4078,18.3202,18.7563,18.9014,17.8063,20.1686,18.9247
urm-1;B3CKG1,23.4617,23.0401,22.0858,22.5014,19.2642,16.4014,19.5197,20.0294
;B3WFT8,22.7022,21.3557,21.4743,22.1535,18.0307,16.8844,17.1375,16.373
;E1B6S9,18.345,19.5884,17.9881,19.7795,18.6026,16.8641,20.0172,19.0598
abts-1;G5EC65,20.0809,18.0834,19.3113,19.774,18.1164,16.0998,18.1509,19.4079
;B3WFW7,19.7005,20.3745,18.0215,19.3774,21.3602,17.5718,18.9167,18.854
;B3WFY5,19.32,20.7823,21.242,18.9441,16.4401,19.6351,17.1878,16.9072
;B3WFY5,23.8211,23.3181,24.1166,21.8166,18.1912,17.2033,17.195,18.0567
;B3WFY5,19.6776,20.0635,20.6625,19.2994,17.9842,19.554,16.4702,21.4069
ifg-1;B5BM23,19.2565,20.5214,20.8073,19.2984,17.8374,16.927,18.273,18.5831
ret-1;B5U8N2,20.794,17.0792,20.0665,17.8365,19.4225,17.1692,17.3141,17.4451
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,17.3103,17.1746,20.4174,20.4396,18.1712,18.5284,18.0341,20.4115
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,24.6075,25.1307,23.8537,24.455,18.2079,18.1186,17.2369,19.1808
pgp-5;B6VQ78,23.6962,23.7932,24.0711,23.5058,14.8644,20.2146,18.2068,19.258
pgp-5;B6VQ78,20.0811,18.7732,18.6893,18.8187,20.5131,18.4541,17.9577,20.2613
pgp-5;B6VQ78,21.297,19.2173,20.187,20.4549,20.3277,18.1062,19.0267,18.2347
pgp-5;B6VQ78,20.4348,20.9126,19.4002,19.7272,18.1222,17.6773,19.499,18.2741
;D9PTN8,19.1145,19.9017,20.9113,19.8301,18.1468,15.2071,17.0486,17.6624
T05H10.4;B7WN71,20.3484,18.4317,21.5044,20.1382,17.925,16.6742,18.5905,19.6352
rpl-32;B7WN95;Q22716,21.817,20.7137,23.1381,23.0892,21.7326,22.8559,27.0028,22.218
;B7WNA1,19.3637,18.8132,19.8949,19.5884,17.7647,18.5871,18.2033,17.8967
ztf-18;B9ZSG9,21.2892,20.9302,20.5808,19.112,16.1226,19.1411,16.9976,16.6789
uba-1;C1P636,28.1097,27.49,29.1203,26.5139,25.7144,26.3304,25.4538,25.8301
uba-1;C1P636,20.6987,20.4937,19.9295,21.1422,15.9196,19.7251,17.0032,19.9054
uba-1;C1P636,27.9025,28.8274,29.1852,26.7635,25.064,24.3155,24.5389,24.8321
uba-1;C1P636,19.5016,21.754,20.7256,19.0557,16.7576,21.2111,17.4887,18.5936
uba-1;C1P636,20.6485,18.7298,20.203,20.8085,17.6087,20.229,17.1308,19.6554
;C6KRI9,19.2445,18.5205,21.3972,19.5055,18.1693,15.0907,16.4394,17.5768
;C6KRJ1,23.5737,22.4739,23.5811,22.3814,24.4326,24.4605,26.4846,24.3524
;C6KRJ1,18.4022,21.0043,20.3874,18.524,19.424,20.1725,20.1467,18.7584
;C6KRL2,21.1565,19.3807,15.6495,18.3946,16.7956,21.8184,19.1989,18.2664
;C6KRL2,19.3761,18.9591,20.0725,19.869,20.7082,20.0066,18.1155,17.9902
;C6KRL2,19.2015,20.1216,22.0081,18.1704,18.1465,19.0307,16.6751,18.8534
sao-1;C6KRN1,20.5858,20.6337,21.9644,19.1441,19.3306,15.8292,18.8088,20.5486
sao-1;C6KRN1,19.2687,18.887,21.353,20.6831,17.6828,17.5006,16.4275,16.0409
;C7GIK1,23.8929,23.3273,24.6225,24.9028,25.3592,25.4251,28.9871,25.2176
fln-1;D0IMZ5;U4PM01,16.1735,19.6873,19.4476,18.1699,17.1889,18.2264,18.7215,17.5709
fln-1;D0IMZ5;U4PM01,17.7467,20.0903,20.3797,17.9029,19.2803,16.9583,16.9882,19.263
laf-1;D0PV95,18.4561,17.4135,18.4195,19.1969,17.8211,16.5464,17.4694,17.8589
sql-1;D0Z5P0,21.4034,18.626,19.3887,21.1228,17.411,17.9014,18.6556,19.2248
sql-1;D0Z5P0,18.9025,20.0222,17.0252,17.7482,16.9003,18.0781,19.6056,17.9194
sql-1;D0Z5P0,20.3732,18.9264,19.9212,20.9562,16.6548,16.6767,20.199,18.4508
;Q22832,23.4199,24.9452,23.9638,25.6489,17.5687,16.2136,16.8627,19.8625
;Q22832,20.1997,20.919,18.7993,19.2352,20.3867,20.2048,20.7456,22.3366
;Q22832,26.268,25.7124,25.4438,26.2238,22.8951,23.158,24.4768,22.887
;Q8WQB8,20.2393,19.0665,19.1256,19.5508,17.5912,18.6467,20.4481,18.8304
tag-349;D3NQB5,17.4733,20.7375,21.1524,20.2789,19.1845,17.8981,18.4627,16.621
cfp-1;D3YT77,20.7236,19.1327,19.0716,20.6191,23.5158,24.3109,24.0186,24.4625
cfp-1;D3YT77,24.9812,25.7894,26.0258,25.9408,25.8061,25.2083,24.9314,26.4041
dct-16;D4YWC3;Q9XX57,18.9656,19.0413,19.0164,17.9689,16.8579,18.9977,18.1094,21.1243
dct-16;D4YWC3;Q9XX57,22.5813,22.8879,23.0548,26.5052,16.4288,18.1891,18.497,18.7978
dct-16;D4YWC3;Q9XX57,24.9194,25.2759,25.5569,24.4396,24.3716,25.1142,25.2045,24.4069
