geneName,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
cul-4,14.1093,17.1773,16.1357,12.9557,15.5076,15.9145,15.7477,14.542
ugt-49,18.1364,16.9261,18.2693,19.1741,14.9571,14.5868,15.2603,16.532
ugt-1,15.6499,15.5444,15.8553,16.0469,14.471,14.8888,15.1509,14.8999
ugt-2,12.2856,11.9324,11.6604,12.0449,13.9922,13.71,13.8802,12.4311
"AC3,5",16.8063,17.2241,16.1885,16.5709,17.5195,16.8048,17.0716,17.5001
lin-24,14.0502,12.1223,15.0115,14.5403,14.1766,15.5913,15.0856,14.3619
"B0001,4",14.392,14.5431,15.085,14.0251,15.0343,15.5634,15.0237,15.0813
"B0024,10",12.3201,12.0983,11.5599,12.1109,12.5068,12.1837,12.1525,12.2388
"B0024,11",15.1108,14.9929,15.3227,14.9756,15.2747,14.8165,15.5591,16.0845
gna-1,14.8453,14.8433,14.9071,14.8516,14.9662,14.6899,14.639,15.1906
"B0024,13",13.4983,13.3319,12.5856,12.8948,14.3682,13.6749,13.2662,13.8872
sart-3,16.4257,14.7324,14.7678,16.8247,15.3998,15.1035,15.155,15.4692
leo-1,11.7436,12.0663,11.4722,12.0183,13.3666,12.2235,13.0702,14.1621
"B0035,3",14.8712,15.424,15.0939,15.406,15.4782,15.2841,15.46,15.7166
dnj-2,13.2897,13.4399,13.5863,13.7916,14.237,14.1407,14.7412,14.4305
pfd-4,17.4219,17.1718,17.3843,18.0709,17.0719,16.3455,16.7615,17.0514
"B0035,6",12.2596,11.6121,11.7377,11.6928,13.7298,14.5241,15.3879,14.2916
"B0035,13",12.0692,12.0776,11.4761,11.6278,16.7739,15.4493,16.8148,15.8466
dnj-1,14.5746,16.1197,14.4157,14.4879,14.9325,15.3335,15.6891,14.8586
"B0035,15",12.9521,15.1004,14.9308,13.3342,14.2975,14.3258,14.8964,14.1456
pmk-1,14.8977,15.8654,13.6062,14.1183,18.3791,14.2173,14.4779,18.3584
faah-2,13.7054,12.9239,13.9731,13.7106,14.1192,14.1267,13.306,12.0762
faah-1,13.9772,14.6169,14.6107,14.3073,13.6457,13.3673,12.8999,12.2838
clec-51,12.1235,12.0285,11.7139,11.6819,12.4729,12.0735,12.1989,12.751
clec-52,16.5627,16.114,15.9807,16.5282,14.3459,13.1517,13.6991,13.0181
pitr-3,12.0198,11.9423,11.7643,12.1006,13.8489,11.9376,12.9581,13.2392
"B0222,5",16.0416,15.4478,15.1877,15.9705,15.2477,15.1628,15.0931,15.325
ttr-18,18.7448,18.855,18.7655,18.9009,19.4246,19.2462,19.1256,19.3376
"B0334,3",16.7351,16.8229,16.7576,16.7806,17.2786,17.1922,17.2242,17.5164
"B0334,3",11.8472,12.2726,12.9215,12.505,12.5498,12.1757,12.2173,12.3507
unc-44,17.5313,17.8551,17.422,17.475,17.5488,16.5852,16.4978,16.1277
unc-44,16.056,16.7868,15.7155,16.5772,15.6784,15.0164,15.0614,15.8678
"B0395,3",15.4065,15.158,15.3953,15.312,14.6052,15.1919,14.8625,14.7167
"B0491,5",17.5115,17.7873,17.6048,17.9687,17.6165,17.2435,17.1613,17.5854
valv-1,13.8783,14.3097,14.22,13.8348,13.2397,13.1408,12.7128,14.1113
tes-1,11.3,12.3243,12.1965,12.3753,13.3327,13.4551,13.2068,11.8278
"B0564,2",14.5988,15.3584,15.0711,15.7155,11.8818,13.3411,13.1966,13.3539
"B0564,7",12.279,11.9413,11.6301,11.7413,12.4848,11.9368,12.3368,12.4363
"exos-4,1",13.9652,14.1064,14.57,14.5201,13.6298,14.7206,13.2017,13.2075
"C01B10,8",13.4057,13.4706,14.0266,14.1319,15.1768,15.0051,15.207,15.4722
"C01B10,10",16.2423,13.5993,14.749,15.5873,12.2885,12.6989,11.715,12.7669
"C01B10,3",15.5257,15.0194,15.1354,15.6238,15.9641,15.7435,15.7354,15.9443
"C01F1,3",14.5106,14.3429,15.019,14.7897,14.5163,15.1965,15.1611,15.7431
sco-1,15.6458,16.2845,16.0436,15.7048,15.9115,15.3569,15.5914,15.6397
"C01F1,1",15.3587,15.1469,13.8834,13.4609,14.4126,13.6756,13.8189,13.6993
aly-1,15.3012,15.1319,15.4711,15.9787,16.2087,15.0545,15.729,15.8908
"C01G5,5",14.7787,14.184,14.6023,15.2195,14.4491,14.7114,14.5161,15.1453
ddi-1,15.3415,13.7025,14.6793,15.5292,15.6968,15.3898,15.2565,16.0239
aqp-2,17.47,17.7028,17.3906,17.3043,12.5017,12.1951,12.138,12.5686
"C01G6,3",18.7454,18.9554,18.4937,18.8995,18.4283,17.9271,18.0374,18.6959
tag-165,14.192,13.6483,14.3443,14.0275,14.9613,15.0658,15.1532,15.1277
acs-7,12.2808,11.7448,11.6651,11.9952,14.5831,13.9058,12.692,13.7539
"C01H6,4",14.3878,14.443,13.1222,14.7802,13.9059,13.9178,13.9196,13.9454
"C02G6,1",16.6486,16.242,16.5601,17.0304,18.4794,17.538,17.4047,18.8207
"C02G6,2",14.7629,14.5504,15.6777,15.8239,14.0378,14.5358,15.0303,15.3217
"C03A3,2",14.2712,14.6462,13.7185,14.6773,15.5343,15.814,15.5232,14.9728
npp-14,14.0722,14.3133,13.5867,13.9531,14.5997,14.2936,13.9577,14.3874
asfl-1,13.7808,13.0799,13.6219,13.2715,13.8962,14.7496,13.5167,13.9603
"rpl-24,2",15.5891,15.262,15.4152,15.3575,17.0606,16.3035,16.5511,16.905
arrd-25,16.5862,15.8828,15.7729,16.7697,16.7015,16.2686,16.5377,16.8773
"C04C11,1",15.6528,15.5381,15.4566,15.8232,14.9024,15.8525,15.1849,14.8509
spch-1,14.3719,14.4823,14.1066,14.2996,16.3845,15.6924,16.5193,16.9396
"C04G2,2;CELE_W01B6,2",11.793,11.946,11.5738,11.623,12.4229,11.9421,12.3279,12.2357
dis-3,14.2159,14.368,13.7791,14.9349,14.6938,15.3694,15.226,14.4595
"C04G2,9",15.1302,15.7481,15.3922,15.5579,16.295,16.0928,15.2662,16.2014
ndc-80,15.1668,13.8856,12.8552,14.1217,13.9311,13.2889,13.769,14.0872
"C04G6,4",11.9109,11.9013,11.4512,11.2329,12.4886,12.0554,12.0931,12.7057
"C05C12,5",12.2292,11.9691,11.7045,11.6806,12.5566,12.1332,12.1504,12.7263
amt-4,13.9571,14.0273,12.8001,14.1367,14.6838,13.9838,14.3561,15.284
lnp-1,12.2656,12.0707,10.7896,11.9778,13.0963,13.7654,13.6932,13.6501
"C05G5,2",15.0342,15.2082,14.8334,14.5695,16.4735,15.6941,15.11,14.2378
rpb-6,12.6328,14.1486,13.5822,13.6446,12.933,14.788,15.3362,14.7138
mvb-12,14.5971,14.7184,14.9253,14.6411,15.0345,14.747,15.1495,14.6833
"C06A6,5",14.9821,15.1467,15.275,14.8808,15.4347,15.4938,15.5011,15.8728
mthf-1,17.8889,18.6004,17.6141,18.0994,18.7346,18.2492,18.1639,18.2363
"C06A8,3",22.092,22.1272,21.5818,21.8976,20.3477,20.3475,20.107,20.7435
stdh-1,14.7381,15.0788,15.0103,14.692,16.1906,14.8412,14.9209,15.0645
"C06B3,6",12.0338,11.8973,11.6831,11.977,12.4599,12.1843,12.2668,12.5732
ain-1,16.3226,16.1996,15.3243,15.5758,16.3529,15.8555,15.8627,16.0007
trxr-1,14.9936,15.6302,15.2592,15.1821,15.9937,15.292,15.2718,16.051
ufl-1,14.1228,13.68,13.7744,14.8999,14.4169,13.7788,15.4536,14.4969
"tin-9,1",17.3843,17.3605,17.5838,17.7847,16.9066,17.0724,15.753,17.0138
pept-2,13.4658,14.6171,13.438,12.7668,14.3513,15.0034,13.7306,13.9206
"T25B9,9",17.3707,17.5946,17.5627,17.9152,17.5233,17.1497,17.1846,17.6087
atp-5,20.5035,20.4425,20.6911,20.8626,19.5405,19.7879,19.9566,19.6317
"C06H2,2",12.3538,13.1276,13.8481,12.6718,13.5249,13.7435,14.3426,13.6796
jmjd-5,13.948,13.3325,13.2089,13.2564,14.1584,16.8295,14.3234,13.7876
pdi-2,19.9876,19.7046,20.1393,20.3038,19.5173,19.643,19.8265,19.7609
nuc-1,15.5076,15.1762,15.5694,15.9065,15.79,15.6615,15.6145,15.3865
"C07D10,5",12.2884,12.0403,11.7159,11.8809,13.0792,13.0974,12.9388,13.0504
stip-1,15.3108,16.1582,15.1702,15.752,12.3117,11.5625,12.2771,12.0206
wsp-1,13.0438,12.7794,14.301,13.2082,15.3487,14.9506,13.9096,15.7547
hgrs-1,13.899,14.3735,15.0613,13.9651,15.2895,14.8377,14.9073,14.8623
cpg-1,17.1785,17.6562,17.1019,16.2237,17.6893,17.4588,17.8173,17.7941
"C08B6,8",14.6395,15.0955,14.3,14.5425,14.7594,14.181,14.4298,14.6086
aos-1,15.6262,15.6807,15.8007,15.891,15.7268,15.7874,15.6628,16.3183
pfd-1,17.1444,16.8084,17.5384,17.3044,17.0623,16.6902,17.1641,17.4081
"C08F8,2",15.834,16.5163,15.5718,15.468,16.9836,16.1753,16.4324,17.7227
"C08F8,3",12.3345,12.1088,13.1813,13.2673,14.6875,14.9638,15.1588,14.7003
vgln-1,17.79,17.623,17.7331,17.8575,17.5728,18.0207,18.2092,18.1179
ipp-5,13.9266,14.8938,13.1858,13.6636,15.1359,14.3792,14.2766,14.3455
hsp-25,18.0219,18.4091,17.6283,17.7641,18.2791,17.5436,17.1515,18.1633
pak-1,13.0386,13.413,8.4621,13.3869,13.4198,13.1911,12.2581,12.6979
cks-1,14.3972,14.4354,14.6726,15.6023,13.8779,17.9032,19.6176,14.9778
npp-23,14.6099,15.0181,14.8774,15.3366,15.6622,15.0912,15.1358,15.9379
nuo-1,15.1431,15.1175,15.8341,16.3275,14.9883,16.7205,16.1088,16.2113
nasp-1,16.4133,16.1244,16.5506,16.4489,16.6309,16.9657,16.5097,16.8968
"C10C5,2",17.5774,17.2134,16.948,17.0985,16.7776,18.0427,15.9408,18.3718
"C10C5,4",15.4646,15.6462,15.5993,15.2412,15.8765,15.9827,15.3107,16.2765
egal-1,12.0731,12.054,11.6709,11.9355,14.3368,12.7149,14.1238,14.0688
"C12D8,1",17.1357,17.1294,17.4229,17.5333,16.8454,16.7783,17.1567,16.4444
daf-36,12.1391,11.7735,11.534,11.8323,12.55,12.1154,6.90201,12.4994
akt-1,15.1593,15.3308,14.7986,14.8492,15.0379,14.9945,14.8571,15.0257
dohh-1,15.7841,15.9627,15.3121,14.8633,17.0783,16.1172,16.156,16.5415
"wdr-5,1",15.3404,15.7945,15.2027,15.5028,15.6711,14.9734,15.0567,15.7216
"C14B1,8",12.6902,13.0472,13.6145,13.3899,13.7696,14.0113,13.7317,13.7355
pdi-1,18.1951,18.7064,18.1113,18.4468,19.1956,18.6974,18.9336,18.919
mma-1,13.9434,15.2181,16.1602,14.3794,13.7024,13.5435,14.7835,13.8159
"C14F11,6",16.7737,15.8259,16.033,16.3928,15.3036,15.317,15.1961,16.1817
"got-2,2",18.1329,17.9324,18.1274,18.245,17.2794,17.5511,17.6994,17.2841
"C15B12,1",12.1155,12.0181,0,12.0768,12.5727,12.0452,12.2984,12.5067
"C15C7,4",14.4609,13.5224,13.5798,13.9218,12.119,11.933,12.2571,12.5904
"C15C7,5",15.5463,16.1364,14.9334,15.0013,15.4735,14.4561,14.5008,15.1097
gcc-1,12.0382,11.4149,11.4814,11.9862,15.7403,15.1856,16.33,15.7981
"C15C7,7",11.5204,11.4305,11.7378,11.9485,12.55,12.0743,12.2268,12.7613
