geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
mdt-9;D5SGZ9,21.7452,20.2396,19.7755,19.6621,18.409,17.3312,20.374,21.2649
nstp-10;C50F4.14;D6R8W5,21.4066,20.4052,21.1861,21.2875,16.9145,21.0671,19.7902,19.9898
math-38;D6VPA0,25.4788,24.3411,25.1425,21.151,24.254,24.451,25.0909,24.6364
;D7SFI3,20.5175,18.5403,21.6985,20.5181,22.702,23.4507,23.2884,23.3957
gsto-1;D7SFI3;P34345,20.1356,20.356,21.7148,21.1298,19.3464,18.8299,21.5682,19.7615
;D7SFI3,20.2683,19.922,20.0086,19.8927,24.8431,24.5372,24.736,23.4621
;D7SFP5,21.6512,21.2143,21.8261,20.8225,17.316,19.3453,20.5723,18.9186
;D7SFP5,21.2036,21.166,21.5705,19.3383,18.7795,20.3703,21.4042,17.575
cup-5;D7UU24,21.9611,21.138,20.075,20.4457,25.0775,24.6164,24.0163,23.8831
cup-5;D7UU24,20.816,20.0873,20.2643,20.2662,18.4199,20.8181,18.6748,18.992
myrf-2;Q9U3I3,21.698,19.9376,19.6743,21.4237,18.0398,20.4525,21.3886,18.2605
snx-6;D9PTP5,22.7973,22.9719,24.6081,24.7735,18.3186,17.5463,17.6194,18.7692
snx-6;D9PTP5,22.7973,22.1919,22.3804,23.9722,20.3473,21.8027,19.0192,18.0245
snx-6;D9PTP5,21.3622,19.2111,20.0698,21.0408,16.8164,16.7269,20.5958,20.2593
;E0AHE1,20.5217,19.3192,20.7679,20.4485,18.8237,20.9513,19.1148,17.5584
ent-7;Q20396,25.0589,24.8991,25.7743,25.6437,24.5042,25.4718,25.8326,25.4954
;E1B6S4,23.2166,22.5892,22.6245,25.0585,19.4713,19.2084,19.5274,17.75
C27A7.1;E1B6U2,24.1822,23.1883,23.9172,24.5745,25.3326,26.0886,26.2348,26.3466
rsd-2;E1B6W0,27.0429,26.9682,27.715,25.5443,25.6465,26.235,26.1397,26.4432
hpo-34;E3W743;Q93636;Q93637,23.4785,22.5451,22.2794,22.9017,23.2114,22.83,23.117,22.1776
hpo-34;E3W743;Q93636,20.5711,19.3733,21.3114,21.0815,18.4966,17.7621,18.1747,20.321
hpo-34;E3W743;Q93636,21.9722,21.2444,18.8298,17.4473,18.4288,19.072,21.0074,19.2332
hpo-34;E3W743;Q93636,21.0424,20.5026,21.4125,20.691,18.6748,18.9115,20.0162,19.8909
hpo-34;E3W743;Q93636,20.2654,19.2622,21.0751,20.4301,21.5741,19.1829,19.0189,19.0798
hpo-34;E3W743;Q93636,21.371,20.6411,20.6673,20.2437,20.943,20.6478,21.0941,17.8612
hpo-34;E3W743;Q93637,21.3927,20.7671,21.0962,21.1604,19.66,19.664,18.7326,18.5579
hpo-34;E3W743;Q93637,20.4159,20.996,21.7019,19.666,20.7476,20.9904,21.895,20.7203
hpo-34;E3W743;Q93637,20.8204,21.4409,18.7951,20.5006,19.9632,21.54,18.0871,18.4275
hpo-34;E3W743;Q93636,20.0389,20.327,21.0417,19.6274,17.9807,17.0455,18.2353,18.6324
hpo-34;E3W743;Q93636,21.1276,21.52,19.9632,19.6248,19.4252,15.8617,19.0153,20.4825
hpo-34;E3W743;Q93636,20.9533,21.2277,21.0674,19.8928,16.5367,17.8332,21.1235,21.3923
hpo-34;E3W743;Q93636;Q93637,24.8303,23.2406,22.5627,26.9486,21.3221,19.3798,21.4137,17.605
hpo-34;E3W743;Q93636,23.0994,20.8578,22.7501,20.5856,19.9615,18.1723,19.5963,17.2766
;E3W759,21.006,20.2356,19.6376,21.0252,20.0788,20.7305,19.1967,19.1866
dnj-14;Q21162,20.4125,20.9919,20.1365,20.7898,17.9611,17.5575,20.6773,21.3504
dnj-14;Q21162,21.8611,20.4563,19.7144,21.3679,19.3718,19.4112,19.9417,19.7932
dnj-14;Q21162,25.6598,24.5876,26.5991,26.3522,19.2415,19.4902,18.3689,16.9741
dnj-14;Q21162,25.5786,26.6759,25.3105,24.6104,21.7305,22.3028,23.21,22.4261
mca-1;F5GU98,21.6326,20.9995,20.4899,21.3964,17.801,20.5786,19.6375,17.3511
mca-1;F5GU98,29.0581,28.6953,28.833,25.3364,30.2329,29.8678,28.1936,28.7083
mca-1;F5GU98,20.8372,20.395,20.469,20.1997,19.4784,15.8816,20.0075,16.4658
mca-1;F5GU98,23.8003,23.1075,23.6058,27.0348,21.9424,21.0944,23.4222,20.3867
mca-1;F5GU98,21.7716,21.3662,20.3378,21.3412,20.629,19.5207,19.2296,19.4638
;F5GUH0,25.4083,24.8316,24.7288,22.8805,19.8911,17.59,21.3521,20.1659
;F5GUH0,24.2132,24.3688,25.0392,24.0397,23.6798,22.931,22.8826,21.8704
;F5GUH0,25.0425,23.5921,24.0249,25.3588,22.2348,22.5811,23.9503,22.1159
lea-1;F5GUH5;H2FLK8;H2FLK9,21.786,21.325,20.4004,19.5194,20.9637,20.0622,18.472,20.0856
lea-1;F5GUH5,22.1746,22.106,23.2125,21.7074,23.7723,24.2606,24.1638,24.7581
lea-1;F5GUH5;H2FLK8;H2FLK9,19.6649,19.5664,21.8065,19.7986,19.4341,20.2295,18.3912,19.3295
lea-1;F5GUH5,21.6614,20.1857,21.0012,21.3633,18.6889,21.1681,20.1421,20.3562
lea-1;F5GUH5,23.447,22.021,23.0596,23.2056,20.1097,22.7691,22.6278,23.0374
lea-1;F5GUH5,22.4922,23.2017,22.7273,22.534,24.0954,23.2615,25.0874,23.3093
lea-1;F5GUH5;H2FLK8,21.6796,20.9741,19.8355,20.5693,19.5364,18.3527,18.8386,21.0226
lea-1;F5GUH5;H2FLK8,21.7716,21.5214,20.6574,20.3461,23.2176,22.4559,22.3444,21.9836
lea-1;F5GUH5,21.7432,19.9116,20.8119,19.822,23.3797,23.6099,24.2852,22.4755
