geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"CELE_F10C5,2",15.3117,16.5877,15.4961,15.5175,13.4352,13.4556,13.6304,13.4323
"F10D7,3",15.5341,14.9643,15.9334,14.3951,13.6079,13.3743,13.5944,13.0722
"CELE_F10E7,5",15.3304,17.5491,16.2029,19.1034,16.2677,15.7519,15.6743,15.6841
"CELE_F10E7,6",14.9621,14.874,14.8475,15.2774,14.586,15.2165,14.2534,15.2234
spon-1,16.4518,17.6381,16.7577,17.8998,14.7654,14.8449,14.4808,14.6653
"F10F2,2",18.0548,17.8672,17.823,18.0107,16.2508,16.277,16.1148,15.3751
sel-2,15.633,16.4045,15.9201,15.3525,14.1278,14.2617,14.3209,14.2221
rpn-5,18.4372,18.8881,18.6662,18.9354,20.1085,19.9884,19.9753,20.0092
asf-1,17.2766,18.8736,18.2252,19.008,16.1505,16.1155,16.1018,16.1969
tsn-1,18.5046,18.8605,18.7839,18.9297,18.639,18.5235,18.4645,18.4381
tag-151,15.5726,15.7826,16.1972,15.9248,14.7767,14.8757,14.5987,14.6614
repo-1,16.2659,16.9586,16.4607,17.2852,13.9545,14.6637,14.5656,14.4605
mon-2,14.9816,15.1973,15.1337,16.2331,14.7876,13.3226,12.0764,11.9798
acs-14,16.3097,17.8708,17.2539,17.0128,16.7849,16.8243,16.5605,16.7123
haao-1,19.0147,19.5554,18.2566,18.896,16.6724,16.537,16.4471,16.4798
rfl-1,14.9763,15.4956,14.686,14.7763,14.7452,14.8312,14.7191,15.0628
"F12F6,7",14.6168,16.149,15.8077,16.4627,14.8871,14.2716,14.6992,14.2609
"sec-24,1",18.6208,18.6467,17.3754,18.1069,16.0945,15.9376,15.8703,15.9251
"F13B12,4",14.8775,15.3417,13.7169,15.3737,13.7318,14.0309,13.6543,13.4851
iws-1,16.8124,16.7808,17.3351,17.5648,19.1456,19.069,19.2369,19.0156
"CELE_F13D11,3",14.7312,15.4634,14.7284,14.8245,14.253,13.9185,12.5367,14.1507
acp-5,16.1116,16.7675,15.6197,16.9664,14.382,13.7988,14.0999,13.7926
"CELE_F13D12,5",17.2175,17.7157,16.7376,17.9796,15.0431,14.5619,14.6019,14.6063
"CELE_F13E6,5",16.7558,15.4771,15.6645,16.1267,14.2632,14.5801,14.2857,14.7219
yap-1,14.9709,15.1913,14.6943,15.1772,13.7867,12.8908,12.5236,12.428
dylt-1,15.5719,14.7022,15.3808,15.0321,15.8991,15.8952,15.6661,15.9082
ttx-7,17.8388,18.7245,18.9572,19.1491,17.5516,17.5904,17.5907,17.5142
mogs-1,16.7149,18.1573,16.6227,17.642,22.9773,22.5101,14.1814,14.0862
"CELE_F13H8,3",14.7743,15.0539,13.617,14.8563,14.2619,14.486,14.3789,14.4404
"CELE_F13H8,2",14.8404,14.4552,14.4738,14.8426,14.4847,14.1168,14.0328,14.0376
upb-1,17.696,18.5467,18.2344,18.2694,17.878,17.9239,17.9782,17.8414
pes-23,16.8086,17.659,17.4711,17.7026,14.8241,14.8661,14.4453,14.8175
sid-5,17.1206,18.8596,18.0726,18.7158,15.3964,15.5519,15.5722,15.0526
"CELE_F14D7,7;CELE_F14D7,10",14.7446,15.2617,14.3984,14.8746,12.0389,11.9614,11.5824,11.8804
"F14E5,2",15.8565,18.2932,16.9319,17.8209,16.3417,16.4482,16.4268,16.3829
mboa-7,14.6849,15.4944,14.5399,15.1697,13.4753,12.9719,14.076,13.3777
far-3,17.9168,17.9157,18.0033,17.9135,17.4871,17.8198,17.0545,17.3442
far-5,14.7151,15.3606,14.4574,15.0011,15.8441,15.6726,15.283,15.8566
rsd-6,15.04,14.0678,14.5276,15.1885,13.5962,13.3284,13.3588,13.3551
col-153,14.5754,15.4799,14.4259,15.0994,15.4607,16.6841,15.0922,15.8138
"CELE_F17C11,7",15.0015,15.2733,14.968,15.1517,13.5463,13.7964,13.0154,14.0736
vps-36,16.8295,16.0199,16.2221,15.9668,14.5989,14.3616,13.8616,13.4943
"CELE_F17C8,3",18.4227,17.68,18.3684,18.2721,12.0307,12.0444,11.784,11.8383
"CELE_F17H10,2",17.3541,18.2052,18.247,18.3981,15.178,15.4792,15.5019,15.5447
"CELE_F18A1,7",14.5256,14.7898,14.7404,13.9458,14.4124,14.739,14.4026,14.3657
