geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
nra-2,15.1105,15.4396,15.1025,15.2569,14.6302,14.7245,14.8715,14.9103
"CELE_Y37H2A,14",15.321,15.9662,15.3175,15.0593,15.1477,14.3453,14.0399,15.5989
"CELE_F27E5,7",16.0243,16.7885,14.5097,15.507,15.2246,15.1412,14.7026,15.6364
saps-1,14.2699,14.7796,14.6508,15.8696,13.7714,13.9218,13.7667,14.057
"CELE_ZK809,8",12.9802,13.4272,12.719,13.0068,11.606,12.2727,12.202,12.4795
"CELE_D1081,7",13.1119,13.2847,12.8668,13.0715,13.3906,12.1633,12.6221,12.9695
aph-2,13.0445,13.3234,13.0667,13.0411,12.7342,12.2502,12.7658,13.2952
"CELE_F15B9,10",14.5628,17.1171,15.6987,15.8676,13.942,14.2609,14.0652,14.2488
"C27A7,5",13.1401,12.9968,12.8392,12.3034,11.4729,13.152,13.2071,15.9312
"CELE_F30A10,13",16.5538,16.5783,15.4204,15.5615,14.2622,14.0627,14.3729,14.7592
"CELE_F30A10,14",17.3493,17.8046,17.959,18.1023,15.3249,15.077,15.024,15.2866
"C04H5,7",13.142,13.2514,12.4691,12.4414,14.225,13.9455,12.8637,12.9466
"C13B4,1",16.483,16.7528,16.2636,16.0414,14.3359,11.9927,12.8729,14.5257
"CELE_F02E9,10",14.8329,15.3626,14.7295,15.2374,14.5463,14.4202,14.1601,15.15
"CELE_R13H4,2",15.3467,14.5551,15.0076,15.0411,15.1472,14.348,15.9832,15.8149
"CELE_ZK228,4",12.9336,13.3772,12.8842,13.0426,14.2064,14.0838,14.2406,14.998
"CELE_K02B7,3",16.9592,17.3141,17.1982,17.1259,17.0013,16.9305,17.4535,17.3347
nuo-3,16.1672,16.4317,14.8305,16.1235,15.9131,15.5007,14.9215,15.6052
"C44E4,5",13.1601,13.0714,14.5676,14.113,13.4863,14.0119,14.5029,14.0746
"CELE_F49E2,2",16.1032,17.0594,15.1026,16.064,15.1251,15.1949,14.9224,15.817
"T07A5,7",13.1318,13.1353,12.736,12.926,11.4423,11.1743,11.2672,11.671
"CELE_T04F8,7",12.9389,13.2706,12.9413,12.8962,14.102,14.1595,13.3515,13.4529
"gpb5;CELE_T23B12,8",12.7291,13.6358,14.0757,13.0755,11.4447,11.0988,11.0074,11.5973
"CELE_F49D11,10",16.8063,16.5166,15.9331,15.74,14.4571,14.3022,14.6854,14.7936
oxy-5,18.813,19.1901,18.2274,18.6896,18.4646,18.2708,17.7188,18.3908
mrg-1,15.8274,15.5545,16.0409,15.9705,15.661,15.4692,15.5499,15.747
obr-1,13.0332,13.268,12.8954,12.1354,11.4452,11.1996,10.9888,11.5608
igcm-3,14.6854,14.9583,14.7177,15.3303,14.8029,13.817,14.2832,15.749
unc-16,13.8726,13.1919,13.2512,13.7115,12.5929,14.2998,14.3115,13.6789
gpdh-2,18.5633,18.4478,18.4301,18.4484,18.375,18.5566,17.8789,18.2525
sly-1,16.0324,15.9459,15.162,15.3402,15.0145,14.9461,14.8569,14.7293
"B0393,9",15.3762,14.8583,15.3091,15.1983,14.5593,15.0219,14.6072,14.962
cisd-1,18.9913,19.2481,19.3309,19.5815,18.4001,17.7913,18.4195,18.4092
"CELE_F09E8,2",15.4541,15.6355,16.1624,15.6997,15.0054,14.9074,14.9185,15.1991
lsy-22,16.5937,17.897,15.7558,16.6846,14.3713,14.4334,13.9431,15.1512
"C24H11,5",13.0818,13.3426,13.0405,12.7657,11.589,13.659,12.9947,11.5771
"CELE_F10A3,17",15.9852,15.4612,15.4171,15.3744,15.2377,14.1142,15.1789,15.2347
pnc-1,16.5974,17.7286,16.2115,16.4234,15.2759,14.5904,14.9831,15.5881
"CELE_Y94H6A,12",12.8606,13.4104,13.0322,12.7936,14.6888,13.9926,13.319,14.0453
"CELE_F56C9,6",15.6014,16.2499,14.8267,15.4045,14.1465,15.1786,14.6447,13.9069
"CELE_T28D9,4;T28D9,4",14.7436,13.7647,15.1409,15.6361,14.5185,13.9334,13.6613,14.6451
"C28G1,5",14.8929,14.8659,14.961,15.5647,13.7689,13.5299,13.7634,13.7381
gpx-7,12.7785,13.8817,13.6017,13.7694,17.5711,14.042,11.4599,11.7626
"CELE_F41D9,2",14.8782,15.9473,13.3482,16.5375,14.8485,15.3133,15.4241,15.6724
"CELE_T04F8,8",15.6791,16.1589,16.4309,16.864,15.7096,14.9384,13.4929,15.4548
"CELE_ZK856,16",16.0173,16.253,17.007,17.3473,15.1809,15.3016,14.2294,16.5685
"CELE_F23B12,4",13.1341,13.4257,12.696,12.8617,13.9083,12.6464,12.8699,12.7196
"CELE_K09A9,6",13.0836,13.3216,12.8632,12.7979,12.1615,12.4953,11.5399,12.4925
"CELE_H14N18,4",12.3351,13.3813,12.8068,13.0463,11.0328,11.2223,11.0364,11.7101
"CELE_T12B5,15",12.86,13.2781,12.9257,12.6171,11.3657,11.1951,11.2648,11.7018
"CELE_Y17G7B,20",14.8047,15.1124,14.4509,15.3668,14.0756,13.7817,14.1696,13.957
"CELE_E01A2,1",13.5055,12.7029,12.5736,12.8329,12.6138,14.1934,12.6726,12.5219
"CELE_T02H6,1",14.0975,14.9118,13.7559,13.5899,13.975,13.7147,13.8629,14.0815
