geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
ubxn-2,17.8937,18.2674,17.3051,19.1159,16.2944,16.0499,15.9905,16.2767
"Y94H6A,8",19.9652,18.676,18.3539,20.956,17.9944,17.9801,17.7133,17.8732
"CELE_Y94H6A,3",13.6916,14.1415,14.1046,14.5731,16.9673,16.0052,16.2778,16.5487
pqn-89,16.7873,16.9385,16.4539,16.052,13.9916,13.9943,13.4849,13.5699
pbo-1,15.3245,14.7084,15.1473,16.2602,13.6494,15.0261,14.3662,14.4332
ptr-21,14.3446,14.0737,14.4378,14.7057,12.1826,11.7222,11.5446,11.4511
acs-13,15.6664,15.871,15.6527,17.3066,16.2462,16.164,16.2302,16.5175
deps-1,16.1241,16.1052,15.8278,16.6161,14.5709,15.8033,15.0668,15.0666
"CELE_Y61A9LA,10",15.0556,16.3032,16.4506,15.4821,14.1355,14.084,14.1864,14.3718
"CELE_Y57E12AL,6",14.3556,13.7212,13.7372,14.6002,14.8602,14.8408,14.9585,14.9495
"CELE_Y55F3BR,1",14.1604,13.7216,14.1199,15.0142,8.83441,8.78452,9.58231,9.42286
"CELE_Y55F3BR,6",18.7228,18.4605,18.6142,18.4711,16.1774,15.9521,15.5215,15.3766
"CELE_Y55F3AR,1",13.4743,14.4011,14.2848,14.9281,11.4013,11.6027,11.3269,12.8949
"CELE_Y55F3AR,2",18.7861,18.7844,19.0509,18.981,15.8581,15.7161,15.691,15.4625
cct-8,18.9755,20.2135,18.9184,18.9393,17.5716,17.8017,17.7437,17.8544
csn-4,14.3642,14.4457,13.6038,14.6807,13.4116,13.1156,13.2064,14.3172
mrps-25,16.5768,16.104,16.5172,15.4692,15.277,15.2864,15.6342,15.5152
"CELE_Y55F3AM,13",18.6894,18.1511,18.162,18.7261,17.0235,16.967,16.9684,16.9166
dcap-1,18.263,17.9751,18.0869,19.6193,15.075,14.5836,14.7412,15.1574
"CELE_Y55F3AM,3",16.0021,16.6711,15.7927,15.8207,14.7486,14.6724,14.5534,14.7779
