geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
cfp-1;D3YT77,19.3097,18.3441,18.0231,20.7098,21.9146,21.4443,20.5281,21.4169
cfp-1;D3YT77,21.7809,22.3597,22.0871,25.3584,21.9542,21.7244,20.4784,20.969
dct-16;D4YWC3;Q9XX57,23.8583,21.5727,23.4534,24.4968,22.8048,25.0214,23.4421,23.3507
dct-16;D4YWC3;Q9XX57,20.9687,18.2309,18.6762,20.0852,24.2399,22.7062,25.1807,25.2217
dct-16;D4YWC3;Q9XX57,21.6598,18.83,21.4326,19.1028,27.6246,26.2535,24.1034,26.6736
dct-16;D4YWC3;Q9XX57,19.5009,19.2418,20.1568,19.9743,22.4649,22.989,20.9466,22.6336
dct-16;D4YWC3;Q9XX57,22.4403,21.7384,23.933,21.8328,25.8466,25.8495,26.585,26.7227
dct-16;D4YWC3;Q9XX57,21.0613,17.9171,20.3933,21.3056,23.2705,23.6943,25.44,25.5842
dct-16;D4YWC3;Q9XX57,18.6294,18.1736,18.6854,19.27,23.8391,24.4358,24.8236,25.3222
larp-1;D5MCN2,20.6012,18.8223,19.3996,21.9045,20.5319,20.6526,18.8036,21.1469
sup-26;D5MCQ2,21.3981,22.3766,22.0579,20.421,20.5478,21.5307,21.1328,21.5937
;O17698,20.2875,19.6054,21.3499,18.9482,20.9375,21.6223,21.4829,21.7561
mdt-9;D5SGZ9,19.6164,20.7472,18.8844,19.2969,21.5205,21.2703,20.0471,21.9273
mdt-9;D5SGZ9,19.8607,21.7844,19.5964,17.5752,20.9487,21.4707,20.1499,21.3013
mdt-9;D5SGZ9,20.7988,21.0275,19.3295,18.8729,21.8157,20.2852,20.0402,20.4983
nstp-10;C50F4.14;D6R8W5,21.4353,19.3251,21.4841,18.4386,20.3161,20.9842,20.3432,21.5452
math-38;D6VPA0,22.0731,22.3152,22.4858,22.2023,21.2065,21.7627,21.3279,20.4193
;D7SFI3,21.8938,17.2162,21.0041,19.49,24.4316,23.9425,23.3125,24.263
gsto-1;D7SFI3;P34345,24.4046,24.112,23.997,23.4052,26.227,24.6542,25.4407,26.663
;D7SFI3,21.9387,21.7323,19.3936,19.951,24.5447,23.395,22.6072,25.6621
;D7SFP5,19.7503,20.4103,21.265,20.8852,21.7262,20.711,20.5624,21.7654
;D7SFP5,16.4054,18.4077,21.2229,20.6242,23.706,22.1909,23.5963,24.9782
cup-5;D7UU24,19.7748,19.8578,19.3836,19.3676,21.4357,21.5622,21.1154,21.7949
cup-5;D7UU24,21.6993,19.5355,17.6714,20.4648,21.117,20.5229,21.2674,20.1553
myrf-2;Q9U3I3,20.0896,19.7406,19.8324,20.4793,21.8622,21.3348,20.7942,21.663
snx-6;D9PTP5,19.9042,18.9178,16.2128,17.788,21.4337,21.7804,21.5345,20.2924
snx-6;D9PTP5,20.4092,19.2159,19.3386,18.297,21.5166,20.873,21.4638,21.4654
snx-6;D9PTP5,19.6739,20.1947,19.1326,21.3461,21.3184,21.5273,19.7784,21.4255
;E0AHE1,23.0031,22.3217,24.0063,24.4271,21.6065,20.9979,19.3429,19.9882
ent-7;Q20396,26.2846,24.8903,25.8383,25.5543,24.3161,25.6732,23.9149,25.2713
;E1B6S4,21.5491,22.9226,24.871,22.5627,23.889,23.8399,23.0734,25.124
C27A7.1;E1B6U2,23.929,24.0364,25.0964,23.1027,24.3535,24.9712,23.8996,24.2175
rsd-2;E1B6W0,28.5413,28.261,26.5334,22.6261,25.8446,26.025,25.3421,25.8859
hpo-34;E3W743;Q93636;Q93637,19.4698,19.407,19.8275,17.5268,21.8025,20.4726,20.2842,20.6735
hpo-34;E3W743;Q93636,20.0074,19.5519,17.5674,20.1372,21.8821,21.6544,21.4855,21.9085
hpo-34;E3W743;Q93636,20.0883,21.5449,20.3009,19.5996,21.6072,21.6657,21.3307,21.2918
hpo-34;E3W743;Q93636,18.2948,17.7425,18.9372,20.7214,20.3305,20.9932,21.4088,20.6994
hpo-34;E3W743;Q93636,20.0467,21.0779,19.7661,20.8193,21.8786,20.6993,20.9927,21.7395
hpo-34;E3W743;Q93636,21.3542,19.4475,18.4206,21.3112,21.9063,21.5147,21.2479,21.3406
hpo-34;E3W743;Q93637,19.6761,20.3826,19.1973,18.5781,21.4665,20.0707,20.1552,20.6192
hpo-34;E3W743;Q93637,19.756,21.5578,19.0442,19.5797,22.6644,23.7843,22.193,22.1981
hpo-34;E3W743;Q93637,24.9955,23.1551,25.5042,22.7257,21.4006,21.4386,19.7826,21.7317
hpo-34;E3W743;Q93636,20.4887,20.0819,19.0151,19.1537,21.9082,21.0337,19.571,21.3764
hpo-34;E3W743;Q93636,21.0101,20.7695,19.9182,20.6416,20.5914,20.4525,20.1791,21.4076
hpo-34;E3W743;Q93636,24.619,24.5307,24.2829,21.9412,20.797,20.3116,20.9251,20.9698
hpo-34;E3W743;Q93636;Q93637,17.693,20.8738,20.3564,19.5591,26.718,26.0773,25.4879,26.1418
hpo-34;E3W743;Q93636,20.1254,19.8166,20.7007,19.3465,21.5254,21.1544,20.9267,20.7617
;E3W759,20.9392,20.129,21.0024,19.7439,21.8049,19.8537,20.9453,21.7305
dnj-14;Q21162,20.8982,19.6229,19.7787,20.8728,22.3058,22.6852,21.8727,22.7202
dnj-14;Q21162,20.3904,19.6184,18.7218,20.7842,20.8499,21.08,21.2007,20.9649
dnj-14;Q21162,27.0644,26.1601,23.7526,25.3785,25.7603,25.4249,23.5663,24.14
dnj-14;Q21162,24.6941,23.3203,22.6984,25.1834,23.3913,24.456,23.8687,24.6581
mca-1;F5GU98,27.0809,25.4645,23.4729,22.9605,21.9294,21.1839,20.7691,19.6559
mca-1;F5GU98,30.9591,30.2948,28.2682,29.8961,27.4886,26.6176,27.2369,27.5002
mca-1;F5GU98,25.3941,24.5854,26.4025,23.3723,25.2846,25.0817,25.0791,26.1552
mca-1;F5GU98,18.6861,18.8268,20.0567,20.0492,18.3867,20.188,21.0865,21.7958
mca-1;F5GU98,18.4593,18.1113,19.8684,20.0161,24.0343,23.8194,23.5306,23.4437
;F5GUH0,19.3909,18.9897,19.9869,18.8528,24.9709,23.1514,23.0486,22.3776
;F5GUH0,23.1278,23.3311,21.8899,21.1776,21.5557,20.3086,21.5235,20.6784
;F5GUH0,21.5083,20.5109,20.4935,20.2051,22.5926,21.2632,21.0606,20.9212
lea-1;F5GUH5;H2FLK8;H2FLK9,19.5375,20.9479,20.4123,17.4598,23.9531,23.3923,23.9389,24.3012
lea-1;F5GUH5,22.6418,22.1889,22.694,23.9997,24.3907,25.1483,22.9269,24.8299
lea-1;F5GUH5;H2FLK8;H2FLK9,20.5658,19.7671,19.987,19.5756,21.3442,21.3134,21.0909,21.6567
lea-1;F5GUH5,23.2363,22.515,23.1371,23.6215,24.7918,24.0526,23.8662,24.7849
lea-1;F5GUH5,24.5193,23.2254,22.3751,25.3901,24.8412,24.2869,22.2823,24.5663
lea-1;F5GUH5,18.2586,21.1681,17.886,21.283,24.0659,22.9786,24.0144,23.7715
lea-1;F5GUH5;H2FLK8,21.46,19.4497,20.4328,19.4021,21.9476,21.1676,20.9931,20.8271
lea-1;F5GUH5;H2FLK8,20.0819,20.4092,21.3217,21.2655,22.2151,22.146,21.1638,21.5174
lea-1;F5GUH5,19.8339,21.0678,19.5667,19.569,23.201,23.7894,22.8834,23.4414
